Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29153,12/10/2012,Chair - dental,A-DEC Australia,ADEC Inc,118326,"Chair, examination/treatment, dental"
27500,15/10/2012,Pro choice,WRB Nominees Pty Ltd T/A Paramount Safety Products,Top Glove Sdn Bhd,180853,"Glove, patient examination, latex"
27496,16/10/2012,Pro choice,WRB Nominees Pty Ltd T/A Paramount Safety Products,Top Glove Sdn Bhd,180857,"Glove, patient examination, non-latex"
29334,16/11/2012,Gammex PF Powder Free Latex gloves & Gammex PF Sensitive Latex gloves,Ansell Limited T/A Ansell Healthcare,Ansell (UK) Ltd,134818,"Glove, patient examination, latex"
30291,13/03/2013,TVT exact sub urethral sling,Johnson & Johnson Medical Pty Ltd,Ethicon SARL (Switzerland),99193,"Prosthesis, incontinence"
31335,1/07/2013,Akron Merit 2 Section Couch,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205815,"Table, examination/treatment, (specify)"
31625,31/07/2013,Gynecare TVT Exact,Johnson & Johnson Medical Pty Ltd,Ethicon SARL (Switzerland),99193,"Prosthesis, incontinence"
31649,2/09/2013,Sensicare Ice PF LF Nitrile Exam Glove,Medline International Two Australia Pty Ltd,Medline Industries Inc,182278,"Glove, patient examination, non-latex"
31861,2/09/2013,Sensicare Ice PF LF Nitrile Exam Glove,Medline International Two Australia Pty Ltd,Medline Industries Inc,182278,"Glove, patient examination, non-latex"
31856,16/09/2013,Omega Change Table,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205815,"Table, examination/treatment, (specify)"
31950,26/09/2013,"Curad 3G Stretch Vinyl Exam Gloves, Sizes S-L",Medline International Two Australia Pty Ltd,Medline Industries Inc,182278,"Glove, patient examination, non-latex"
32361,23/10/2013,"EXAMINATION TREATMENT GLOVE, HEVEA LATEX, LARGE",Mediflex Industries Pty Ltd,Latexx Manufacturing Sdn Bhd,211433,"Hevea-latex examination/treatment glove, non-powdered"
32359,23/10/2013,"EXAMINATION TREATMENT GLOVE, HEVEA LATEX, MEDIUM",Mediflex Industries Pty Ltd,Latexx Manufacturing Sdn Bhd,211433,"Hevea-latex examination/treatment glove, non-powdered"
