Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27195,2/07/2012,ALTRUA 40 DDDR-EL Dual Chamber Extended Longevity IS-1,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,158085,"Pacemaker, cardiac, implantable"
,,Dextrus lead,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,140309,"Lead, pacemaker, implantable, endocardial"
27398,6/07/2012,"T SET, 3 WAY, 2ASV, 1BCV, 15CM",CareFusion Australia 316 Pty Ltd,Anaesthetic Medical Systems,125459,"Tubing extension set, intravenous administration"
26939,10/07/2012,Zero Tip Nitinol Stone Retrieval Basket,Boston Scientific Pty Ltd,Boston Scientific Corporation,104320,"Extractor, stone removal"
26463,23/08/2012,ALTRUA 60 DDDR-EL Dual Chamber Extended Longevity IS-1 (400ms AV Delay),Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,164064,"Pacemaker, cardiac, implantable"
28210,27/08/2012,Single Extension,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126001,"Electrode/lead, stimulator, implantable, neurological"
,,Lamitrode S8,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126002,Neural-tissue electrical stimulation lead
,,Renew Receiver,-,Advanced Neuromodulation Systems Inc,131836,-
27813,20/09/2012,"EXTREME EPIPHYSEAL SECTION, Hip Prosthesis",Corin (Australia) Pty Limited,Amplitude SAS,135326,"Prosthesis, internal, joint, hip, total"
,,AMPLITUDE METALLIC HEAD 28MM MEDIUM,-,Amplitude SAS,,-
,,EXTREME DISTAL NAIL HAP D=16MM L=350MM,-,Amplitude SAS,,-
,,EXTREME LOCKING SCREW D=6.2MM L=40MM,-,Amplitude SAS,,-
,,EXTREME LOCKING SCREW D=6.2MM L=45MM,-,Amplitude SAS,,-
28508,26/09/2012,Single Extension,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126001,"Electrode/lead, stimulator, implantable, neurological"
,,Genesis RC Neurostimulation System,-,Advanced Neuromodulation Systems Inc,121880,-
,,Octrode lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
28767,27/09/2012,Single Extension,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126001,"Electrode/lead, stimulator, implantable, neurological"
,,Anchor,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
,,Eon C IPG Model 3688,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,158502,"Stimulator, electrical, analgesic, spinal cord"
,,Lead Model 3186,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
29039,26/10/2012,External Pacer,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,169505,"Pacemaker, cardiac, external, noninvasive"
29452,28/11/2012,ALTRUA 60 DDDR-EL Dual Chamber Extended Longevity IS-1 (400ms AV Delay),Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,164064,"Pacemaker, cardiac, implantable"
,,FINELINE II STEROX Lead,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128060,"Lead, pacemaker, implantable, endocardial"
29595,14/12/2012,Rigidyne Modular frame external fixator,Rigidyne Pty Ltd,Rigidyne Pty Ltd,143473,"Fixation device, external, system"
29610,17/12/2012,Mystic II M-Style Mushroom Cup Vacuum Assist Delivery System Intergrated Pump & Cup System,Endeavour Medical & Surgical Supplies Pty Ltd,Cooper Surgical Inc,136607,"Extractor, vacuum, foetal"
29822,3/01/2013,Single Extension,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126001,"Electrode/lead, stimulator, implantable, neurological"
29917,12/02/2013,Dual Chamber Temporary Pacemaker,Medtronic Australasia Pty Ltd,Medtronic Inc,128599,"Pacemaker, cardiac, external, invasive"
30087,18/02/2013,Medicina Enteral Extension Set y female 75cm long,Australasian Medical & Scientific Ltd,Medicina Ltd,127401,Enteral feeding kit
30131,22/02/2013,"""Y"" type extension set, narrow bore, 2 Clearlink valves",Baxter Healthcare Pty Ltd,Baxter Healthcare SA,171454,"Infusion administration set, infusion pump"
29918,22/02/2013,YUNO Extension Device,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
29197,5/03/2013,Cataract extraction/vitrectomy system,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,127264,Cataract extraction/vitrectomy system
30567,30/04/2013,Dual Extension,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,126078,"Electrode/lead, stimulator, implantable, neurological"
26476,7/05/2013,Infiniti,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,140948,"Cataract extraction system handpiece, phacoemulsification"
