Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28922,18/10/2012,Urethral Catheter 2 way 12FG,Medtronic Australasia Pty Ltd,Covidien llc,184753,"Catheter, urological, Foley"
27554,3/05/2013,Kendall Argyle All Silicone Foley Catheter 12F,Medtronic Australasia Pty Ltd,Covidien llc,184753,"Catheter, urological, Foley"
31563,24/07/2013,"Foley Ureatheral Catheter 2 way, 14fg",Covidien Pty Ltd,Mediquip Sdn Bhd,146090,"Catheter, urological, Foley"
32293,16/10/2013,Baxter Folfusor,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,168893,Elastomeric infusion pump system
32294,16/10/2013,Baxter Folfusor,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,168893,Elastomeric infusion pump system
32692,26/11/2013,Baxter Folfusor,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,168893,Elastomeric infusion pump system
32693,26/11/2013,Baxter Folfusor,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,168893,Elastomeric infusion pump system
32712,27/11/2013,"Baxter Folfusor, 46 hour infusional device loaded with fluorouracil",Baxter Healthcare Pty Ltd,Baxter Healthcare SA,168893,Elastomeric infusion pump system
32727,29/11/2013,Silicone Catheter,Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
33661,17/03/2014,"BARD, In-Dwelling foley catheter French gauge 24 with 5cc/ml balloon",Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
33828,3/04/2014,Folfusor SV2.5mL/Hr,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,168893,Elastomeric infusion pump system
32050,7/04/2014,"BARD Biocath, Hydrogel long term catheter",Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
33968,17/04/2014,"Releen 16FG, Urinary Catheter",Coloplast Pty Ltd,Coloplast AS,143334,"Catheter, urological, Foley"
35185,3/09/2014,"Bardia, 14fg BARD Silicone elastomer coated foley catheter",Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
38826,9/10/2015,"CATHETER, URETHRAL, FOLEY, MALE, 2 WAY, 14FG, 3mL",Medtronic Australasia Pty Ltd,Covidien llc,184753,"Catheter, urological, Foley"
39502,7/12/2015,BARD Size 14 G Sterile Hydrogel Coated Foley Urinary Catheter,Bard Australia Pty Ltd,C R Bard Inc,158417,"Catheter, urological, antimicrobial"
39644,18/12/2015,"Catheter, Urethral, Foley, Male, 2 Way, 14FG, 5ml",Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
38971,17/03/2016,Latex Foley Catheter,Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
39253,21/03/2016,Biocath 2Way Foley Catheter,Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
40909,22/04/2016,Urinary catheter 14Fr,Multigate Medical Devices Pty Ltd,Multigate Co Ltd,211796,"Catheter, urological, Foley"
39494,28/04/2016,Bardia Foley Catheter,Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
35595,20/05/2016,Latex Foley Catheter,Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
40167,27/06/2016,Bardex I.C. Foley Catheter,Bard Australia Pty Ltd,C R Bard Inc,158417,"Catheter, urological, antimicrobial"
42089,25/07/2016,Dover - Indwelling Urinary Catheter,Medtronic Australasia Pty Ltd,Mediquip Sdn Bhd,120871,"Catheter, urological, Foley"
42096,25/07/2016,Dover Indwelling Urinary Catheter,Medtronic Australasia Pty Ltd,Mediquip Sdn Bhd,120871,"Catheter, urological, Foley"
42099,25/07/2016,Dover Indwelling Urinary Catheter,Medtronic Australasia Pty Ltd,Mediquip Sdn Bhd,120871,"Catheter, urological, Foley"
42108,27/07/2016,Dover Indwelling Catheter,Medtronic Australasia Pty Ltd,Covidien llc,181428,"Catheter, urological, Foley"
42109,27/07/2016,Dover Indwelling Catheter,Medtronic Australasia Pty Ltd,Covidien llc,181428,"Catheter, urological, Foley"
42110,27/07/2016,Dover Indwelling Urinary Catheter,Medtronic Australasia Pty Ltd,Covidien llc,181428,"Catheter, urological, Foley"
42393,17/08/2016,Dover/ Curity - Silicone coated urinary catheter,Medtronic Australasia Pty Ltd,Mediquip Sdn Bhd,120871,"Catheter, urological, Foley"
42394,17/08/2016,Silicone coated urinary catheter,Medtronic Australasia Pty Ltd,Mediquip Sdn Bhd,120871,"Catheter, urological, Foley"
43781,23/11/2016,Releen In-Line Foley Catheter - Urethal Use + Suprapubic use,Coloplast Pty Ltd,Coloplast AS,107139,"Catheter, urological, Foley"
43949,5/12/2016,Releen In-Line Foley Catheter,Coloplast Pty Ltd,Coloplast AS,107139,"Catheter, urological, Foley"
40377,6/12/2016,"12Fr Dover Silicone Foley Catheter - Catheter, urological, Foley",Medtronic Australasia Pty Ltd,Covidien llc,184753,"Catheter, urological, Foley"
44135,20/12/2016,Mon-a-therm Foley with Temperature Sensor 400TM,Medtronic Australasia Pty Ltd,Covidien llc,181428,"Catheter, urological, Foley"
41744,20/02/2017,Foley Catheters,ConvaTec Australia Pty Ltd,Unomedical Sdn Bhd,216914,"Catheter, urological, Foley"
42767,20/02/2017,Foley Catheters,ConvaTec Australia Pty Ltd,Unomedical Sdn Bhd,216914,"Catheter, urological, Foley"
44893,21/02/2017,"CATHETER, URETHRAL, FOLEY, MALE, 2 WAY, 16FG x40cm",Bard Australia Pty Ltd,C R Bard Inc,123892,"Catheter, urological, Foley"
45448,30/03/2017,Folfusor SV,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,168892,Elastomeric infusion pump system
