Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27289,9/07/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,192116,"Infusion administration set, infusion pump"
27390,17/07/2012,Agilia Intravenous Administration Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
27816,6/08/2012,Agilia Intravenous Administration Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
26116,17/08/2012,Fenwal Transfer Pack,Fresenius Kabi Australia Pty Ltd,Fenwal Inc,169160,Blood collection/cell-culture container
27729,24/08/2012,Freka Fixation Plate,Abbott Australasia Pty Ltd,Fresenius Kabi AG,154184,"Holder, tube, (specify)"
28407,6/09/2012,Agilia Volumat ST10,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
28397,6/09/2012,"Set Dual, Transfusion/ Infusion",Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,126325,"Intravenous administration set, general-purpose"
28553,14/09/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
28672,21/09/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,192116,"Infusion administration set, infusion pump"
28857,10/10/2012,"Tube, gastrointestinal",Abbott Australasia Pty Ltd,Fresenius Kabi AG,154387,"Tube, gastrointestinal"
29456,28/11/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,192116,"Infusion administration set, infusion pump"
29948,29/01/2013,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,192116,"Infusion administration set, infusion pump"
29761,15/02/2013,"Tube, gastrointestinal",Abbvie Pty Ltd,Fresenius Kabi AG,154516,"Tube, gastrointestinal"
30159,26/02/2013,Agilia Intravenous Administration Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
30196,1/03/2013,COMTEC PL1 Procedural Blood Apheresis Therapeutic Plasma Exchange Collection Kit,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,148671,Apheresis unit
30277,11/03/2013,COMTEC PL1 Procedural Blood Apheresis Therapeutic Plasma Exchange Collection Kit,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,148671,Apheresis unit
30377,18/03/2013,Comtec P1YA Blood Collection Kit,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,148671,Apheresis unit
30152,19/04/2013,"Adaptor, Luer",Abbott Australasia Pty Ltd,Fresenius Kabi AG,154185,"Adaptor, luer"
,,"Tube, gastrointestinal",Abbvie Pty Ltd,Fresenius Kabi AG,154516,"Tube, gastrointestinal"
29830,19/04/2013,"Tube, feeding, gastrostomy",Abbott Australasia Pty Ltd,Fresenius Kabi AG,154387,"Tube, gastrointestinal"
