Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27529,17/08/2012,Gamma Revision Nail,Stryker Australia Pty Ltd,Stryker Trauma GmbH,95185,"Fixation device, internal, nail, intramedullary, femur"
28350,3/09/2012,AK 200 S DIALYSIS MONITOR,Baxter Healthcare Pty Ltd,Gambro Lundia AB Monitor Division,112135,Haemodialysis unit
,,Polyflux 170H (Dialyzer),-,Gambro Lundia AB Monitor Division,,-
28493,12/09/2012,Gambro Medical Line,Baxter Healthcare Pty Ltd,Gambro Medical Products Co Ltd,135627,"Tubing set, dialysis/haemodialysis"
29334,16/11/2012,Gammex PF Powder Free Latex gloves & Gammex PF Sensitive Latex gloves,Ansell Limited T/A Ansell Healthcare,Ansell (UK) Ltd,134818,"Glove, patient examination, latex"
29539,7/12/2012,Salt Cartridge- SelectCart,Baxter Healthcare Pty Ltd,Gambro Lundia AB,201277,Sodium carbonate haemodialysis system cleaning cartridge
29451,19/12/2012,Prismaflex,Baxter Healthcare Pty Ltd,Gambro Industries,100008,"Dialyser, haemodialysis, hollow-fibre"
,,Prismaflex,Gambro Pty Ltd,Gambro Industries,100008,"Dialyser, haemodialysis, hollow-fibre"
29533,21/12/2012,Prismaflex,Baxter Healthcare Pty Ltd,Gambro Industries,100008,"Dialyser, haemodialysis, hollow-fibre"
,,Prismaflex,Gambro Pty Ltd,Gambro Lundia AB Monitor Division,142047,Therapeutic plasma exchange system
,,Stihler Prismatherm II,Gambro Pty Ltd,Stihler Electronic GmbH,97172,"Warmer, blood/solution"
29538,21/12/2012,Prismaflex,Baxter Healthcare Pty Ltd,Gambro Industries,100008,"Dialyser, haemodialysis, hollow-fibre"
,,Prismaflex,Gambro Pty Ltd,Gambro Lundia AB Monitor Division,142047,Therapeutic plasma exchange system
,,"Vascular catheter, 14F",-,Arrow International Inc,,-
29534,28/12/2012,Prismaflex,Baxter Healthcare Pty Ltd,Gambro Industries,100008,"Dialyser, haemodialysis, hollow-fibre"
,,Prismaflex,Gambro Pty Ltd,Gambro Lundia AB Monitor Division,142047,Therapeutic plasma exchange system
