Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27030,23/07/2012,Patient Monitor,GE Healthcare Australia Pty Ltd,GE Healthcare Finland Oy,115304,"Patient monitor, multiparameter"
27490,23/07/2012,Vital Temp,GE Healthcare Australia Pty Ltd,Vital Signs Colorado Inc,169063,"Probe, thermometer, single use"
27727,31/07/2012,"MRI system, full-body, superconducting magnet",GE Healthcare Australia Pty Ltd,GE Medical Systems LLC,108415,"MRI system, full-body, superconducting magnet"
28372,5/09/2012,Vivid i (Ultrasound),GE Healthcare Australia Pty Ltd,GE Medical Systems Israel Ltd,141702,"Ultrasound system, imaging, cardiovascular"
29053,25/10/2012,S/5 Aisys Anesthesia,GE Healthcare Australia Pty Ltd,Datex-Ohmeda,93955,Anaesthesia system
29054,25/10/2012,S/5 Aisys Anesthesia,GE Healthcare Australia Pty Ltd,Datex-Ohmeda,93955,Anaesthesia system
29311,23/11/2012,Lullaby (Florescent) Phototherapy System,GE Healthcare Australia Pty Ltd,Ohmeda Medical a Division of Datex-Ohmeda,140183,"Light therapy unit, photo"
29307,30/11/2012,"GE X-ray system, diagnostic, computed tomography, full-body",GE Healthcare Australia Pty Ltd,GE Healthcare Japan Corporation,116979,"X-ray system, diagnostic, computed tomography, full-body"
28927,11/12/2012,Kenex,GE Healthcare Australia Pty Ltd,Kenex Electro Medical Ltd,136957,"Protection equipment, radiation, barrier, mobile"
,,CATH LAB,GE Healthcare Australia Pty Ltd,GE Medical Systems SCS,93871,"X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital"
30174,26/02/2013,"GE Patient Circuit Kit, Adult, Disposable",GE Healthcare Australia Pty Ltd,GE Healthcare Finland Oy,119772,"Breathing circuit, anaesthesia, single use"
30892,13/05/2013,Patient Monitor,GE Healthcare Australia Pty Ltd,GE Healthcare Finland Oy,115304,"Patient monitor, multiparameter"
30350,27/05/2013,ABC Sensor Nuclear medicine system,GE Healthcare Australia Pty Ltd,GE Medical Systems Israel - Functional Imaging,200439,"Nuclear medicine system, gamma camera, stationary"
31110,31/05/2013,"Datex Engstrom, MRI patient monitor",GE Healthcare Australia Pty Ltd,GE Medical Systems Information Technologies,169172,"Patient monitor, multiparameter, transportable"
31689,5/09/2013,GE HEALTHCARE B650 Carescape monitor,GE Healthcare Australia Pty Ltd,GE Healthcare Finland Oy,115304,"Patient monitor, multiparameter"
31995,13/09/2013,"Ohmeda, Infant Incubator Giraffe Omnibed",GE Healthcare Australia Pty Ltd,Ohmeda Medical a Division of Datex-Ohmeda,139290,"Warmer, radiant, infant, stationary"
31868,2/10/2013,GE HEALTHCARE S/5 Aisys Anesthesia Machine,GE Healthcare Australia Pty Ltd,Datex-Ohmeda,93955,Anaesthesia system
,,"Aladin Cassette-, Vaporizer, anaesthesia, desflurane",GE Healthcare Australia Pty Ltd,GE Healthcare Finland Oy,140207,"Vaporizer, anaesthesia, desflurane"
32578,20/12/2013,Kenex Radiation Barrier,GE Healthcare Australia Pty Ltd,Kenex Electro Medical Ltd,136957,"Protection equipment, radiation, barrier, mobile"
,,"INNOVA 2100 CATH LAB, X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital",GE Healthcare Australia Pty Ltd,GE Medical Systems SCS,93871,"X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital"
34460,20/06/2014,"Datex Ohmeda / GE, Aestiva/5 anaesthetic machine, and ventilator with ""PSVPro"" ventilation capability",GE Healthcare Australia Pty Ltd,Datex-Ohmeda,93955,Anaesthesia system
34704,18/07/2014,Anaesthetic breathing circuit,GE Healthcare Australia Pty Ltd,Meditech Systems Ltd,181868,"Breathing circuit bag, anaesthesia, single use"
34824,1/08/2014,Medisorb Soda Lime Carbon Dioxide Absorbent,GE Healthcare Australia Pty Ltd,GE Healthcare Finland Oy,127301,"Absorber, carbon dioxide, single use"
34664,22/09/2014,iVent 201 Ventilator,GE Healthcare Australia Pty Ltd,GE Medical Systems Israel Ltd,200398,"Ventilator, transportable"
35492,13/10/2014,GE ECG MAC 1600,GE Healthcare Australia Pty Ltd,GE Medical Systems Information Technologies,159137,"Electrocardiograph, general-purpose"
35582,23/10/2014,General Electric Full Field Digital Mammogram Machine,GE Healthcare Australia Pty Ltd,GE Hungary KTF,189857,"Stereotactic biopsy system, diagnostic x-ray, mammography"
35637,25/11/2014,GE HEALTHCARE B850 Monitor,GE Healthcare Australia Pty Ltd,GE Healthcare Finland Oy,115304,Single-patient physiologic monitoring system
35922,19/12/2014,Giraffe,GE Healthcare Australia Pty Ltd,Ohmeda Medical a Division of Datex-Ohmeda,168674,"Warmer, radiant, infant, mobile"
