Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
30665,19/04/2013,Synvisc One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
30491,22/04/2013,Synvisc One (hylan G-F 20),Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
28915,10/05/2013,SynVisc,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
28957,10/05/2013,SynVisc,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
29003,10/05/2013,SynVisc One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
26816,29/05/2013,Synvisc (hylan G-F 20 Injection),Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
27049,29/05/2013,SynVisc One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
26797,29/05/2013,Synvisc-One (hylan G-F 20 Injection),Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
27005,30/05/2013,Seprafilm,Genzyme Australasia Pty Ltd,Genzyme Corporation,133341,"Barrier, absorbable, adhesion prevention"
29973,31/05/2013,Synvisc One (hylan G-F 20),Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
29891,25/07/2013,Synvisc-One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
29130,1/08/2013,Synvisc-One (hylan G-F 20 Injection),Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
32143,1/10/2013,Synvisc One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
31602,21/07/2014,Synvisc (hylan G-F 20 Injection),Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
29005,30/07/2014,Synvisc,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
32142,18/08/2014,Synvisc One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
32217,28/08/2014,Synvisc,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
32219,28/08/2014,Synvisc One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
33704,28/08/2014,Synvisc one,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Sinovial fluid supplementation substance
32203,28/08/2014,Synvisc-One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
32552,28/08/2014,Synvisc-one,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
32679,28/08/2014,Synvisc-one,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
32400,4/09/2014,Synvisc-One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
31440,5/09/2014,Synvisc,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
32430,5/09/2014,Synvisc,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
31719,5/09/2014,Synvisc One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
31973,5/09/2014,Synvisc One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
31420,5/09/2014,Synvisc One (hylan G-F 20) Injection,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
32218,9/09/2014,Synvisc,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
30673,8/10/2014,Synvisc,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
35038,9/10/2014,Synvisc,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
35165,9/10/2014,SYNVISC ONE,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
35647,29/10/2014,synvisc one,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
31190,11/11/2014,Synvisc One (hylan G-F 20) Injection,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
36432,24/02/2015,Synvisc One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
38212,27/07/2015,Synvisc One,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
40292,29/03/2016,SYNVISC-ONE (Hylan G-F 20) - Synovial fluid supple,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
40164,18/04/2016,SYNVISC - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
35327,10/06/2016,SYNVISC ONE Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
41621,14/06/2016,Synvisc One - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
35354,17/06/2016,SYNVISC - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
36181,7/07/2016,SYNVISC ONE - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
36029,11/07/2016,Synvisc - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,145345,Synovial fluid supplementation substance
37094,29/07/2016,"Synvisc One, Synovial fluid supplementation substance",Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
36031,25/08/2016,Synvisc One - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
45168,30/03/2017,SYNVISC-ONE - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
45077,25/05/2017,SYNVISC ONE - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
45058,7/06/2017,SYNVISC ONE,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
46187,9/06/2017,SYNVISC ONE - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
46188,7/08/2017,SYNVISC ONE - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
47589,9/10/2017,SYNVISC ONE - Synovial fluid supplementation substance,Genzyme Australasia Pty Ltd,Genzyme Biosurgery,159219,Synovial fluid supplementation substance
50361,27/02/2018,"Monarc Sub-Urethral Sling, Mesh, surgical",ASTORA Women's Health Australia Pty Ltd,American Medical Systems Inc,92718,"Mesh, surgical"
,,"SEPRAFilm - Barrier, absorbable, adhesion prevention",Sanofi-Aventis Australia Pty Ltd,Genzyme Corporation,133341,"Barrier, absorbable, adhesion prevention"
