Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28527,14/09/2012,Acculis Microwave ablation applicator,Getz Healthcare Pty Ltd,Microsulis Holdings Ltd incorporating Microsulis Medical Ltd,174514,"Hyperthermia applicator, microwave, intracorporeal"
28759,25/09/2012,Alphamaxx,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
28842,4/10/2012,Linear 7.5Fr. 40cc IAB Balloon Catheter,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
,,System 98XT Intra-Aortic Balloon Pump,Maquet Australia Pty Ltd,Datascope Corp,118266,"Circulatory assist unit, pump, balloon"
27571,15/01/2013,CQUR TacShield,Getinge Australia Pty Ltd,Atrium Medical Corporation,182852,"Mesh, polymeric, composite"
30059,19/02/2013,YUNO OTN Table,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
29918,22/02/2013,YUNO Extension Device,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
30450,25/03/2013,"Sensation 7FR IAB Catheter, Macquet 40CC",Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
27789,18/04/2013,Advanta V12 RX,Getinge Australia Pty Ltd,Atrium Medical Corporation,192170,"Stent, vascular, renal artery"
,,"Stent, vascular, renal artery, Herculink",Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Vascular Enterprises Limited Dublin Beringen Branch,151853,"Stent, vascular, renal artery"
29434,17/05/2013,Advanta V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
30966,2/07/2013,C-QUR V-Patch Mesh,Getinge Australia Pty Ltd,Atrium Medical Corporation,174772,"Mesh, polymeric, composite"
31675,7/08/2013,Avalon Double Lumen ECMO catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,205032,"Catheter, intravascular, general-purpose"
27928,12/09/2013,CQUR Mesh,Getinge Australia Pty Ltd,Atrium Medical Corporation,163310,"Mesh, polymeric, composite"
31792,16/09/2013,Express Mini Drainage system,Getinge Australia Pty Ltd,Atrium Medical Corporation,119726,"Drainage system, pleural"
31115,19/09/2013,C-QUR V Patch,Getinge Australia Pty Ltd,Atrium Medical Corporation,174772,"Mesh, polymeric, composite"
31067,19/09/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
30728,2/10/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Guide Wire - Rosen,-,unknown,,-
,,Introducer Sheath - Cook 7fr & 12fr,-,unknown,,-
30731,4/10/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Guidewire - Rosen,-,unknown,,-
,,Introducer - Cook,-,unknown,,-
30733,4/10/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Standard Introducer Sets - Catheter introducer,William A Cook Australia Pty Ltd,Cook Incorporated,137859,Catheter introducing sheath
30734,4/10/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Cook Flexor Introducer Sheath: 7FR,-,unknown,,-
,,"Cook Rosen Guidewire: .035, 260cm",-,unknown,,-
32210,4/10/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Cook Flexor Introducer Sheath: 7FR,-,N/K,,-
,,"Cook Rosen Guidewire: .035, 260cm",-,N/K,,-
31251,9/10/2013,YUNO Extension Device,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
31252,9/10/2013,YUNO Extension Device,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
31066,10/10/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Amplatz Super Stiff Guidewire - Catheter guide wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,201941,Catheter guide wire
30992,11/10/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Destination Sheath - 7Fr,-,unknown,,-
,,Guide Wire - Spartacoil 0.014,-,unknown,,-
,,Preloaded Cook FEVAR,-,unknown,,-
31506,15/10/2013,C-QUR V Patch Mesh,Getinge Australia Pty Ltd,Atrium Medical Corporation,174772,"Mesh, polymeric, composite"
31721,28/10/2013,YUNO Extension Device,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
30965,29/10/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Guide Wire - Cook Size 0.035 x 300cm,-,unknown,,-
,,Introducer Sheath - Cook 7Fr x 90cm,-,unknown,,-
30985,29/10/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,"Guide Wire Cook, size 0.035",-,unknown,,-
,,"Introducer Sheath - Cook, size 6Fr x 90cm",-,unknown,,-
,,PTA Balloon Abbott 7x20,-,unknown,,-
29555,29/10/2013,V12 PTFE Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Terumo 7FR.,-,Tedrumo,,-
30676,4/11/2013,C-QUR V-Patch Mesh,Getinge Australia Pty Ltd,Atrium Medical Corporation,174772,"Mesh, polymeric, composite"
30677,4/11/2013,C-QUR V-Patch Mesh,Getinge Australia Pty Ltd,Atrium Medical Corporation,174772,"Mesh, polymeric, composite"
30172,4/11/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
30729,6/11/2013,V12 Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
30090,8/11/2013,"Polite Mesh, Hernia Repair",Getinge Australia Pty Ltd,Atrium Medical Corporation,98833,"Mesh, surgical"
32788,5/12/2013,CS100 Intra-Aortic Balloon Pump,Getinge Australia Pty Ltd,Datascope Corp,118266,"Circulatory assist unit, pump, balloon"
32090,11/12/2013,Avalon Elite Bi-Caval Dual Lumen Catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,205032,"Catheter, intravascular, general-purpose"
30638,11/12/2013,CARDIOSAVE Intra-Aortic Balloon Pump,Getinge Australia Pty Ltd,Datascope Corp,118266,"Circulatory assist unit, pump, balloon"
30881,11/12/2013,CS300 Intra-Aortic Balloon Pump,Getinge Australia Pty Ltd,Datascope Corp,118266,"Circulatory assist unit, pump, balloon"
31789,23/12/2013,V12 RX Covered Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,192170,"Stent, vascular, renal artery"
,,0.014 Abbott Command wire,-,U/K,,-
,,Cook 6Fr Raabe Sheath,-,U/K,,-
31460,7/01/2014,CQUR TacShield Mesh,Getinge Australia Pty Ltd,Atrium Medical Corporation,182852,"Abdominal hernia surgical mesh, composite-polymer"
32856,4/02/2014,Advanta V12 PTFE Stent Graft System,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
32902,5/03/2014,Advanta V12 Rx stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,192170,"Stent, vascular, renal artery"
,,Abbott .014 Iron Man wire,-,n/k,,-
,,Cook 7Fr ANL Sheath,-,n/k,,-
,,Cook Fenestrated AAA Stent Graft,-,n/k,,-
33321,20/03/2014,Advanta V12 PTFE Stent Graft System,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
33378,14/04/2014,"Catheter, cardiac, balloon, intra-aortic",Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
34166,9/05/2014,QUADROX-i Oxygenator,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,144688,"Oxygenator, extracorporeal membrane"
34162,9/05/2014,Sensation Plus 8Fr. 50cc IAB,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
,,Cardiosave Intra-Aortic Balloon Pump,-,n/k,,-
34007,27/06/2014,Sensation Plus 8Fr. 50cc IAB,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
,,Cardiosave Intra-Aortic balloon pump.,-,n/k,,-
34274,1/07/2014,Linear 7.5Fr 40cc IAB,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
,,CS100 Intra-Aortic Ballon Pump,-,n/k,,-
33810,18/07/2014,Advanta V12 PTFE Stent Graft System,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
34695,18/07/2014,Occlutech / Figulla Flex II ASD,Getz Healthcare Pty Ltd,Occlutech GmbH,201602,Cardiac occluder
33929,21/07/2014,C-QUR V-Patch,Getinge Australia Pty Ltd,Atrium Medical Corporation,174772,"Abdominal hernia surgical mesh, composite-polymer"
31583,15/08/2014,Sensation Plus,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
34548,16/08/2014,Sensation Plus 8Fr 50cc IAB,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
35005,29/08/2014,Advanta PTFE Stent Graft System,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
35073,29/08/2014,Maquet Intra-Aortic Balloon and Accessories,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
35145,5/09/2014,CARDIOHELP system,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,145581,"Circulatory assist unit, pump, centrifugal"
35335,25/09/2014,BE-PLS 2051#Permanent Life Supp Set Plu,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,192105,"Tubing set, heart-lung bypass"
35444,8/10/2014,Suture Grasper Closure Device,Getz Healthcare Pty Ltd,Ranfac Corporation,191101,"Suture knot pusher, single-use"
35219,21/10/2014,V12 Rx Stent,Getinge Australia Pty Ltd,Atrium Medical Corporation,192170,"Stent, vascular, renal artery"
35562,22/10/2014,BE-HLS 7050#HLS Set Advanced 7.0,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,193475,"Tubing set, heart-lung bypass"
35378,23/10/2014,Advanta V12 PTFE Stent Graft System,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Cook IBD device,-,N/K,,-
,,Cook Rosen Wire,-,N/K,,-
35642,29/10/2014,MEGA 7.5Fr. 40cc IAB,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
35643,29/10/2014,MEGA 7.5Fr. 40CC IAB,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
35441,9/11/2014,Advanta V12 PTFE Stent Graft System,Getinge Australia Pty Ltd,Atrium Medical Corporation,156635,"Prosthesis, internal, stent, vascular"
,,Check Flow Device,-,N/K,,-
,,Inflation Devices,-,N/K,,-
,,Sheath,-,N/K,,-
35897,9/12/2014,CQUR Mesh,Getinge Australia Pty Ltd,Atrium Medical Corporation,163310,"Abdominal hernia surgical mesh, composite-polymer"
35635,9/12/2014,C-QUR Mesh,Getinge Australia Pty Ltd,Atrium Medical Corporation,163310,"Abdominal Hernia surgical mesh, composite polymer"
35679,18/12/2014,C-QUR V-Patch,Getinge Australia Pty Ltd,Atrium Medical Corporation,174772,"Abdominal hernia surgical mesh, composite-polymer"
