Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28157,24/08/2012,Surgical Gloves,Medline International Two Australia Pty Ltd,Medline Industries Inc,153248,"Glove, surgical, latex"
28424,7/09/2012,Nutex Gloves,Ansell Limited T/A Ansell Healthcare,Ansell (UK) Ltd,162902,"Glove, surgical, latex"
27500,15/10/2012,Pro choice,WRB Nominees Pty Ltd T/A Paramount Safety Products,Top Glove Sdn Bhd,180853,"Glove, patient examination, latex"
27496,16/10/2012,Pro choice,WRB Nominees Pty Ltd T/A Paramount Safety Products,Top Glove Sdn Bhd,180857,"Glove, patient examination, non-latex"
29056,24/10/2012,Apex Modular Neck,Global Manufacturing Technology Pty Ltd,Global Manufacturing Technology Pty Ltd,120787,"Prosthesis, internal, joint, hip, femoral component"
,,FIN II Acetabular Cup,Global Manufacturing Technology Pty Ltd,Gruppo Bioimplanti SRL,118604,"Prosthesis, internal, joint, hip, acetabular component"
29036,26/10/2012,early pregnancy test,E Smart Global,Nantong Egens Biotechnology Co Ltd,196220,"Urine test strip, multiple constituent"
28803,7/11/2012,Apex Stem,Global Manufacturing Technology Pty Ltd,Global Manufacturing Technology Pty Ltd,120787,"Prosthesis, internal, joint, hip, femoral component"
29334,16/11/2012,Gammex PF Powder Free Latex gloves & Gammex PF Sensitive Latex gloves,Ansell Limited T/A Ansell Healthcare,Ansell (UK) Ltd,134818,"Glove, patient examination, latex"
29586,12/02/2013,Newport,Global Orthopaedic Technology Pty Ltd,SeaSpine Inc,189006,"Fixation device, internal, spine, construct"
29655,11/04/2013,Protexis Latex Blue Neuthera Surgical Gloves,Medline International Two Australia Pty Ltd,Cardinal Health,168516,"Glove, surgical, latex"
26624,4/06/2013,MSA femoral component,Global Manufacturing Technology Pty Ltd,Global Manufacturing Technology Pty Ltd,120787,"Prosthesis, internal, joint, hip, femoral component"
25408,25/06/2013,Global Advantage HUM HD,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138288,"Prosthesis, internal, joint, shoulder, humeral component"
31300,26/06/2013,"Ansell, Nutex DermaShield Latex surgical gloves-Powder free size 6.5 size 7",Ansell Limited T/A Ansell Healthcare,Ansell NP Sdn Bhd T/a Ansell Malaysia Sdn Bhd Ansell Medical Sdn Bhd,133985,"Glove, surgical, non-latex"
31483,15/07/2013,Global RBK Metal Backed Patella,Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Pty Ltd,143925,"Prosthesis, internal, joint, knee, total"
,,"Global RBK Femoral Component, Prosthesis, internal, joint, knee, total",Global Orthopaedic Technology Pty Ltd,Global Manufacturing Technology Pty Ltd,143925,"Prosthesis, internal, joint, knee, total"
26076,13/08/2013,GLOBAL AP HUMERAL STEM,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138288,"Prosthesis, internal, joint, shoulder, humeral component"
,,"GLOBAL AP 135 DEG TAPER ASSEM,Prosthesis, internal, joint, shoulder, humeral component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138288,"Prosthesis, internal, joint, shoulder, humeral component"
,,"GLOBAL AP HUMERAL HEAD, Prosthesis, internal, joint, shoulder, humeral component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138288,"Prosthesis, internal, joint, shoulder, humeral component"
31649,2/09/2013,Sensicare Ice PF LF Nitrile Exam Glove,Medline International Two Australia Pty Ltd,Medline Industries Inc,182278,"Glove, patient examination, non-latex"
31861,2/09/2013,Sensicare Ice PF LF Nitrile Exam Glove,Medline International Two Australia Pty Ltd,Medline Industries Inc,182278,"Glove, patient examination, non-latex"
26106,6/09/2013,GLOBAL ADVANTAGE STEM,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138288,"Prosthesis, internal, joint, shoulder, humeral component"
,,"GLOBAL ADVANTAGE ECC HD, Prosthesis, internal, joint, shoulder, humeral component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138288,"Prosthesis, internal, joint, shoulder, humeral component"
,,"GLOBAL ANCHOR PEG GLENOID, Prosthesis, internal, joint, shoulder, glenoid component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,129404,"Prosthesis, internal, joint, shoulder, glenoid component"
31950,26/09/2013,"Curad 3G Stretch Vinyl Exam Gloves, Sizes S-L",Medline International Two Australia Pty Ltd,Medline Industries Inc,182278,"Glove, patient examination, non-latex"
26287,26/09/2013,GLOBAL AP HUMERAL HEAD,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,138288,"Prosthesis, internal, joint, shoulder, humeral component"
