Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
26318,4/07/2012,PT2 Coronary Guide Wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,118249,Catheter guide wire
27508,18/07/2012,Guide Wire,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139721,"Fixation device, internal, wire"
,,"Fixation device, internal, screw",Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
26899,8/08/2012,V-14 ControlWire,Boston Scientific Pty Ltd,Boston Scientific Corporation,108549,Catheter guide wire
27110,25/09/2012,PT2 Coronary Guide Wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,118249,Catheter guide wire
28763,27/09/2012,HT Balance Middleweight Universal Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,158035,Catheter guide wire
27791,3/10/2012,V-14 ControlWire,Boston Scientific Pty Ltd,Boston Scientific Corporation,108549,Catheter guide wire
28852,10/10/2012,MITRACLIP SYSTEM Steerable Guide Catheter,Abbott Vascular Division of Abbott Australasia Pty Ltd,Evalve Inc,189720,Mitral valve clip
,,MitraClip Delivery System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Evalve Inc,189720,Mitral valve clip
28930,18/10/2012,"Swartz Braided Transseptal Guiding Intro., 8F, SL1",Abbott Medical Australia Pty Ltd,St Jude Medical,135568,Catheter introducing sheath
,,BRK-1 Transseptal Needle,St Jude Medical Australia Pty Ltd,St Jude Medical,149244,"Needle, catheter"
,,SL1 introducer,St Jude Medical Australia Pty Ltd,St Jude Medical,135568,Catheter introducing sheath
27709,18/10/2012,V-14 Long Taper 300cm Straight Tip,Boston Scientific Pty Ltd,Boston Scientific Corporation,108549,Catheter guide wire
28949,22/10/2012,Asahii Intecc,Bio-Excel (Australia) Pty Ltd,Asahi Intecc Co Ltd Medical Division,163104,Catheter guide wire
28987,23/10/2012,MITRACLIP SYSTEM Steerable Guide Catheter,Abbott Vascular Division of Abbott Australasia Pty Ltd,Evalve Inc,189720,Mitral valve clip
,,Mitraclip delivery system,Abbott Vascular Division of Abbott Australasia Pty Ltd,Evalve Inc,189720,Mitral valve clip
,,Steerable Guide Catheter,-,Evalve Inc,,-
29100,1/11/2012,MITRACLIP SYSTEM Steerable Guide Catheter,Abbott Vascular Division of Abbott Australasia Pty Ltd,Evalve Inc,189720,Mitral valve clip
,,Lift - MitraClip System accessory,-,Abbott Vascular,,-
,,Perclose ProGlide,-,Abbott Vascular,,-
,,Stabilizer - MitraClip System accessory,-,Abbott Vascular,,-
,,Steerable Guide Catheter,-,Abbott Vascular,,-
,,Support Plate - MitraClip System accessory,-,Abbott Vascular,,-
29117,2/11/2012,Lifemed angiography pack with guidewire,Bard Australia Pty Ltd,Bard Australia Pty Ltd,189114,Angiographic kit
29236,20/12/2012,Flexor High-Flex Ansel Guiding Sheath,William A Cook Australia Pty Ltd,Cook Incorporated,137859,Catheter introducing sheath
28997,10/01/2013,Amplatz Superstiff Guidewire,annes test Boston Scientific Pty Ltd,Boston Scientific Corporation,159293,Catheter guide wire
29806,17/01/2013,014 HT Winn Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,180103,Catheter guide wire
30181,28/02/2013,Starfix hybrid wire,Medtronic Australasia Pty Ltd,Invatec SPA,154325,Catheter guide wire
29797,8/03/2013,Hi-Torque Connect Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Lake Region Medical Ltd,191394,Peripheral vascular guidewire
,,FoxCross,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Vascular Enterprises Limited Dublin Beringen Branch,151854,"Catheter, angioplasty, balloon dilatation"
30313,13/03/2013,HI-TORQUE BALANCE® Guide Wire with HYDROCOAT™ Hydrophilic Coating,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,158018,Catheter guide wire
29669,14/03/2013,PT2 Coronary Guide Wire,Boston Scientific Pty Ltd,Boston Scientific Corporation,118249,Catheter guide wire
30111,17/04/2013,Amplatz Super Stiff guidewire,Boston Scientific Pty Ltd,Boston Scientific Corporation,201941,Catheter guide wire
30670,17/04/2013,Neuron MAX 6F 088 Long Sheath,Penumbra Neuro Australia Pty Ltd,Penumbra Inc,202251,"Catheter, intravascular, guiding"
,,"Penumbra Coil System 400 - Prosthesis, internal, embolization, intravascular",Penumbra Neuro Australia Pty Ltd,Penumbra Inc,182354,"Prosthesis, internal, embolization, intravascular"
