Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28034,14/08/2012,CORFLO-ULTRA Tube,Halyard Australia Pty Ltd,Viasys Medsystems,138669,Enteral feeding kit
31292,26/06/2013,Obtryx Halo Single System Device,Boston Scientific Pty Ltd,Boston Scientific Corporation,104326,"Mesh, surgical"
28007,2/10/2013,BARRX Medical Halo 360 Generator,Device Technologies Australia Pty Ltd,Barrx Medical Inc,140684,"Electrosurgical unit, endotherapy"
29618,29/10/2013,Self-drilling Half Pin Apex 5mm 180x50mm,Stryker Australia Pty Ltd,Stryker Trauma AG,139621,"Fixation device, internal, pin"
32665,22/11/2013,KaVo Estetica E70 Treatment Unit,Henry Schein Halas,Kaltenbach & Voigt GmbH,157719,"Supply unit, dental"
,,Handpiece attached to the dental unit,-,N/K,,-
33569,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33570,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33571,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33668,7/07/2014,Hu-Friedy Ultrasonic Insert,Henry Schein Halas,Hu Friedy Mfg Co Inc,116469,"Scaler system tip, periodontic, ultrasonic"
32657,18/09/2014,31 MM HALO360+ ABLATION CATHR,Device Technologies Australia Pty Ltd,Barrx Medical Inc,140685,"Electrode, electrosurgical, active, hand-controlle"
37349,13/05/2015,Milestone Wand STA Hand Piece,Henry Schein Halas,Milestone Scientific Inc,95633,"Infusion administration set, controller"
37379,15/05/2015,Halyard Gown Surgical large sterile,Halyard Australia Pty Ltd,Halyard Health Inc,237469,"Gown, operating room, single use"
38434,27/08/2015,ACMI Gyrus Halo PKS cutting forceps 5mm x 33cm,Olympus Australia Pty Ltd,Gyrus Acmi Inc,134023,"Electrosurgical system electrode, active, general-purpose, single-use"
