Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27191,2/07/2012,BHR Modular Head,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124100,"Prosthesis, hip, internal, femoral head component"
,,"Prosthesis, internal, joint, hip, acetabular component",Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124099,"Prosthesis, internal, joint, hip, acetabular component"
27198,2/07/2012,BHR Modular Head,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124100,"Prosthesis, hip, internal, femoral head component"
,,"Prosthesis, internal, joint, hip, acetabular component",Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124099,"Prosthesis, internal, joint, hip, acetabular component"
27225,2/07/2012,BHR Modular Head,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124100,"Prosthesis, hip, internal, femoral head component"
,,CPCS COCR PRIM HO STEM,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Inc Orthopaedic Division,101100,"Prosthesis, internal, joint, hip, femoral component"
,,R3 3 hole cup,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Inc Orthopaedic Division,94423,"Prosthesis, internal, joint, hip, acetabular component"
,,R3 CoCr Acetabular Liner,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics Limited,124099,"Prosthesis, internal, joint, hip, acetabular component"
27223,2/07/2012,HeartStart MRx,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27224,2/07/2012,HeartStart MRx,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27233,3/07/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
27254,4/07/2012,Ventilator System,Covidien Pty Ltd,Tyco Healthcare Group LP Puritan Bennett Division,138256,"Ventilator, adult"
25087,5/07/2012,32MM +4 LFIT V40 HEAD,Stryker Australia Pty Ltd,Benoist Girard,139227,"Prosthesis, hip, internal, femoral head component"
27272,5/07/2012,Delta ceramic femoral head,Biomet Australia Pty Ltd,Biomet UK Ltd,131646,"Prosthesis, hip, internal, femoral head component"
