Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29962,25/01/2013,HeartWare Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
29814,5/03/2013,HeartWare Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
29922,8/04/2013,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
30401,19/06/2013,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
32099,26/09/2013,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
30386,4/10/2013,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
32603,16/11/2013,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
31984,18/12/2013,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
,,"Heartware Ventricular Assist System - Circulatory assist system, artificial heart, temporary",Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
32447,19/12/2013,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
32515,31/12/2013,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
32953,7/02/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
33435,22/02/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, tempo"
33752,27/03/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
33832,4/04/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
33833,4/04/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
33502,9/04/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, tempo"
33776,17/05/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, tempo"
34129,3/06/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,"HeartWare, Inc.",181875,"Circulatory assist system, artificial heart, tempo"
34439,18/06/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
,,Battery,-,n/k,,-
33238,1/08/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
32533,22/08/2014,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,"HeartWare, Inc.",181875,"Circulatory assist system, artificial heart, tempo"
,,"Heartware Ventricular Assist System - Circulatory assist system, artificial heart, temporary",Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
35276,28/02/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare,181875,"Circulatory assist system, artificial heart, tempo"
,,Batterty,-,N/K,,-
,,Battery,-,N/K,,-
,,Controller,-,N/K,,-
35277,28/02/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare,181875,"Circulatory assist system, artificial heart, tempo"
,,Battery,-,N/K,,-
33524,28/02/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, tempo"
33594,28/02/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, tempo"
,,BAT100635 - Battery,-,n/k,,-
,,BAT100706 - Battery,-,n/k,,-
,,BAT100747 - Battery,-,n/k,,-
,,BAT101221 - Battery,-,n/k,,-
,,BAT103585 - Battery,-,n/k,,-
,,BAT103594 - Battery,-,n/k,,-
34802,28/02/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare,181875,"Circulatory assist system, artificial heart, tempo"
33397,5/03/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,"HeartWare, Inc.",181875,"Circulatory assist system, artificial heart, temporary"
,,Battery-BAT094292,-,N/K,,-
,,Battery-BAT094294,-,N/K,,-
,,Battery-BAT094469,-,N/K,,-
,,Battery-BAT094480,-,N/K,,-
33554,5/03/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
,,Battery-BAT018178,-,n/k,,-
,,Battery-BAT018179,-,n/k,,-
,,Battery-BAT093609,-,n/k,,-
,,Battery-BAT093618,-,n/k,,-
34539,5/03/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
,,BAT017903- Battery,-,n/k,,-
,,BAT100041- Battery,-,n/k,,-
,,BAT100440- Battery,-,n/k,,-
,,BAT100446- Battery,-,n/k,,-
,,BAT100541- Battery,-,n/k,,-
,,CON003714- Controller,-,n/k,,-
34882,6/03/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
33555,6/03/2015,"HeartWare® Ventricular Assist System,Circulatory assist system, artificial heart, tempo",Medtronic Australasia Pty Ltd,HeartWare,181875,"Circulatory assist system, artificial heart, tempo"
33881,22/05/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, tempo"
36334,22/05/2015,"HeartWare® Ventricular Assist System - Battery, secondary",Medtronic Australasia Pty Ltd,HeartWare Inc,277233,"Battery, secondary"
,,"Batteries: BAT100754, BAT100753, BAT100751 and BAT100748",-,N/K,,-
34289,3/06/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, tempo"
34290,9/06/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, tempo"
36552,30/06/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, tempo"
,,"Heartware Ventricular Assist System - Circulatory assist system, artificial heart, temporary",Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
35092,30/07/2015,"HeartWare® Ventricular Assist System, Battery",Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
,,"Heartware Ventricular Assist System - Circulatory assist system, artificial heart, temporary",Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
38179,4/08/2015,HeartWare® Ventricular Assist System,Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
,,"Heartware Ventricular Assist System - Circulatory assist system, artificial heart, temporary",Medtronic Australasia Pty Ltd,HeartWare Inc,181875,"Circulatory assist system, artificial heart, temporary"
