Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
32665,22/11/2013,KaVo Estetica E70 Treatment Unit,Henry Schein Halas,Kaltenbach & Voigt GmbH,157719,"Supply unit, dental"
,,Handpiece attached to the dental unit,-,N/K,,-
33569,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33570,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33571,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33668,7/07/2014,Hu-Friedy Ultrasonic Insert,Henry Schein Halas,Hu Friedy Mfg Co Inc,116469,"Scaler system tip, periodontic, ultrasonic"
37349,13/05/2015,Milestone Wand STA Hand Piece,Henry Schein Halas,Milestone Scientific Inc,95633,"Infusion administration set, controller"
38491,3/09/2015,Benchtop Ultrasonic Cleaner,Henry Schein Halas,Coltene Whaledent Inc,112986,"Bath, ultrasonic cleaning unit"
53615,7/01/2019,"Tungsten Carbide Bur KOMET #H141-050 Bone Cutter HP x 1 - Bur, dental, carbide",Henry Schein Halas,Gebr Brasseler GmbH & Co KG,118116,"Bur, dental, carbide"
57857,11/06/2019,"Kuraray Majesty Esthetic PLT Shade B1 - Dental material kit, composite restorative",Henry Schein Halas,Kuraray Noritake Dental Inc,151060,"Dental material kit, composite restorative"
,,"Dental bonding agent, polymer based",Kerr Australia Pty Ltd,Kerr Corporation,117418,"Dental bonding agent, polymer based"
,,Dental etching composite,Dentavision Pty Ltd,Pulpdent Corporation,99101,Dental etching composite
57560,17/06/2019,Flairesse Prophylaxis gel - Dentifrice,Henry Schein Halas,Dmg Chemisch-Pharmazeutische Fabrik GmbH,242497,Dentifrice
58634,24/10/2019,"Tungsten Carbide Bur KOMET #H33LSOS-320-016 HP - Bur, dental, carbide",Henry Schein Halas,Gebr Brasseler GmbH & Co KG,118116,"Bur, dental, carbide"
