Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28497,26/09/2012,Palacos R&G 40 gm,Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,133411,"Cement, orthopaedic, bone"
28560,28/11/2013,Palacos bone cement,Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,133411,"Cement, orthopaedic, bone"
37918,29/07/2015,Palacos orthopaedic bone cement,Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,133412,"Cement, orthopaedic, bone"
38488,21/09/2016,"Palacos MV + G, Cement, orthopaedic, bone",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,147285,"Cement, orthopaedic, bone"
40332,24/10/2016,"Palacos Cement, orthopaedic, bone",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,133411,"Cement, orthopaedic, bone"
42961,24/10/2016,"Palacos MV + G - Cement, orthopaedic, bone",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,147285,"Cement, orthopaedic, bone"
,,"Mixer, orthopaedic cement",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,157700,"Orthopaedic cement mixer, manual"
45371,4/05/2017,"Palacos MV + G - Cement, orthopaedic, bone",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,147285,"Cement, orthopaedic, bone"
,,Medacta Stem,-,Medacta,,-
45377,20/11/2017,"Palacos MV + G - Cement, orthopaedic, bone",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,147285,"Cement, orthopaedic, bone"
,,C-Stem / Depuy,-,Depuy J&J,,-
51001,7/05/2018,Snare 2 IVCF Retrieval System - Vena cava filter extraction/repositioning kit,Bard Australia Pty Ltd,Heraeus Medical Components LLC,217878,Vena cava filter extraction/repositioning kit
51740,7/06/2018,"Palacos MV + G - Cement, orthopaedic, bone",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,147285,"Cement, orthopaedic, bone"
,,Optivac,-,Zimmer-Biomet,,-
