Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28612,18/09/2012,ADVIA Centaur and ADVIA Centaur XP - Total hCG,Siemens Healthcare Pty Ltd,Siemens Healthcare Diagnostics Inc,175698,Clinical chemistry hormone IVDs
26957,23/10/2012,Immulite 2000,Siemens Healthcare Pty Ltd,Siemens Healthcare Diagnostics Inc,174399,Instrument/analyser IVDs
,,Thyroglobulin Assay,Siemens Ltd Diagnostics Division,Siemens Healthcare Diagnostics Products Ltd,179720,Clinical chemistry hormone IVDs
27401,5/11/2012,Instrument: Advia Centaur XP and Assay: Total hCG,Siemens Healthcare Pty Ltd,Siemens Healthcare Diagnostics Inc,175698,Clinical chemistry hormone IVDs
,,Instrument/analyser IVDs,Siemens Ltd Diagnostics Division,Siemens Healthcare Diagnostics Inc,174383,Instrument/analyser IVDs
29073,12/02/2013,Total hCG,Siemens Healthcare Pty Ltd,Siemens Healthcare Diagnostics Inc,175698,Clinical chemistry hormone IVDs
31684,6/08/2013,Innovacon hCG Urine,Abbott Rapid Diagnostics Pty Ltd,Innovacon Inc,209317,Clinical chemistry hormone IVDs
35183,3/10/2014,Surestep HCG Urine Cassette (40T),Abbott Rapid Diagnostics Pty Ltd,Innovacon Inc,209317,Clinical chemistry hormone IVDs
32944,20/12/2014,Access® Total BhCG,Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,213976,Clinical chemistry hormone IVDs
,,"UniCel® DxI 800 Access® Immunoassay System, Instrument/analyser IVDs",Beckman Coulter Australia Pty Ltd,Beckman Coulter Inc,177999,Instrument/analyser IVDs
36450,5/02/2015,SureStep HCG Urine Cassette (25T),Abbott Rapid Diagnostics Pty Ltd,Innovacon Inc,209317,Clinical chemistry hormone IVDs
37404,19/05/2015,Innovacon hCG Urine (40 per box),Abbott Rapid Diagnostics Pty Ltd,Innovacon Inc,209317,Clinical chemistry hormone IVDs
