Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27881,14/08/2012,Satin soft uncuffed ET tube - size 3.5and 4,Covidien Pty Ltd,Mallinckrodt Medical Imaging Ireland,121578,"Tube, tracheal, general-purpose, single-use"
28372,5/09/2012,Vivid i (Ultrasound),GE Healthcare Australia Pty Ltd,GE Medical Systems Israel Ltd,141702,"Ultrasound system, imaging, cardiovascular"
28964,15/10/2012,Medrad Intego PET Infusion System,Imaxeon Pty Ltd,Medrad Inc,150049,"Infusion pump, general-purpose"
28966,15/10/2012,Medrad Intego PET Infusion System,Imaxeon Pty Ltd,Medrad Inc,150049,"Infusion pump, general-purpose"
29099,31/10/2012,Resonance CinemaVision,Imaxeon Pty Ltd,Resonance Technology Inc,179557,"Stimulator, evoked response, visual"
30548,7/03/2013,Imagine Pregnancy Test,Point Of Care Diagnostics Australia Pty Ltd,Unimed International,92258,"Reagents, Pregnancy Testing"
30350,27/05/2013,ABC Sensor Nuclear medicine system,GE Healthcare Australia Pty Ltd,GE Medical Systems Israel - Functional Imaging,200439,"Nuclear medicine system, gamma camera, stationary"
28916,19/08/2013,Symbol T Imaging System,Siemens Healthcare Pty Ltd,Siemens Medical Solutions USA Inc Molecular Imaging,123883,SPECT/CT diagnostic imaging system
31877,29/08/2013,Type-S Thermoplastic,alphaXRT Pty Ltd,CIVCO Medical Solutions Inc,149574,"Patient positioning device, diagnostic imaging/radiotherapy, moulding, thermoplastic"
31801,10/09/2013,Philips X7-2t Transducer (MTEE) Compact,Philips Electronics Australia Ltd,Philips Healthcare,93851,"Ultrasound system, imaging, general-purpose"
,,Philips iE33 Ultrasound System,Philips Electronics Australia Ltd,Philips Ultrasound Inc,93851,"Ultrasound system, imaging, general-purpose"
29824,11/10/2013,Biograph mCT-S(64) 4R,Siemens Healthcare Pty Ltd,Siemens Medical Solutions USA Inc Molecular Imaging,144218,"Combination diagnostic imaging system, PET/CT"
32850,12/12/2013,Varian On Board Imaging (OBI),Varian Medical Systems Australasia Pty Ltd,Varian Medical Systems Inc,116839,"Accelerator system, linear"
32759,30/01/2014,Philips M2540A EnVisor System,Philips Electronics Australia Ltd,Philips Ultrasound Inc,93851,"Ultrasound system, imaging, general-purpose"
33290,7/02/2014,Cardiac Ultraound platform,Philips Electronics Australia Ltd,Philips Ultrasound Inc,93851,"Ultrasound system, imaging, general-purpose"
33569,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33570,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33571,8/03/2014,i-CAT,Henry Schein Halas,Imaging Sciences International Inc,159496,"X-ray system, diagnostic, dental, panoramic/tomographic, digital"
33764,28/03/2014,I-Beam Type S Overlay,alphaXRT Pty Ltd,CIVCO Medical Solutions Inc,149576,"Patient positioning device, diagnostic imaging/radiotherapy, head/neck"
