Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27195,2/07/2012,ALTRUA 40 DDDR-EL Dual Chamber Extended Longevity IS-1,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,158085,"Pacemaker, cardiac, implantable"
,,Dextrus lead,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,140309,"Lead, pacemaker, implantable, endocardial"
27202,2/07/2012,Promote Accel RF Model CD3215,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,158920,"Defibrillator, implantable, automatic"
27237,3/07/2012,Perclose ProGlide 6F Suture Medicated Closure (SMC) System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,192246,"Suture/ligature implanting instrumentation, percutaneous"
26799,5/07/2012,Durata Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,159845,"Lead, defibrillator/pacemaker, implantable"
,,Current RF DR Model 2207,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,149302,"Defibrillator, implantable, automatic"
27784,5/07/2012,Linox Smart,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,191636,"Lead, defibrillator/pacemaker, implantable"
27266,5/07/2012,Prostar XL Suture-Mediated Closure,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,192246,"Suture/ligature implanting instrumentation, percutaneous"
27284,6/07/2012,Contak Renewal TR 2 Bi-ventricular Pacemaker LV-1,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,101573,"Pacemaker, cardiac, implantable"
26818,10/07/2012,INSIGNIA,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,131143,"Pacemaker, cardiac, implantable"
27008,17/07/2012,COGNIS HE IS-1/DF-1/IS-1 Bi-Ventricular ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154033,"Defibrillator, implantable, automatic, dual-chamber"
27407,17/07/2012,FLEXTEND,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,129949,"Lead, defibrillator/pacemaker, implantable"
27383,17/07/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27406,18/07/2012,"Octrode Lead Kit, 60cm Length",Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,"Electrode/lead, stimulator, implantable, neurological"
,,Eon Mini IPG Model 3788,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,154912,"Stimulator, electrical, analgesic, spinal cord"
,,"Holder, cable/lead",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,129858,"Holder, cable/lead"
,,Lead Model 3186,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,132097,Neural-tissue electrical stimulation lead
27422,20/07/2012,Quartet Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,171332,"Lead, pacemaker, implantable, endocardial"
,,"Adaptor, pacemaker, lead, implantable",St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,124288,Pacing lead adaptor
,,Tendril STS Lead Model 2088TC,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,170587,"Lead, defibrillator/pacemaker, implantable"
27354,23/07/2012,CPT Stem Inserter,Zimmer Biomet Pty Ltd,Zimmer Inc,109936,Prosthetic joint implantation kit
27456,23/07/2012,ENDOTAK RELIANCE,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,165644,"Lead, defibrillator/pacemaker, implantable"
,,INCEPTA DR Dual-Chamber ICD,Boston Scientific Pty Ltd,Boston Scientific Corporation,192551,"Defibrillator, implantable, automatic, dual-chamber"
27475,24/07/2012,SELUTE Picotip Atrial J,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,128828,"Lead, pacemaker, implantable, endocardial"
27879,24/07/2012,Sonata i 100,Pacing Importers Pty Ltd,Med-El Elektromedizinische Geraete GmbH,145733,"Stimulator, electrical, auditory, cochlea"
27213,25/07/2012,INSIGNIA I Ultra DDDRO Dual Chamber IS-1 Comp,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,101793,"Pacemaker, cardiac, implantable"
27534,25/07/2012,Quattrode Electrode/Lead,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131946,"Electrode/lead, stimulator, implantable, neurological"
27505,25/07/2012,TELIGEN IS-4 - Single Chamber ICD,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,154036,"Defibrillator, implantable, automatic, dual-chamber"
