Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27770,3/08/2012,INRatio2,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
27818,7/08/2012,INRatio2,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
28843,3/10/2012,INRatio,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
28844,3/10/2012,INRatio,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
28304,12/10/2012,QuickFlex Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,161391,"Lead, defibrillator/pacemaker, implantable"
,,Abbott Vascular Guidewire,-,Abbott Vascular,,-
,,CPS Aim SL Slittable Inner Catheter Subselector with Integrated Valve,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,167743,"Catheter, cardiac, ventricular"
,,CPS Direct SL II Slittable Outer Guide Catheter,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,170449,"Catheter, cardiac, ventricular"
,,Peel-Away introducer,St Jude Medical Australia Pty Ltd,St Jude Medical,135569,"Catheter introducer, haemostasis valve"
28944,19/10/2012,Triage 8,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,160951,Human origin material
29149,29/10/2012,Alere Testpack,Inverness Medical Innovations Australia Pty Ltd,Inverness Medical Japan Co Ltd,170475,Human origin material
29150,29/10/2012,Alere TestPack,Inverness Medical Innovations Australia Pty Ltd,Inverness Medical Japan Co Ltd,170475,Human origin material
29151,29/10/2012,Alere TestPack,Inverness Medical Innovations Australia Pty Ltd,Inverness Medical Japan Co Ltd,170475,Human origin material
29152,29/10/2012,Alere TestPack,Inverness Medical Innovations Australia Pty Ltd,Inverness Medical Japan Co Ltd,170475,Human origin material
29248,8/11/2012,INRatio,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
29578,7/12/2012,INRatio,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
29583,11/12/2012,INRatio2,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
28532,13/12/2012,Innova,Boston Scientific Pty Ltd,Boston Scientific Corporation,104281,"Prosthesis, internal, stent, vascular"
29644,17/12/2012,INRatio,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
29661,28/02/2013,Innova,Boston Scientific Pty Ltd,Boston Scientific Corporation,104281,"Prosthesis, internal, stent, vascular"
30021,6/03/2013,INRatio,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
30822,24/04/2013,INRatio,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
30937,17/05/2013,Alere Pregnancy test,Inverness Medical Innovations Australia Pty Ltd,Inverness Medical Japan Co Ltd,170475,Human origin material
31137,7/06/2013,PORTEX BLUE LINE ULTRA TRACHEOSTOMY TUBE INNER CANNULA,Smiths Medical Australasia Pty Ltd,Smiths Medical International Limited,138261,"Tube, tracheostomy, reusable"
30721,12/06/2013,Innova Over-The-Wire Self Expanding Vascular Stent,Boston Scientific Pty Ltd,Boston Scientific Corporation,104281,"Prosthesis, internal, stent, vascular"
31427,10/07/2013,Innovacon hCG Urine,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,160951,Human origin material
31531,19/07/2013,INRatio,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
31647,1/08/2013,INRatio,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
31684,6/08/2013,Innovacon hCG Urine,Abbott Rapid Diagnostics Pty Ltd,Innovacon Inc,209317,Clinical chemistry hormone IVDs
31670,9/08/2013,INRatio2 PST Kit INTL,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,162331,Prothrombin time kit
31755,12/08/2013,TestPack + Plus hCG Urine with OBC,Inverness Medical Innovations Australia Pty Ltd,Inverness Medical Japan Co Ltd,170475,Human origin material
31666,26/08/2013,Alere hCG Combo Cassette,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,160951,Human origin material
