Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27783,10/08/2012,Jelco ACUVANCE PLUS Safety I.V. Catheter,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,167128,"Catheter, intravascular, peripheral"
28608,2/12/2013,K-Y Jelly,Reckitt Benckiser Pty Ltd,Johnson & Johnson Pacific Pty Ltd,96194,"Lubricant, patient, vaginal"
32886,16/12/2013,Protect & Safety IV Catheter - Jelco - Smiths Medical,Smiths Medical Australasia Pty Ltd,Smiths Medical International Ltd,129181,"Catheter, intravascular, peripheral"
30467,24/01/2014,JELCO Protectiv Plus Safety I.V. Catheter,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,167128,"Catheter, intravascular, peripheral"
27185,10/02/2014,K-Y BRAND LUBRICATING JELLY,Reckitt Benckiser Pty Ltd,Johnson & Johnson Sante Beaute France SAS,125935,"Lubricant, patient"
31739,10/11/2014,K-Y Jelly Personal Lubricant,Reckitt Benckiser Pty Ltd,Johnson & Johnson Pacific Pty Ltd,96194,"Lubricant, patient, vaginal"
38444,27/08/2015,Jelco ViaValve Safety I.V. Catheter,Smiths Medical Australasia Pty Ltd,Smiths Medical International Ltd,129181,"Catheter, intravascular, peripheral"
44798,10/02/2017,Viavalve/Jelco - Peripheral Intra-venous cannula sixe 18g,Smiths Medical Australasia Pty Ltd,Smiths Medical International Ltd,129181,"Catheter, intravascular, peripheral"
45827,6/09/2017,Jelco - Optiva Peripheral vascular infusion/aspiration catheter,Smiths Medical Australasia Pty Ltd,Smiths Medical International Limited,260432,Peripheral vascular infusion/aspiration catheter
46218,26/02/2018,"Jelco - Needle, blood collecting",Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,144288,"Needle, blood collecting"
