Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29982,24/01/2013,Juvederm Ultra XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
30022,13/02/2013,Juvederm VOLUMA With Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
31256,24/07/2013,Juvederm VOLUMA with Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
29843,30/07/2013,Juvederm Ultra XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
32144,15/10/2013,Juvederm VOLUMA with Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
32231,28/10/2013,Juvederm Ultra XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
32235,28/10/2013,Juvederm VOLBELLA with Lidocaine,Allergan Australia Pty Ltd,Allergan,204185,"Tissue reconstructive material, biological"
32184,30/10/2013,Juvéderm® VOLUMA® XC,Allergan Australia Pty Ltd,Allergan,172617,"Tissue reconstructive material, biological"
32656,11/12/2013,Juvéderm ULTRA™ XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
32417,2/01/2014,Juvederm Ultra XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
29128,23/01/2014,Juvederm Injection,Allergan Australia Pty Ltd,Allergan,204186,"Tissue reconstructive material, biological"
33488,14/03/2014,Juvederm Voluma with Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
33657,1/04/2014,Juvéderm ULTRA® XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
34093,27/05/2014,Juvederm VOLUMA with Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
34302,23/06/2014,Juvéderm ULTRA™ XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
31905,22/07/2014,Juvederm Voluma with Lidocaine,Allergan Australia Pty Ltd,Allergan,196358,"Tissue reconstructive material, biological"
31338,8/04/2015,Juvederm ULTRA XC,Allergan Australia Pty Ltd,Allergan,169516,"Tissue reconstructive material, biological"
36672,13/05/2015,"JUVEDERM ULTRA/24HV , Biological tissue reconstruc",Allergan Australia Pty Ltd,Allergan,169516,Biological tissue reconstructive material
34264,20/05/2015,"Juvederm VOLIFT with Lidocaine Tissue reconstructive material, biological",Allergan Australia Pty Ltd,Allergan,204186,"Tissue reconstructive material, biological"
40448,27/04/2016,JUVEDERM VOLUMA,Allergan Australia Pty Ltd,Allergan,172617,Biological tissue reconstructive material
,,"Juvederm VOLBELLA with Lidocaine - Tissue reconstructive material, biological",Allergan Australia Pty Ltd,Allergan,204185,"Tissue reconstructive material, biological"
40921,13/05/2016,Juvederm Volbella - Biological tissue reconstructi,Allergan Australia Pty Ltd,Allergan,204185,Biological tissue reconstructive material
,,BOTOX,Allergan Australia Pty Ltd,Allergan,195530,-
40430,24/05/2016,Juvederm VOLUMA With Lidocaine 1mL,Allergan Australia Pty Ltd,Allergan,172617,Biological tissue reconstructive material
