Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
30382,28/03/2013,V.A.C. ® Therapy,KCI Medical Australia Pty Ltd,KCI USA Inc,141023,"Dressing, interactive"
,,ActiV.A.C.® Therapy System,KCI Medical Australia Pty Ltd,KCI USA Inc,192304,"Suction system, wound, powered"
34436,17/06/2014,"KCI, ActiVAC 300mL Canister",KCI Medical Australia Pty Ltd,KCI USA Inc,141024,"Suction system canister, single-use"
34573,3/07/2014,V.A.C.® Therapy,KCI Medical Australia Pty Ltd,KCI USA Inc,192304,"Suction system, wound, powered"
34719,21/07/2014,300ml Canister (with Gel) for ActiV.A.C. Therapy System,KCI Medical Australia Pty Ltd,KCI USA Inc,141024,"Suction system canister, single-use"
37343,12/05/2015,Vac Dressing,KCI Medical Australia Pty Ltd,KCI USA Inc,141024,"Suction system canister, single-use"
38401,21/08/2015,ABThera™ Negative Pressure Therapy Unit,KCI Medical Australia Pty Ltd,KCI USA Inc,219615,"Suction unit, electric powered"
39271,4/02/2016,V.A.C Therapy ActiV.A.C Therapy System,KCI Medical Australia Pty Ltd,KCI USA Inc,227705,Negative-pressure wound therapy system pump
40590,15/04/2016,Prevena™ Customizable™ Dressing,KCI Medical Australia Pty Ltd,KCI USA Inc,215636,"Negative-pressure wound therapy system, battery-powered, single-use"
,,"V.A.C.ULTA™ Therapy, Suction system, wound, powered",KCI Medical Australia Pty Ltd,KCI USA Inc,209512,"Suction system, wound, powered"
41832,1/07/2016,"Prevena Therapy Suction system, wound, powered",KCI Medical Australia Pty Ltd,KCI USA Inc,192304,"Suction system, wound, powered"
41732,14/07/2016,"Nanova™ Therapy System - Negative-pressure wound therapy system pump, mechanical",KCI Medical Australia Pty Ltd,KCI USA Inc,232715,"Negative-pressure wound therapy system pump, mechanical"
44825,13/02/2017,VAC.® Dressing - Negative-pressure wound therapy system foam dressing,KCI Medical Australia Pty Ltd,KCI USA Inc,214318,Negative-pressure wound therapy system foam dressing
40492,8/03/2017,V.A.C.® Therapy - Negative-pressure wound therapy system dressing set,KCI Medical Australia Pty Ltd,KCI USA Inc,214318,Negative-pressure wound therapy system foam dressing
47825,8/09/2017,V.A.C.® Therapy GranuFoam™ Dressing - Negative-pressure wound therapy system foam dressing,KCI Medical Australia Pty Ltd,KCI USA Inc,214318,Negative-pressure wound therapy system foam dressing
52777,27/07/2018,"PREVENA™ Incision Management System - Negative-pressure wound therapy system, battery-powered, single-use",KCI Medical Australia Pty Ltd,KCI USA Inc,215636,"Negative-pressure wound therapy system, battery-powered, single-use"
52773,27/07/2018,"V.A.C.ULTA™ Negative Pressure Wound Therapy System - Suction system, wound, powered",KCI Medical Australia Pty Ltd,KCI USA Inc,209512,"Suction system, wound, powered"
53150,19/09/2018,PREVENA™ Incision Management System - Negative-pressure wound therapy system,KCI Medical Australia Pty Ltd,KCI USA Inc,215636,"Negative-pressure wound therapy system, battery-powered, single-use"
55213,31/01/2019,"PREVENA™ Incision Management System - Negative-pressure wound therapy system, battery-powered, single-use",KCI Medical Australia Pty Ltd,KCI USA Inc,215636,"Negative-pressure wound therapy system, battery-powered, single-use"
