Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28480,12/09/2012,Ultra Injector,AMO Australia Pty Ltd,Duckworth & Kent Ltd,131006,Intraocular lens inserter
,,One Series Ultra Cartridge,AMO Australia Pty Ltd,Abbott Medical Optics Inc,179040,Intraocular lens inserter
28927,11/12/2012,Kenex,GE Healthcare Australia Pty Ltd,Kenex Electro Medical Ltd,136957,"Protection equipment, radiation, barrier, mobile"
,,CATH LAB,GE Healthcare Australia Pty Ltd,GE Medical Systems SCS,93871,"X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital"
27554,3/05/2013,Kendall Argyle All Silicone Foley Catheter 12F,Medtronic Australasia Pty Ltd,Covidien llc,184753,"Catheter, urological, Foley"
27898,27/05/2013,20FRX3.5CM ENTRISTAR SLG X1,Covidien Pty Ltd,Kendall a Division of Tyco Healthcare Group LP,133929,Enteral feeding kit
31125,4/06/2013,Wolf Electrode,C R Kennedy & Co Pty Ltd,Richard Wolf GmbH,205640,"Endotherapy device, active, single use"
27061,28/06/2013,SCD EXPRESS TUBING,Covidien Pty Ltd,Kendall a Division of Tyco Healthcare Group LP,108756,"Tubing, (specify)"
27092,1/07/2013,Kendall SCD700 Series Controller,Medtronic Australasia Pty Ltd,Covidien llc,178216,"Compression system pump, sequential"
27950,3/10/2013,Curl catheter 2 cuff 57cm,Covidien Pty Ltd,Kendall a Division of Tyco Healthcare Group LP,132380,"Catheterization kit, peritoneal dialysis"
28151,18/10/2013,"Tube, feeding, gastrostomy",Covidien Pty Ltd,Kendall a Division of Tyco Healthcare Group LP,95284,"Tube, feeding, gastrostomy"
31265,21/11/2013,Covidien Kendall Entriflex,Abbvie Pty Ltd,Covidien llc,201767,"Tube, feeding, nasoenteral"
32578,20/12/2013,Kenex Radiation Barrier,GE Healthcare Australia Pty Ltd,Kenex Electro Medical Ltd,136957,"Protection equipment, radiation, barrier, mobile"
,,"INNOVA 2100 CATH LAB, X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital",GE Healthcare Australia Pty Ltd,GE Medical Systems SCS,93871,"X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital"
32705,20/08/2014,Kendall SCD 700 Comfort Compression system stocking,Medtronic Australasia Pty Ltd,Covidien llc,177467,"Compression system stocking/suit/sleeve, multi-chamber, single-use"
43417,4/08/2017,Kendall AMD anti-microbial Foam Disc,Medtronic Australasia Pty Ltd,Covidien llc,203222,"Dressing, antimicrobial"
55590,31/01/2019,"Bien Air - Bur, orthopaedic",C R Kennedy & Co Pty Ltd,Bien Air Surgery SA,148632,"Bur, orthopaedic"
55633,4/02/2019,"Bien Air - Bur, orthopaedic",C R Kennedy & Co Pty Ltd,Bien Air Surgery SA,148632,"Bur, orthopaedic"
56293,13/03/2019,The Kendall SCD 700 Sequential Compression System,Medtronic Australasia Pty Ltd,Covidien llc,178216,"Compression system pump, sequential"
