Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27450,13/07/2012,Sulcoflex Aspheric,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
27453,13/07/2012,Sulcoflex Aspheric,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
,,Rayner Single Use Soft Tipped Disposable Injector,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,172621,Intraocular lens inserter
,,Sulcoflex Aspheric 653L IOL,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
28626,3/09/2012,Intraocular Lens,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
29211,5/11/2012,Sulcoflex Toric,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
29212,5/11/2012,Sulcoflex Toric,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
29902,10/01/2013,Superflex Lens,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
29905,10/01/2013,Superflex Lens,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
29904,10/01/2013,T-Flex Lens,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
30034,4/02/2013,Intraocular Lens,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
30035,4/02/2013,Intraocular Lens,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
30036,4/02/2013,Intraocular Lens,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
30619,9/04/2013,T-Flex,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
,,One Single Use Soft-Tipped Disposable Injector,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,172621,Intraocular lens inserter
30756,19/04/2013,M-Flex T,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
,,Intraocular lens inserter,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,172621,Intraocular lens inserter
30618,23/05/2013,Sulcoflex Toric,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
,,One Single Use Soft-Tipped Disposable Injector,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,172621,Intraocular lens inserter
36094,17/12/2014,Superflex Aspheric 920H,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
37579,5/06/2015,Superflex Aspheric 920H,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
38021,20/07/2015,Sulcoflex Toric,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
37373,5/08/2015,Superflex Aspheric,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
37598,16/10/2015,Superflex Aspheric 920H,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
38930,26/10/2015,"Superflex Aspheric Lens, 920H intraocular, posterior chamber",Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
38531,24/11/2015,"Superflex Aspheric 920H Lens, intraocular, posterior chamber",Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
40034,5/02/2016,Sulcoflex Toric,Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
44115,10/04/2017,"T-Flex Aspheric - Lens, intraocular, posterior chamber",Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,100926,"Lens, intraocular, posterior chamber"
54852,29/03/2019,"RayOne Trifocal - Lens, intraocular, posterior chamber",Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,220612,"Lens, intraocular, posterior chamber"
58535,30/09/2019,"Rayone trifocal - Lens, intraocular, posterior chamber",Kevin Grundy (IBD) Pty Ltd,Rayner Intraocular Lenses Ltd,220612,"Lens, intraocular, posterior chamber"
