Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28586,17/09/2012,Totalcare sport bed tc665 iv pole accessory,Hill-Rom Pty Ltd,Hill-Rom Industries SA,130680,"Bed, kinetic"
29123,13/11/2012,Kinemex,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128028,"Prosthesis, internal, joint, knee, tibial component"
29268,20/02/2014,P2 MODULAR NECK KINECTIV,Zimmer Biomet Pty Ltd,Zimmer Inc,95938,"Prosthesis, internal, joint, hip, femoral component"
32311,25/03/2014,PRO-Kinetic Energy Coronary Stent,Biotronik Australia Pty Ltd,Biotronik AG,159908,"Stent, vascular, coronary artery"
,,Guidewire,-,n/k,,-
,,introducer sheath,-,N/K,,-
34035,22/04/2014,longevity Elevated Liner,Zimmer Biomet Pty Ltd,Zimmer Inc,95692,Acetabulum prosthesis
,,"Continuum Shell, Prosthesis, internal, joint, hip, acetabular component - Continuum Shell",Zimmer Pty Ltd,Zimmer Inc,95692,"Prosthesis, internal, joint, hip, acetabular component"
,,"Kinectiv, Technology Modular Neck 12/14 Neck Taper - Uncoated hip femur prosthesis, modular - Kinectiv",Zimmer Pty Ltd,Zimmer Inc,208721,"Uncoated hip femur prosthesis, modular"
,,"Stem, Coated hip femur prosthesis, modular - Stem",Zimmer Pty Ltd,Zimmer Inc,208706,"Coated hip femur prosthesis, modular"
,,"Versys Head, Prosthesis, internal, joint, hip, femoral component - Versys Head",Zimmer Pty Ltd,Zimmer Inc,95938,"Prosthesis, internal, joint, hip, femoral component"
31061,30/05/2014,"Scorpio TS, Scorpio, Kinematic",Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128028,"Prosthesis, internal, joint, knee, tibial componen"
,,Triathalon PS X3 Tibial insert,-,n/k,,-
30218,5/06/2014,HA/TCP Press-Fit Modular Femoral Stem with Kinectiv Technology,Zimmer Biomet Pty Ltd,Zimmer Inc,95938,"Prosthesis, internal, joint, hip, femoral component"
30304,16/09/2014,Kinemax,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,141151,"Prosthesis, internal, joint, knee, tibial component"
35245,17/09/2014,M6C Artificial Cervical Disc,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
,,Cervical total disc replacement prosthesis - CRP-012-04 Cervical Retainer Pin 12mm,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
36748,10/03/2015,"KINECTIV Uncoated hip femur prosthesis,",Zimmer Biomet Pty Ltd,Zimmer Inc,208721,"Uncoated hip femur prosthesis, modular"
36810,13/03/2015,KINECTIV,Zimmer Biomet Pty Ltd,Zimmer Inc,208721,"Uncoated hip femur prosthesis, modular"
36975,23/03/2015,Kinectiv - hip prosthesis,Zimmer Biomet Pty Ltd,Zimmer Inc,208721,"Uncoated hip femur prosthesis, modular"
36879,24/03/2015,KINECTIV hip prosthesis,Zimmer Biomet Pty Ltd,Zimmer Inc,208721,"Uncoated hip femur prosthesis, modular"
37105,16/04/2015,KINECTIV,Zimmer Biomet Pty Ltd,Zimmer Inc,208721,"Uncoated hip femur prosthesis, modular"
37340,16/04/2015,Kinectiv,Zimmer Biomet Pty Ltd,Zimmer Inc,208721,"Uncoated hip femur prosthesis, modular"
37556,16/04/2015,KINECTIV,Zimmer Biomet Pty Ltd,Zimmer Inc,208721,"Uncoated hip femur prosthesis, modular"
37472,20/05/2015,"KINECTIV Uncoated hip femur prosthesis, modular",Zimmer Biomet Pty Ltd,Zimmer Inc,208721,"Uncoated hip femur prosthesis, modular"
37474,20/05/2015,"Zimmer M/L Taper coated hip femur prosthesis, modular",Zimmer Biomet Pty Ltd,Zimmer Inc,208706,"Coated hip femur prosthesis, modular"
,,"Kinectiv Technology Modular Neck 12/14 Neck Taper - Uncoated hip femur prosthesis, modular",Zimmer Pty Ltd,Zimmer Inc,208721,"Uncoated hip femur prosthesis, modular"
,,Trabecular Metal Modular Acetabular Shells - Acetabulum prosthesis,Zimmer Pty Ltd,Zimmer Inc,208903,Acetabulum prosthesis
,,"Trilogy Acetabular System Longevity Cross-linked Polyethylene Liner, Standard - Acetabular shell - Non-constrained polyethylene acetabular liner",Zimmer Pty Ltd,Zimmer Inc,231596,Non-constrained polyethylene acetabular liner
35633,21/05/2015,CONTINUUM Acetabular shell,Zimmer Biomet Pty Ltd,Zimmer Inc,95692,Acetabular shell
,,FEMORAL HEAD 0X36MM DIA,Zimmer Pty Ltd,Zimmer Inc,95938,"Prosthesis, internal, joint, hip, femoral component"
,,HIP-TRL-IMP-SCR,Zimmer Pty Ltd,Zimmer Inc,169898,"Orthopaedic bone screw, non-bioabsorbable, sterile"
,,HXPE LINER ELEVATED JJ 36,Zimmer Pty Ltd,Zimmer Inc,95692,"Prosthesis, internal, joint, hip, acetabular component"
,,KINECTIV MODULAR NECK B,Zimmer Pty Ltd,Zimmer Inc,95938,"Prosthesis, internal, joint, hip, femoral component"
,,MOD ML TAPER FEM ST 10 HATC,Zimmer Pty Ltd,Zimmer Inc,95938,"Prosthesis, internal, joint, hip, femoral component"
,,MOD ML TAPER FEM ST 10 HATCP,Zimmer Pty Ltd,Zimmer Inc,208706,"Coated hip femur prosthesis, modular"
37041,3/11/2015,"Kinemax Cemented Stem Extender 155mm , Prosthesis,",Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,142278,"Prosthesis, internal, joint, knee, total"
,,"Antibiotic Simplex P with Tobramycin - Orthopaedic cement, medicated",Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,158560,"Cement, orthopaedic, bone"
,,"Cement, orthopaedic, bone plug",Stryker Australia Pty Ltd,Stryker Instrument,142913,"Cement, orthopaedic, bone plug"
,,Modular Rotating Hinge Knee System Femoral Bushing - Rotating hinged total knee prosthesis,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,247296,"Prosthesis, internal, joint, knee, total"
,,"Modular Rotating Hinge Knee System Tibal Baseplate - Uncoated knee tibia prosthesis, metallic",Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,224539,"Prosthesis, internal, joint, knee, tibial component"
,,Polyethylene patella prosthesis,Stryker Australia Pty Ltd,MAKO Surgical Corp,196660,Polyethylene patella prosthesis
,,"Prosthesis, internal, joint, knee, femoral component",Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128031,"Prosthesis, internal, joint, knee, femoral component"
,,"Prosthesis, internal, joint, knee, total",Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,142278,"Prosthesis, internal, joint, knee, total"
,,RESTORATION MODULAR FLUTED DISTAL STEM - Body femoral extension,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,217755,Body femoral extension
39570,1/02/2016,PRO-Kinetic Energy Bare-metal coronary artery stent,Biotronik Australia Pty Ltd,BIOTRONIK AG,159908,Bare-metal coronary artery stent
39337,10/02/2016,TOTALCARE BED kinetic,Hill-Rom Pty Ltd,Hill-Rom Industries SA,130680,"Bed, kinetic"
43420,10/01/2017,PRO-Kinetic Energy Bare-metal coronary artery stent,Biotronik Australia Pty Ltd,Biotronik AG,159908,"Stent, vascular, coronary artery"
42305,3/02/2017,"ML Taper Kinectiv - Coated hip femur prosthesis, modular",Zimmer Biomet Pty Ltd,Zimmer Inc,208706,"Coated hip femur prosthesis, modular"
43871,15/03/2017,"Scorpio TS, Scorpio, Kinematic - Patella",Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,212701,Polyethylene patella prosthesis
47251,2/08/2017,M6C - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
45265,18/12/2017,M6C - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
45696,15/01/2018,M6L - Lumbar total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177102,Lumbar total disc replacement prosthesis
49024,24/04/2018,M6L - Lumbar total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177102,Lumbar total disc replacement prosthesis
54522,19/11/2018,Spinal Kinetics Cervical Artificial Disc Prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
55914,19/02/2019,M6C - Cervical artificial disc prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
55913,19/02/2019,M6C - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
55912,19/02/2019,Spinal Kinetics - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
56625,28/03/2019,Spinal Kinetics - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
51475,24/05/2019,M6-C - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
50540,2/09/2019,M6-L - Lumbar total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177102,Lumbar total disc replacement prosthesis
54962,2/09/2019,Spinal Kinetics M6L - Lumbar total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177102,Lumbar total disc replacement prosthesis
54873,3/09/2019,M6C - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
54940,4/09/2019,M6-L - Lumbar total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177102,Lumbar total disc replacement prosthesis
54958,10/09/2019,M6C - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
57527,13/09/2019,"M6C, Cervical total disc replacement prosthesis",Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
54941,11/10/2019,M6C - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
54829,17/10/2019,Spinal Kinetics / M6C - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
54824,17/10/2019,Spinal Kinetics / M6L - Lumbar total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177102,Lumbar total disc replacement prosthesis
54956,31/10/2019,M6C - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
57148,30/01/2020,M6-C Large Long 7mm Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
57143,30/01/2020,M6-C Medium Long 6mm - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
58658,31/01/2020,M6-L - Lumbar total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177102,Lumbar total disc replacement prosthesis
56959,17/02/2020,M6C - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
59621,29/04/2020,M6C Artificial Cervical Disc - Cervical total disc replacement prosthesis,Life Healthcare Pty Ltd,Spinal Kinetics Inc,177101,Cervical total disc replacement prosthesis
