Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27364,12/07/2012,Maxi Move floor lift,ARJO Hospital Equipment Pty Limited,BHM Medical Inc,139644,"Lift, (specify)"
26946,26/07/2012,OTVERIO SYSTEM MMOL AU,Johnson & Johnson Medical Pty Ltd,Lifescan Inc,115565,"Glucose monitoring system IVD, home-use/point-of-care"
27738,2/08/2012,Hovermatt Air Flow Mattress,JD Healthcare Group Pty Ltd,DT Davis Enterprises Ltd,138471,"Lift, (specify)"
27736,5/08/2012,Pulmonary Artery Catheter,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,160615,"Catheter, cardiac, balloon, pulmonary artery"
27536,9/08/2012,Sara 3000,ARJO Hospital Equipment Pty Limited,Medibo Medical Products NV,138053,"Lift, patient transfer, mobile"
26845,17/08/2012,One Touch VERIO METER,Johnson & Johnson Medical Pty Ltd,Lifescan Inc,168174,"Glucose meter, self-testing"
28306,31/08/2012,TF3646O-Thin Flex Dual Stage Venous Drainage Cannula,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,182853,"Cannula, venous"
28470,11/09/2012,Carpentier-Edwards Perimount Aortic Heart Valve,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,154064,"Graft, cardiac valve"
28629,18/09/2012,LiquiBand,Life Healthcare Pty Ltd,Advanced Medical Solutions Plymouth Ltd,151324,"Adhesive, soft tissue approximation"
28700,24/09/2012,Making Life Easy Toilet Chair,Home Medical Products Australia Pty Ltd,Yong Long Healthcare Equipment,177968,"Personal hygiene aid, toiletting, seat, raised, free-standing"
26945,28/09/2012,One Touch Verio Meter,Johnson & Johnson Medical Pty Ltd,Lifescan Inc,168174,"Glucose meter, self-testing"
28886,16/10/2012,Lifepak Defibrillator,Stryker Australia Pty Ltd,Physio-Control Inc,137061,"Defibrillator, manual"
28321,19/10/2012,One Touch Verio Meter,Johnson & Johnson Medical Pty Ltd,Lifescan Inc,168174,"Glucose meter, self-testing"
27115,19/10/2012,One Touch Verio Meter,Johnson & Johnson Medical Pty Ltd,Lifescan Inc,168174,"Glucose meter, self-testing"
