Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27784,5/07/2012,Linox Smart,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,191636,"Lead, defibrillator/pacemaker, implantable"
27361,12/07/2012,Multi-Link RX Vision Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,126481,"Stent, vascular, coronary artery"
27425,20/07/2012,ConMed Goldvac,ConMed Linvatec Australia Pty Ltd,ConMed Corporation,160999,"Electrosurgical diathermy system conducting unit, hand-controlled, evacuation, single-use"
27448,24/07/2012,"Exceed Shell, C2A liner C2A head",Zimmer Pty Ltd,Biomet UK Ltd,108359,Acetabulum prosthesis
,,Taperloc fermoral stem,Zimmer Pty Ltd,Biomet UK Ltd,108360,"Prosthesis, internal, joint, hip, femoral component"
27603,31/07/2012,Receptal liner,Hospira Pty Limited,Hospira Inc,133339,Suction system canister liner
27780,8/08/2012,Digital Accelerator,Elekta Pty Ltd,Elekta Limited,111760,"Accelerator system, linear"
27766,8/08/2012,MULTI-LINK 8 Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,174511,"Stent, vascular, coronary artery"
,,Apex dilatation catheter,-,Boston Scientific Corporation,,-
,,Multi Link Vision stent,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,126481,"Stent, vascular, coronary artery"
27906,13/08/2012,"Non-DEHP Add-On Set w/CLAVE, In-line Burette",Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
27437,15/08/2012,PROXIMATE RL LINEAR STAPLER,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,132167,"Fixation device, internal, staple, tissue"
28152,24/08/2012,Linear Cutter,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,179411,"Fixation device, internal, staple, tissue"
28214,28/08/2012,surgical suction cannister liner,Medline International Two Australia Pty Ltd,Cardinal Health,172872,Suction system canister liner
28256,29/08/2012,MULTI-LINK 8 Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,174511,"Stent, vascular, coronary artery"
28254,29/08/2012,MULTI-LINK 8 Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,174511,"Stent, vascular, coronary artery"
28340,30/08/2012,Multi-Link RX Vision Coronary Stent System,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Abbott Vascular,126481,"Stent, vascular, coronary artery"
,,SeQuent Please - paclitaxel coated balloon catheter,B Braun Australia Pty Ltd,B Braun Melsungen AG,181392,"Angioplasty catheter, balloon dilatation, coronary, basic"
28268,30/08/2012,Receptal liner,Hospira Pty Limited,Hospira Inc,133339,Suction system canister liner
28565,4/09/2012,Artiste MV System,Siemens Healthcare Pty Ltd,Siemens AG,165502,"Accelerator system, linear"
28051,10/09/2012,Maxrom liner,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,Biolox Delta Option femoral head 40MM,Zimmer Pty Ltd,Biomet Orthopedics Inc,117715,"Prosthesis, hip, internal, femoral head component"
,,Regenerex/Ringloc shell + LTD 56MM sz 24,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,"Prosthesis, internal, joint, hip, acetabular component"
,,Taperloc femoral stem,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
28493,12/09/2012,Gambro Medical Line,Baxter Healthcare Pty Ltd,Gambro Medical Products Co Ltd,135627,"Tubing set, dialysis/haemodialysis"
28709,19/09/2012,SMR Metal Back Liner,Lima Orthopaedics Australia Pty Ltd,Limacorporate Spa,168581,"Prosthesis, internal, joint, shoulder, glenoid component"
28710,19/09/2012,SMR Metal Back Liner,Lima Orthopaedics Australia Pty Ltd,Limacorporate Spa,168581,"Prosthesis, internal, joint, shoulder, glenoid component"
28684,21/09/2012,Arcom XL Ringloc Hiwall Liner 28mm,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,Biomet modular femoral head,Zimmer Pty Ltd,Biomet Orthopedics Inc,117715,"Prosthesis, hip, internal, femoral head component"
28272,25/09/2012,Linear Cutter,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,155639,"Applier, surgical staple, cutting"
,,Linear Cutter Reload Selectable,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,179411,"Fixation device, internal, staple, tissue"
27782,28/09/2012,Portex Blue Line,Smiths Medical Australasia Pty Ltd,Smiths Medical International Limited,124269,"Tube, tracheostomy, single use"
