Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27493,27/08/2012,VNS Lead,LivaNova Australia Pty Ltd,Cyberonics Inc,131047,"Electrode/lead, stimulator, implantable, neurological"
30275,12/03/2013,LDPE Disposable plastic white apron,Livingstone International Pty Ltd,Livingstone International Pty Ltd,171593,"Apron, general-purpose, single-use"
30217,27/03/2013,VNS Lead,LivaNova Australia Pty Ltd,Cyberonics Inc,131047,"Electrode/lead, stimulator, implantable, neurological"
30685,19/04/2013,WiseFeet Foot Patches,Wisdom for Living Int Pty Ltd,ShenZhen must Biological Science & Technology Co Ltd,178324,"Cushion, foot"
31349,28/06/2013,Therapy Cool Flex Ablation Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,172928,"Catheter, cardiac, electrophysiological mapping"
,,"Inquiry Optima Steerable Catheter - Inquiry Cardioversion Steerable Diagnostic Catheter - Single Catheter System - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,148117,"Catheter, cardiac, electrophysiological mapping"
,,"Livewire Steerable Decapolar Catheter -Livewire Steerable Electrophysiology Catheter - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,St Jude Medical,141868,"Catheter, cardiac, electrophysiological mapping"
30701,2/07/2013,Bipol Lead Model 300,LivaNova Australia Pty Ltd,Cyberonics Inc,131047,"Electrode/lead, stimulator, implantable, neurological"
31800,16/08/2013,Cyberonics VNS Therapy pulse generator,LivaNova Australia Pty Ltd,Cyberonics Inc,168817,"Stimulator, electrical, vagus nerve, antiseizure"
,,"302.20 and 302.30 - Electrode/lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
31832,23/08/2013,Quattrode Lead,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,131944,"Electrode/lead, stimulator, implantable, neurological"
,,"302.20 and 302.30 - Electrode/lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
31976,10/09/2013,Livingstone Reagent Strips 10SG,Livingstone International Pty Ltd,Yercon Diagnostic Co Ltd,202482,Clinical chemistry biological screening IVDs
29057,1/10/2013,"Reply DR - Pacemaker, cardiac, implantable",LivaNova Australia Pty Ltd,Sorin Biomedica Cardio SRL,152879,"Pacemaker, cardiac, implantable"
33178,23/01/2014,Over Toilet Aid,Making Life Easy Mobility And Independent Living Superstore Pty Ltd,Profit Country Enterprises Ltd,137538,"Personal hygiene aid, toiletting, seat, raised, free-standing"
33509,24/02/2014,Cool Point Tubing Set,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,150541,"Tubing set, irrigation pump"
,,"Agilis ES Steerable Introducer - Cardiovascular device introducer, steerable",St Jude Medical Australia Pty Ltd,St Jude Medical,184457,"Cardiovascular device introducer, steerable"
,,"BRK Transseptal Needles - Needle, catheter",St Jude Medical Australia Pty Ltd,St Jude Medical,202331,"Needle, catheter"
,,"Livewire Diagnostic Catheter, MediGuide Enabled - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,St Jude Medical,193897,"Catheter, cardiac, electrophysiological mapping"
,,"Swartz Braided Transseptal Introducer, Catheter introducer",St Jude Medical Australia Pty Ltd,St Jude Medical,135568,Catheter introducing sheath
33943,14/04/2014,Heart Lung Pack. Cellplex,LivaNova Australia Pty Ltd,Cellplex Pty Ltd,161865,"Surgical procedure kit, cardiothoracic, non-medicated, single-use"
34252,23/05/2014,Livingston disposable apron,Livingstone International Pty Ltd,Livingstone International Pty Ltd,171593,"Apron, general-purpose, single-use"
31074,17/06/2014,Lead,LivaNova Australia Pty Ltd,Cyberonics Inc,131047,"Electrode/lead, stimulator, implantable, neurological"
34571,3/07/2014,Luer Slip Adaptor,LivaNova Australia Pty Ltd,Cellplex Pty Ltd,161865,"Surgical procedure kit, cardiothoracic, non-medicated, single-use"
34628,11/07/2014,LIVIAN implantable Defibrillator,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,152951,"Defibrillator, implantable, automatic, dual-chamber"
,,"ENDOTAK RELIANCE SG LEADS - Lead, defibrillator/pacemaker, implantable",Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,119322,"Lead, defibrillator/pacemaker, implantable"
34703,18/07/2014,"Livingstone, Apron Plastic non Sterile",Livingstone International Pty Ltd,Livingstone International Pty Ltd,171593,"Apron, general-purpose, single-use"
35627,18/12/2014,"Lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
,,Pulse generator,-,N/K,,-
36904,31/03/2015,"Canadian Crutches, Ergo grip",Making Life Easy Mobility And Independent Living Superstore Pty Ltd,Profit Country Enterprises Ltd,138792,"Walking aid, one arm, crutch, elbow"
35330,2/04/2015,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc,150041,"Graft, Cardiac Valve"
36992,7/04/2015,Adult forearm crutches,Making Life Easy Mobility And Independent Living Superstore Pty Ltd,Profit Country Enterprises Ltd,138792,"Walking aid, one arm, crutch, elbow"
37071,6/05/2015,"Lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
,,Pulse generator,-,N/K,,-
37417,19/05/2015,"Lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
,,"102 including 220 - Stimulator, electrical, vagus nerve, antiseizure",LivaNova Australia Pty Ltd,Cyberonics Inc,131044,"Stimulator, electrical, vagus nerve, antiseizure"
35942,18/06/2015,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,150041,"Graft, cardiac valve"
36934,18/06/2015,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,150041,"Graft, cardiac valve"
37778,24/06/2015,Making Life Easy,Making Life Easy Mobility And Independent Living Superstore Pty Ltd,Profit Country Enterprises Ltd,138793,"Wheelchair, (specify)"
38632,8/10/2015,"Lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
,,Pulse Generator,-,n/k,,-
37492,17/12/2015,"Lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
39771,27/01/2016,"Lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
39912,2/02/2016,"Lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
39683,5/02/2016,"Lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
39878,22/02/2016,Cyberonics Pulse Generator 102 - Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system,LivaNova Australia Pty Ltd,Cyberonics Inc,131044,Antiseizure/psychiatric-therapy vagus nerve electrical stimulation system
,,"VNS Therapy PerenniaFLEX Model 304 Lead (304.2 and 304.3) - Electrode/lead, stimulator, implantable, vagus nerve",LivaNova Australia Pty Ltd,Cyberonics Inc,192081,"Electrode/lead, stimulator, implantable, vagus nerve"
40232,8/03/2016,"Lead, stimulator, implantable, neurological",LivaNova Australia Pty Ltd,Cyberonics Inc,131047,Neural-tissue electrical stimulation lead
,,"VNS Therapy Generator / Battery, 102 including 220 - Stimulator, electrical, vagus nerve, antiseizure",LivaNova Australia Pty Ltd,Cyberonics Inc,131044,"Stimulator, electrical, vagus nerve, antiseizure"
38833,7/04/2016,Mitroflow Aotic Pericardial Heart Valve,LivaNova Australia Pty Ltd,LivaNova Canada Corp.,174947,"Graft, cardiac valve"
41034,2/05/2016,LivaNova 3T Heater Cooler (previously Sorin) - Heater cooler units (2) used in Cardiac Surgery,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
41190,13/05/2016,LivaNova 3T Heater Cooler (previously Sorin),LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
41401,1/06/2016,Universal Quik-Hot Instant - Hot Pack,Livingstone International Pty Ltd,Intco Industries Co Ltd,209640,"Compress, hot pack, chemical"
40382,10/06/2016,"LIVIAN - Defibrillator, implantable, automatic, dual-chamber",annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,152952,"Defibrillator, implantable, automatic, dual-chamber"
,,"LIVIAN Cardiac Resynchronisation Therapy Device (High Energy) - Defibrillator, implantable, automatic, dual-chamber",annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,152952,"Defibrillator, implantable, automatic, dual-chamber"
35910,30/06/2016,Perceval S Sutureless Aortic Valve,LivaNova Australia Pty Ltd,LivaNova Canada Corp,232485,Aortic heart valve bioprosthesis
42123,28/07/2016,Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42124,28/07/2016,Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42125,28/07/2016,Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42126,28/07/2016,Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42135,28/07/2016,Stockert,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42134,28/07/2016,Stockert Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42173,29/07/2016,HCU machine,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42261,4/08/2016,Stockert - Heater Cooler System,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42308,9/08/2016,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,150041,"Graft, cardiac valve"
42600,1/09/2016,Sorin Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42608,2/09/2016,Stockert Heater Cooler System 3T,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42798,15/09/2016,Stockert - Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42799,15/09/2016,Stockert - Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42973,27/09/2016,Sorin T3 - Heater /Cooler for cardiac surgery,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
42901,27/09/2016,Stockert Heater Cooler,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
43084,5/10/2016,Sorin Heater Cooler 3T,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
38804,10/10/2016,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,150041,"Graft, cardiac valve"
37375,10/10/2016,Mitroflow Aortic Pericaridal Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,150041,"Graft, cardiac valve"
39212,14/10/2016,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,150041,"Graft, cardiac valve"
43334,24/10/2016,Stockert Sorin/LivaNova 3T Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
40516,8/11/2016,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,LivaNova Canada Corp.,174947,"Graft, cardiac valve"
43630,14/11/2016,Sorin S3 - Heater cooler for cardio pulmonary by pass,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
43711,16/11/2016,Perceval S Sutureless Aortic Heart Valve,LivaNova Australia Pty Ltd,LivaNova Canada Corp,232485,Aortic heart valve bioprosthesis
40880,1/12/2016,REPLY DR Dual Chamber Implantable Pacemaker,LivaNova Australia Pty Ltd,Sorin Group Italia SRL,152879,"Pacemaker, cardiac, implantable"
42707,1/12/2016,Synthesis P.H.I.S.I.O. Adult Membrane Oxygenator with Integrated Arterial Filter,LivaNova Australia Pty Ltd,Sorin Group Italia SRL,96401,"Oxygenator, extracorporeal membrane"
41645,8/12/2016,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,LivaNova Canada Corp,174947,"Graft, cardiac valve"
38834,19/12/2016,Perceval S Sutureless Aortic Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,232485,Aortic heart valve bioprosthesis
44146,19/12/2016,Sorin Heater Cooler Unit,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
40214,17/01/2017,Perceval Sutureless Aortic Valve,LivaNova Australia Pty Ltd,LivaNova Canada Corp,232485,Aortic heart valve bioprosthesis
44539,19/01/2017,Sorin 3T Heater Cooler - Heater Cooler Machine used during Cardiopulmonary Bypass,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
44685,1/02/2017,Sorin 3T Heater Cooler Device,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
40669,15/02/2017,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,LivaNova Canada Corp.,150041,"Graft, cardiac valve"
41818,16/03/2017,Mitroflow Aortic Pericardial Heart Valve,LivaNova Australia Pty Ltd,Sorin Group Canada Inc Mitroflow Division,150041,"Graft, cardiac valve"
41319,16/03/2017,Perceval Sutureless Aortic Valve,LivaNova Australia Pty Ltd,LivaNova Canada Corp,232485,Aortic heart valve bioprosthesis
45259,16/03/2017,Sorin 3T Heater Cooler Device,LivaNova Australia Pty Ltd,Sorin Group Deutschland GmbH,194514,"Heating unit, pad, water, system"
44845,30/03/2017,"VNS Therapy - Electrode/lead, stimulator, implantable, vagus nerve",LivaNova Australia Pty Ltd,Cyberonics Inc,192081,"Electrode/lead, stimulator, implantable, vagus nerve"
,,Pulse generator,-,Cyberonics Inc.,,-
