Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29080,30/10/2012,Five Lumen Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,161300,"Catheterization kit, central venous"
29205,8/11/2012,"PICC, 5 French Duial Lumen",Teleflex Medical Australia Pty Ltd,Arrow International Inc,180279,"Catheter, central venous, peripherally inserted"
29446,19/12/2012,Cook TPN Double Lumen TPN Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,155591,"Catheterization kit, central venous"
29508,8/01/2013,Cook TPN Double Lumen TPN Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,155591,"Catheterization kit, central venous"
29507,8/01/2013,Cook TPN Double Lumen TPN Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,155591,"Catheterization kit, central venous"
29473,10/01/2013,Broviac 4.2 French Single Lumen Catheter & Pik,Bard Australia Pty Ltd,Bard Access Systems Inc,145466,"Catheterization kit, central venous"
30273,17/04/2013,Bard Power PICC Solo2 4 French Single Lumen,Bard Australia Pty Ltd,Bard Access Systems Inc,191603,"Catheterization kit, central venous"
30274,17/04/2013,Bard PowerPicc Solo2 4 French Single Lumen,Bard Australia Pty Ltd,Bard Access Systems Inc,191603,"Catheterization kit, central venous"
30622,8/05/2013,Cook Spectrum Minocycline/Rifampin Impregnated Five Lumen Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,161300,"Catheterization kit, central venous"
30684,9/05/2013,Cook Spectrum Minocycline / Rifampin Impregnated Five Lumen Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,161300,"Catheterization kit, central venous"
30568,19/06/2013,Turbo-Ject Double Lumen Peripherally Inserted Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,161616,"Catheterization kit, central venous"
31308,2/07/2013,6Fr Triple Lumen PowerPICC Solo,Bard Australia Pty Ltd,Bard Access Systems Inc,191603,"Catheterization kit, central venous"
31379,4/07/2013,Double Lumen PICC,Bard Australia Pty Ltd,Bard Access Systems Inc,145470,"Catheterization kit, central venous"
30157,9/07/2013,"Natrelle Truform 3 gel, Textured Single Lumen Breast Implants",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
31455,12/07/2013,"Hickman Catheter, Hickman 12f dual lumen CV catheter with sureciuff tissue ingrowth cuff",Bard Australia Pty Ltd,Bard Access Systems Inc,145469,"Catheterization kit, central venous"
31454,12/07/2013,"Hickman Catheter, Hickman 12f dual lumen CV catheter with surecuff tissue ingrowth cuff",Bard Australia Pty Ltd,Bard Access Systems Inc,145469,"Catheterization kit, central venous"
31675,7/08/2013,Avalon Double Lumen ECMO catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,205032,"Catheter, intravascular, general-purpose"
31775,19/08/2013,Lumax 540 DR-T defibrillator,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,153975,"Defibrillator, implantable, automatic"
31812,13/09/2013,Linox smart S DX 65/17,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,191636,"Lead, defibrillator/pacemaker, implantable"
,,"Lumax 740 VR- T DX - Defibrillator, implantable, automatic",Biotronik Australia Pty Ltd,Biotronik SE & Co KG,195228,"Defibrillator, implantable, automatic"
31610,11/10/2013,Arrowgard Blue Plus Multi Lument CVC Set,Teleflex Medical Australia Pty Ltd,Arrow International Inc,157350,"Catheter, intravascular, infusion, central venous"
27146,3/12/2013,CODMAN LUMBAR CATHETER KIT,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Codman & Shurtleff Inc (Massachusetts),150093,"Catheter, cerebrospinal"
32090,11/12/2013,Avalon Elite Bi-Caval Dual Lumen Catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,205032,"Catheter, intravascular, general-purpose"
33085,13/01/2014,Bard Hickmans Catheter 9.6fr Single Lumen,Bard Australia Pty Ltd,Bard Access Systems Inc,145469,"Catheterization kit, central venous"
32431,20/02/2014,Power Port Ti 8Fr Chronoflex Single Lumen,Bard Australia Pty Ltd,Bard Access Systems Inc,149028,"Port/catheter, internal, subcutaneous"
33021,25/02/2014,4Fr Single Lumen PowerPICC Solo Catheter,Bard Australia Pty Ltd,Bard Access Systems Inc,191603,"Catheterization kit, central venous"
32613,27/03/2014,4Fr Single Lumen Groshong Nxt ClearVue Basic Cathe,Bard Australia Pty Ltd,Bard Access Systems Inc,145470,"Catheterization kit, central venous"
33466,1/04/2014,13.5F x 15cm Silicone Double Lumen Catheter,Tekmed Pty Ltd,Medical Components Inc (dba Medcomp),193371,"Catheter, haemodialysis, implantable"
32379,1/04/2014,"Natrelle Truform 3 gel, Textured Single Lumen Brea",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
33826,3/04/2014,"Palindrome, Duel lumen dialysis catheter",Medtronic Australasia Pty Ltd,Covidien llc,184449,"Catheter, haemodialysis, implantable"
32848,23/04/2014,SERI Surgical Scaffold - Silk surgical mesh,Allergan Australia Pty Ltd,Allergan Inc,206374,Silk Surgical Mesh
,,"Natrelle Truform 3 gel, Textured Single Lumen Breast Implants - Prosthesis, internal, mammary, gel filled (Mfr Ref # 1036035)",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
34006,26/05/2014,Single Lumen Central Venous Catheter Set,William A Cook Australia Pty Ltd,Cook Incorporated,154879,"Catheterization kit, central venous"
34170,12/06/2014,Single Lumen Peripherally Inserted Central Venous,William A Cook Australia Pty Ltd,Cook Incorporated,155590,"Catheterization kit, central venous"
35152,17/10/2014,Groshong NXT 5Fr Dual Lumen PICC,Bard Australia Pty Ltd,Bard Access Systems Inc,145470,"Catheterization kit, central venous"
35610,27/10/2014,"Groshong PICC closed ended catheter 3fg single lumen, basic Mi kit",Bard Australia Pty Ltd,Bard Access Systems Inc,145470,"Catheterization kit, central venous"
35068,18/11/2014,Turbo-Ject Double Lumen Peripherally Inserted Cent,William A Cook Australia Pty Ltd,Cook Incorporated,161616,"Catheterization kit, central venous"
35724,18/12/2014,LumaDent Light source,Carl Zeiss Pty Ltd,Integra York PA Inc,207981,"Light source, hand-held, battery powered"
36595,26/02/2015,Groshong Single Lumen PICC,Bard Australia Pty Ltd,Bard Access Systems Inc,145470,"Catheterization kit, central venous"
33367,13/04/2015,SERI Surgical Scaffold,Allergan Australia Pty Ltd,Allergan Inc,206374,Silk surgical mesh
,,"Natrelle Truform 3 gel, Textured Single Lumen Breast Implants - Prosthesis, internal, mammary, gel filled",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
36560,22/04/2015,4Fr Single Lumen PowerPICC,Bard Australia Pty Ltd,Bard Access Systems Inc,155226,"Catheterization kit, central venous"
37269,6/05/2015,VersaCut+ Tissue Morcellator,MD Solutions Australasia Pty Ltd,Lumenis Limited,176778,Tissue morcellation system
37268,6/05/2015,VersaCut+ Tissue Morcellator,MD Solutions Australasia Pty Ltd,Lumenis Limited,176778,Tissue morcellation system
37267,6/05/2015,VersaCut+ Tissue Morcellator,MD Solutions Australasia Pty Ltd,Lumenis Limited,176778,Tissue morcellation system
37413,19/05/2015,Hickman's Double Lumen CVC 7Fg,Bard Australia Pty Ltd,Bard Access Systems Inc,145469,"Catheterization kit, central venous"
30055,19/05/2015,Natrelle Truform 3 gel Textured Single Lumen Breast Prosthesis,Allergan Australia Pty Ltd,Allergan Australia Pty Ltd,171512,"Prosthesis, internal, mammary, gel filled"
37470,26/05/2015,"Go Medical, V-Set Triple Lumen 3 Valve Peripheral Set",Go Medical Industries Pty Ltd,Go Medical Industries Pty Ltd,159493,"Intravenous administration set, general-purpose"
37205,24/06/2015,Single Lumen Peripherally Inserted Central Venous,William A Cook Australia Pty Ltd,Cook Incorporated,155590,"Catheterization kit, central venous"
