Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29238,26/02/2013,Zenith Low Profile AAA Endovascular Graft Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,201172,"Graft, vascular, synthetic"
30064,21/05/2013,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
30674,19/06/2013,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
30340,19/06/2013,Zenith Low Profile AAA Endovascular Graft Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,201172,"Graft, vascular, synthetic"
35712,15/01/2015,Zenith Flex AAA Endovascular Graft Bifurcated Main,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
33526,10/02/2015,ACUSON S2000 Mainframe Transducer,Siemens Healthcare Pty Ltd,Siemens Medical Solutions USA Inc,139591,"Ultrasound system, imaging, cardiovascular"
35981,8/05/2015,Zenith Flex AAA Endovascular Graft Bifurcated Main,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
,,"Zenith Spiral-Z AAA Iliac Leg with the Z-Trak Introduction System - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,Cook Incorporated,184456,"Graft, vascular, synthetic"
37388,24/06/2015,Zenith Flex AAA Endovascular Graft Bifurcated Main,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
38516,15/10/2015,Zenith Flex AAA Endovascular Graft Bifurcated Main,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
38517,15/10/2015,Zenith Flex AAA Endovascular Graft Bifurcated Main,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
38515,15/10/2015,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,136323,"Graft, vascular, synthetic"
38305,29/12/2015,"Zenith Low Profile AAA Endovascular Graft Main Body, Graft, vascular, synthetic",William A Cook Australia Pty Ltd,Cook Incorporated,201172,"Graft, vascular, synthetic"
40855,20/07/2016,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
42441,15/11/2016,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
,,"Zenith AAA Endovascular Graft with the Z-Trak Introduction System - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
40415,18/11/2016,Zenith Low Profile AAA Endovascular Graft Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,201172,"Graft, vascular, synthetic"
40002,22/11/2016,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
43159,21/12/2016,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,William A Cook Australia,136323,"Graft, vascular, synthetic"
41042,17/03/2017,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
41709,2/05/2017,Zenith Low Profile AAA Endovascular Graft Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,201172,"Graft, vascular, synthetic"
42201,23/05/2017,Zenith Flex AAA Endovascular Graft Bifurcated Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
44744,1/08/2017,Zenith Low Profile AAA Endovascular Graft Main Body Extension,William A Cook Australia Pty Ltd,Cook Incorporated,201690,"Graft, vascular, synthetic"
44745,9/08/2017,Zenith Low Profile AAA Endovascular Graft Main Body,William A Cook Australia Pty Ltd,Cook Incorporated,201172,"Graft, vascular, synthetic"
44761,31/08/2017,"Zenith Flex AAA Endovascular Graft Bifurcated Main Body - Graft, vascular, synthetic",William A Cook Australia Pty Ltd,Cook Incorporated,161932,"Graft, vascular, synthetic"
