Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27223,2/07/2012,HeartStart MRx,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27224,2/07/2012,HeartStart MRx,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27202,2/07/2012,Promote Accel RF Model CD3215,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,158920,"Defibrillator, implantable, automatic"
26799,5/07/2012,Durata Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,159845,"Lead, defibrillator/pacemaker, implantable"
,,Current RF DR Model 2207,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,149302,"Defibrillator, implantable, automatic"
27422,20/07/2012,Quartet Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,171332,"Lead, pacemaker, implantable, endocardial"
,,"Adaptor, pacemaker, lead, implantable",St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,124288,Pacing lead adaptor
,,Tendril STS Lead Model 2088TC,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,170587,"Lead, defibrillator/pacemaker, implantable"
27523,27/07/2012,HeartStart XL,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27719,3/08/2012,HeartStart XL,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
28200,28/08/2012,HeartStart XL+ Defibrillator/Monitor,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
28399,6/09/2012,Fortify ST VR,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,171543,"Defibrillator, implantable, automatic"
,,Riata Transvenous Tachyarrhythmia Lead Model 1580,-,St Jude Medical Cardiac Rhythm Management Division USA,116557,-
28702,7/09/2012,Defibrillator Battery,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
28721,24/09/2012,HeartStart XL,Philips Electronics Australia Ltd,Philips Medical Systems,95661,"Defibrillator, manual"
27735,2/10/2012,Physio Control Electrode,Stryker Australia Pty Ltd,Physio-Control Inc,137061,"Defibrillator, manual"
,,LIFEPAK(R) 15 Monitor/Defibrillator,Stryker Australia Pty Ltd,Physio-Control Inc,124228,Rechargeable public semi-automated external defibrillator
28304,12/10/2012,QuickFlex Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,161391,"Lead, defibrillator/pacemaker, implantable"
,,Abbott Vascular Guidewire,-,Abbott Vascular,,-
,,CPS Aim SL Slittable Inner Catheter Subselector with Integrated Valve,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,167743,"Catheter, cardiac, ventricular"
,,CPS Direct SL II Slittable Outer Guide Catheter,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,170449,"Catheter, cardiac, ventricular"
,,Peel-Away introducer,St Jude Medical Australia Pty Ltd,St Jude Medical,135569,"Catheter introducer, haemostasis valve"
28886,16/10/2012,Lifepak Defibrillator,Stryker Australia Pty Ltd,Physio-Control Inc,137061,"Defibrillator, manual"
28921,18/10/2012,"Surgipro Mesh, Vicryl and Monocryl Mesh",Covidien Pty Ltd,Tyco Healthcare (UK) Manufacturing LTD,96213,"Prosthesis, incontinence"
27126,22/10/2012,MRI Conditional Tendril Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,193132,"Lead, defibrillator/pacemaker, implantable"
,,Accent MRI PM2224,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,185764,"Pacemaker, cardiac, implantable"
,,Tendril MRI LPA1200/58,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,193132,"Lead, defibrillator/pacemaker, implantable"
29056,24/10/2012,Apex Modular Neck,Global Manufacturing Technology Pty Ltd,Global Manufacturing Technology Pty Ltd,120787,"Prosthesis, internal, joint, hip, femoral component"
,,FIN II Acetabular Cup,Global Manufacturing Technology Pty Ltd,Gruppo Bioimplanti SRL,118604,"Prosthesis, internal, joint, hip, acetabular component"
29082,30/10/2012,Durata Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,170589,"Lead, defibrillator/pacemaker, implantable"
