Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28759,25/09/2012,Alphamaxx,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
28842,4/10/2012,Linear 7.5Fr. 40cc IAB Balloon Catheter,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
,,System 98XT Intra-Aortic Balloon Pump,Maquet Australia Pty Ltd,Datascope Corp,118266,"Circulatory assist unit, pump, balloon"
30059,19/02/2013,YUNO OTN Table,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
29918,22/02/2013,YUNO Extension Device,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
31675,7/08/2013,Avalon Double Lumen ECMO catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,205032,"Catheter, intravascular, general-purpose"
31251,9/10/2013,YUNO Extension Device,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
31252,9/10/2013,YUNO Extension Device,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
31721,28/10/2013,YUNO Extension Device,Getinge Australia Pty Ltd,Maquet GmbH & Co KG,163023,"Table, operation, (specify)"
32090,11/12/2013,Avalon Elite Bi-Caval Dual Lumen Catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,205032,"Catheter, intravascular, general-purpose"
32612,26/03/2014,Pleuraguide Kit,Maquet Australia Pty Ltd,Atrium Medical Corporation,121185,"Surgical procedure kit, general-purpose, single-us"
34166,9/05/2014,QUADROX-i Oxygenator,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,144688,"Oxygenator, extracorporeal membrane"
35073,29/08/2014,Maquet Intra-Aortic Balloon and Accessories,Getinge Australia Pty Ltd,Datascope Corp,139645,"Catheter, cardiac, balloon, intra-aortic"
35145,5/09/2014,CARDIOHELP system,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,145581,"Circulatory assist unit, pump, centrifugal"
35335,25/09/2014,BE-PLS 2051#Permanent Life Supp Set Plu,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,192105,"Tubing set, heart-lung bypass"
34845,25/09/2014,Cinatra Cobalt Chromium Coronary Stent System,Maquet Australia Pty Ltd,Atrium Medical Corporation,159064,"Stent, vascular, coronary artery"
34481,25/09/2014,Clearway RX,Maquet Australia Pty Ltd,Atrium Medical Corporation,153861,"Peripheral/coronary vasculature catheter, infusion"
35562,22/10/2014,BE-HLS 7050#HLS Set Advanced 7.0,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,193475,"Tubing set, heart-lung bypass"
37508,29/05/2015,Nellix NP-001 Endologix Polymer Dispenser,Maquet Australia Pty Ltd,Endologix Inc,235301,"Dispenser, liquid, laboratory, mechanical"
37736,22/06/2015,Permanent Life Supp.Set Plus Cardiopulmonary bypas,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,192105,Cardiopulmonary bypass system tubing set
37944,10/07/2015,Avalon Bicaval Dual Lumen Catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,204985,Peripheral vascular infusion/aspiration catheter
38383,11/08/2015,Acrobat-i Stabilizer,Getinge Australia Pty Ltd,MAQUET Cardiovascular LLC,157893,"Patient positioning device, vacuum stabilized, partial body"
39473,10/12/2015,BE-HLS 7050#HLS Set Advanced Cardiopulmonary bypass system tubing set,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,193475,Cardiopulmonary bypass system tubing set
