Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27477,24/07/2012,Biodesign Surgisis Hernia Graft,Endotherapeutics Pty Ltd,Cook Biotech Incorporation,153052,"Tissue reconstructive material, biological"
24924,31/07/2012,TOEFIT Matatarsal Head,Smith & Nephew Pty Ltd,Smith & Nephew Orthopaedics AG,122863,"Prosthesis, internal, joint, digit"
,,TOEFIT Phalangeal,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics AG,122863,"Prosthesis, internal, joint, digit"
27738,2/08/2012,Hovermatt Air Flow Mattress,JD Healthcare Group Pty Ltd,DT Davis Enterprises Ltd,138471,"Lift, (specify)"
28027,16/08/2012,Restylane Vital Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,194004,"Synthetic-fluid tissue reconstructive material, anaesthetic"
29047,17/08/2012,Autoexcel,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,206081,Alternating-pressure bed mattress overlay system
28204,28/08/2012,Multistix,Siemens Ltd Diagnostics Division,Siemens Healthcare Diagnostics Inc,93126,Human origin material
28276,30/08/2012,Grifols AHG Cards for antibody screening,Grifols Australia Pty Ltd,Diagnostic Grifols SA,173986,Human origin material
28610,28/09/2012,Restylane Lidocaine,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,169755,"Synthetic-fluid tissue reconstructive material, anaesthetic"
28741,19/10/2012,Restylane SubQ & Restylane Perlane,Q-Med (Sweden) Australia Pty Ltd,Q-Med AB,126204,"Tissue reconstructive material, synthetic, fluid"
28944,19/10/2012,Triage 8,Inverness Medical Innovations Australia Pty Ltd,Alere San Diego Inc,160951,Human origin material
29150,29/10/2012,Alere TestPack,Inverness Medical Innovations Australia Pty Ltd,Inverness Medical Japan Co Ltd,170475,Human origin material
29151,29/10/2012,Alere TestPack,Inverness Medical Innovations Australia Pty Ltd,Inverness Medical Japan Co Ltd,170475,Human origin material
29149,29/10/2012,Alere Testpack,Inverness Medical Innovations Australia Pty Ltd,Inverness Medical Japan Co Ltd,170475,Human origin material
29152,29/10/2012,Alere TestPack,Inverness Medical Innovations Australia Pty Ltd,Inverness Medical Japan Co Ltd,170475,Human origin material
