Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28919,16/10/2012,Mynx Vascular Closure Device 6F/7F,MD Solutions Australasia Pty Ltd,AccessClosure Inc,167546,"Dressing, hydrogel"
30944,17/05/2013,MynxGrip Vascular Closure Device 6F/7F,MD Solutions Australasia Pty Ltd,AccessClosure Inc,167546,"Dressing, hydrogel"
31271,20/06/2013,MynxGrip Vascular Closure Device 6F/7F,MD Solutions Australasia Pty Ltd,AccessClosure Inc,167546,"Dressing, hydrogel"
30940,7/08/2013,MynxGrip Vascular Closure Device 6F/7F,MD Solutions Australasia Pty Ltd,AccessClosure Inc,167546,"Dressing, hydrogel"
30943,7/08/2013,MynxGrip Vascular Closure Device 6F/7F,MD Solutions Australasia Pty Ltd,AccessClosure Inc,167546,"Dressing, hydrogel"
31869,28/08/2013,MynxGrip Vascular Closure Device 6F/7F,MD Solutions Australasia Pty Ltd,AccessClosure Inc,167546,"Dressing, hydrogel"
32012,12/09/2013,MynxGrip Vascular Closure Device 6F/7F,MD Solutions Australasia Pty Ltd,AccessClosure Inc,167546,"Dressing, hydrogel"
36387,22/01/2015,Mynx Vascular Closure Device 6F/7F,MD Solutions Australasia Pty Ltd,AccessClosure Inc,167546,"Dressing, hydrogel"
37267,6/05/2015,VersaCut+ Tissue Morcellator,MD Solutions Australasia Pty Ltd,Lumenis Limited,176778,Tissue morcellation system
37268,6/05/2015,VersaCut+ Tissue Morcellator,MD Solutions Australasia Pty Ltd,Lumenis Limited,176778,Tissue morcellation system
37269,6/05/2015,VersaCut+ Tissue Morcellator,MD Solutions Australasia Pty Ltd,Lumenis Limited,176778,Tissue morcellation system
48537,6/12/2017,"Bonescalpel Blade - Electrode, electrosurgical, active, ultrasonic/mechanical vibration, single-use",Life Healthcare Pty Ltd,Misonix Incorporated,177102,"Electrode, electrosurgical, active, ultrasonic/mechanical vibration, single-use"
,,"Irrigation tubing set, general purpose",National Surgical Pty Ltd,Misonix Incorporated,182713,"Irrigation tubing set, general purpose"
,,"Knife, ultrasonic",MD Solutions Australasia Pty Ltd,Misonix Incorporated,182695,"Knife, ultrasonic"
52843,10/10/2018,"Ureteric stent, Allium Medical URS - Ureteral stent, metallic",MD Solutions Australasia Pty Ltd,Allium Ltd,205005,"Ureteral stent, metallic"
52930,10/10/2018,"Ureteric stent, Allium Medical URS - Ureteral stent, metallic",MD Solutions Australasia Pty Ltd,Allium Ltd,205005,"Ureteral stent, metallic"
52715,18/10/2018,"Ureteric stent, Allium Medical URS - Ureteral stent, metallic",MD Solutions Australasia Pty Ltd,Allium Ltd,205005,"Ureteral stent, metallic"
,,Biopsy Forcep,-,Unknown,Unknown,-
