Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29892,21/01/2013,VersaCare VC 755 bed,Hill-Rom Pty Ltd,Merits Healthcare Industries (Suzhou) Co Ltd,199714,"Bed, general-purpose, electrical"
26055,14/02/2013,"M.E.R.C.I Adaptor, Syringe/needle",Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
26054,3/04/2013,"Adaptor, Syringe/needle M.E.R.C.I",Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
26057,3/04/2013,"M.E.R.C.I Adaptor, syringe/needle",Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
26290,23/04/2013,M.E.R.C.I KIT,Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
27394,30/05/2013,Rebismart Device,Merck Serono Australia Pty Ltd,Ares Trading SA an Affiliate of Merck KGaA Darmstadt Germany,168234,"Injector, medication/vaccine, needle"
31335,1/07/2013,Akron Merit 2 Section Couch,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205815,"Table, examination/treatment, (specify)"
27925,1/10/2013,Multiload,Merck Sharp & Dohme Australia Pty Ltd,Multilan AG,129680,"Contraceptive, intrauterine device"
27923,1/10/2013,Multiload contraceptive device,Merck Sharp & Dohme Australia Pty Ltd,Multilan AG,129680,"Contraceptive, intrauterine device"
30787,31/10/2013,Gruppo Acetabular Insert Biolox Ceramic,Global Manufacturing Technology Pty Ltd,Gruppo Bioimplanti SRL,118604,Acetabulum prosthesis
,,"Prosthesis, internal, joint, hip, acetabular component",Global Manufacturing Technology Pty Ltd,Gruppo Bioimplanti SRL,118604,"Prosthesis, internal, joint, hip, acetabular component"
,,"Prosthesis, internal, joint, hip, femoral component",Global Manufacturing Technology Pty Ltd,Merete Medical GmbH,115543,"Prosthesis, internal, joint, hip, femoral component"
28642,9/12/2013,"M.E.R.C.I Adaptor, syringe/needle",Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
28645,9/12/2013,Medicine Administration Kit,Merck Sharp & Dohme (Australia) Pty Ltd,Medica Europe BV,134371,"Adaptor, syringe/needle"
28648,10/12/2013,Multiload IUD,Merck Sharp & Dohme Australia Pty Ltd,Multilan AG,129680,"Contraceptive, intrauterine device"
28643,10/12/2013,Multiload IUD CU 375,Merck Sharp & Dohme Australia Pty Ltd,Multilan AG,129680,"Contraceptive, intrauterine device"
28655,12/12/2013,"Multiload Intrauterine Device, Metal covered",Merck Sharp & Dohme Australia Pty Ltd,Multilan AG,129680,"Contraceptive, intrauterine device"
