Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27536,9/08/2012,Sara 3000,ARJO Hospital Equipment Pty Limited,Medibo Medical Products NV,138053,"Lift, patient transfer, mobile"
29105,10/12/2012,Lift - Patient transfer,Arjo Australia Pty Ltd,ArjoHuntleigh AB,200785,"Lift, patient transfer, mobile"
28927,11/12/2012,Kenex,GE Healthcare Australia Pty Ltd,Kenex Electro Medical Ltd,136957,"Protection equipment, radiation, barrier, mobile"
,,CATH LAB,GE Healthcare Australia Pty Ltd,GE Medical Systems SCS,93871,"X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital"
29107,21/12/2012,Maxi Twin,ARJO Hospital Equipment Pty Limited,ARJO Hospital Equipment AB,137937,"Lift, patient transfer, mobile"
30004,7/02/2013,Sara 3000 Patient Transfer Lift,ARJO Hospital Equipment Pty Limited,Medibo Medical Products NV,138053,"Lift, patient transfer, mobile"
29752,27/02/2013,Maxi Sky 600,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,199602,"Lift, patient transfer, mobile"
30116,25/03/2013,Mobifuser,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
29658,26/03/2013,Maxi Sky 600,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,199602,"Lift, patient transfer, mobile"
30972,22/05/2013,Alaris Docking Stationfor alaris pumps,Becton Dickinson Pty Ltd,CareFusion Switzerland 317 Sarl,174810,"Infusion pump management unit, mobile"
31277,28/08/2013,Maxi Sky 600 lift,Arjo Australia Pty Ltd,ArjoHuntleigh AB,200785,"Lift, patient transfer, mobile"
32769,4/12/2013,Tri-Flex II Bed,Prius Healthcare Solutions Pty Ltd,Burke Mobility Inc,180463,"Bed, obese person"
32770,4/12/2013,Tri-Flex II Bed,Prius Healthcare Solutions Pty Ltd,Burke Mobility Inc,180463,"Bed, obese person"
32768,4/12/2013,Tri-Flex II Bed,Prius Healthcare Solutions Pty Ltd,Burke Mobility Inc,180463,"Bed, obese person"
32433,10/12/2013,Tempo,Arjo Australia Pty Ltd,ArjoHuntleigh AB,200785,"Lift, patient transfer, mobile"
32578,20/12/2013,Kenex Radiation Barrier,GE Healthcare Australia Pty Ltd,Kenex Electro Medical Ltd,136957,"Protection equipment, radiation, barrier, mobile"
,,"INNOVA 2100 CATH LAB, X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital",GE Healthcare Australia Pty Ltd,GE Medical Systems SCS,93871,"X-ray system, diagnostic, fluoroscopic, angiographic, stationary, digital"
33178,23/01/2014,Over Toilet Aid,Making Life Easy Mobility And Independent Living Superstore Pty Ltd,Profit Country Enterprises Ltd,137538,"Personal hygiene aid, toiletting, seat, raised, free-standing"
33311,10/02/2014,Accu-Chek Mobile Blood Glucose Monitor by Roche,Roche Diabetes Care Australia Pty Ltd,Roche Diagnostics GmbH,190251,Clinical chemistry substrate IVDs
27232,25/02/2014,MOBILITY ANKLE BEARING 3X5MM,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,"DePuy International, Ltd",137679,"Prosthesis, internal, joint, ankle, tibial component"
33302,26/03/2014,Maxisky 440,Arjo Australia Pty Ltd,ArjoHuntleigh AB,200785,"Lift, patient transfer, mobile"
33960,16/04/2014,Nail treatment solution,Arrow Pharma Pty Ltd,Moberg Derma AB,221559,Nail treatment solution
34195,14/05/2014,Maxi Twin,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,199602,"Lift, patient, transfer, mobile"
32931,5/06/2014,MOBILITY ANKLE TIBIAL SIZE 4,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy International,137679,"Prosthesis, internal, joint, ankle, tibial compone"
,,"MOBILE BEARING INSERT, Prosthesis, internal, joint, ankle, tibial component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy International,137679,"Prosthesis, internal, joint, ankle, tibial component"
34412,13/06/2014,Sara 3000 lift,Arjo Australia Pty Ltd,ArjoHuntleigh,200785,"Lift, patient transfer, mobile"
30346,19/06/2014,MOBILE BEARING INSERT SZ4 5MM,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,DePuy International Ltd,137679,"Prosthesis, internal, joint, ankle, tibial compone"
,,"MOBILITY ANKLE TIBIAL SIZE 4, Prosthesis, internal, joint, ankle, tibial component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy International,137679,"Prosthesis, internal, joint, ankle, tibial component"
28873,3/07/2014,LCS COMP RP INSERT STD+ 12.5MM,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,217376,"Prosthesis, knee, internal, insert component"
,,"LCS COMPLETE M/B PAT CEM STD+, Prosthesis, internal, joint, knee, patellar component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,108414,"Prosthesis, internal, joint, knee, patellar component"
,,LCS Complete Modular Revision Cemented Femur - Mobile-bearing total knee prosthesis,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,216984,"Prosthesis, internal, joint, knee, femoral component"
,,"MBT REVISION CEM TIB TRAY SZ 3, Prosthesis, internal, joint, knee, tibial component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,98092,"Prosthesis, internal, joint, knee, tibial component"
,,"UNIVERSAL REV STEM 75X14MM, Prosthesis, internal, joint, knee, femoral component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,131657,"Prosthesis, internal, joint, knee, femoral component"
35480,2/08/2014,Pride Celebrity X Scooter,Pride Mobility Products Australia Pty Ltd,Pride Mobility Products,109842,"Disability vehicle, moped, (specify)"
34736,7/08/2014,Alenti patient lifter,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,199956,"Lift, patient transfer, mobile"
30771,14/08/2014,Mobility Ankle Tibial Sise 4,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy International,137679,"Prosthesis, internal, joint, ankle, tibial compone"
,,"MOBILE BEARING INSERT SZ3 3MM, Prosthesis, internal, joint, ankle, tibial component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy International,137679,"Prosthesis, internal, joint, ankle, tibial component"
31663,15/08/2014,Mobifuser,Slade Health Pty Ltd,Royal Fornia Medical Equipment Co Ltd,188661,Elastomeric infusion pump system
30687,23/08/2014,DXTEND GLENOSPHERE STD D38MM,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy France SAS,217442,"Prosthesis, internal, joint, shoulder, glenoid com"
,,"DXTEND HIGHMO PE CUP D38 +3MM, DeltaXtend Humeral Cup High Mobility - Reverse shoulder prosthesis",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy France SAS,212806,Reverse shoulder prosthesis
,,"DXTEND MBLOC HUM EPI 1 D10 STD, Reverse shoulder prosthesis",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy France SAS,217441,Reverse shoulder prosthesis
