Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27368,12/07/2012,Nathanson Cystic/Common Bile Duct Exploration Set,William A Cook Australia Pty Ltd,Cook Incorporated,139197,"Catheter, cholangiography"
29701,21/12/2012,Natrelle Inspira,Allergan Australia Pty Ltd,Allergan,151739,"Prosthesis, internal, mammary, gel filled"
27356,23/05/2013,Zimmer Natural Nail - Cephalomedullary Nail (Short),Zimmer Biomet Pty Ltd,Zimmer GmbH,169894,"Fixation device, internal, nail, intramedullary, femur"
30157,9/07/2013,"Natrelle Truform 3 gel, Textured Single Lumen Breast Implants",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
33212,31/01/2014,Acrysof® SP Natural IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
32379,1/04/2014,"Natrelle Truform 3 gel, Textured Single Lumen Brea",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
33969,17/04/2014,ACRYSOF SP NATURAL IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
32848,23/04/2014,SERI Surgical Scaffold - Silk surgical mesh,Allergan Australia Pty Ltd,Allergan Inc,206374,Silk Surgical Mesh
,,"Natrelle Truform 3 gel, Textured Single Lumen Breast Implants - Prosthesis, internal, mammary, gel filled (Mfr Ref # 1036035)",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
34243,21/05/2014,Natural Knee,Zimmer Biomet Pty Ltd,Zimmer Inc,95985,Polyethylene patella prosthesis
31083,14/07/2014,"Natrelle INSPIRA Truform 2 gel, Textured Single Lu",Allergan Australia Pty Ltd,Allergan,175425,"Prosthesis, internal, mammary, gel filled"
33970,26/03/2015,ACRYSOF SP NATURAL IQ,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
33217,8/04/2015,Acrysof ® SP Natural IQ Lens,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories,92318,"Lens, intraocular, posterior chamber"
33367,13/04/2015,SERI Surgical Scaffold,Allergan Australia Pty Ltd,Allergan Inc,206374,Silk surgical mesh
,,"Natrelle Truform 3 gel, Textured Single Lumen Breast Implants - Prosthesis, internal, mammary, gel filled",Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
36516,21/04/2015,Zimmer Natural Nail System,Zimmer Biomet Pty Ltd,Zimmer Inc,169891,"Fixation device, internal, nail, intramedullary, femur"
,,"Zimmer Natural Nail System, Orthopaedic bone screw, non-bioabsorbable, sterile",Zimmer Pty Ltd,Zimmer Inc,169898,"Orthopaedic bone screw, non-bioabsorbable, sterile"
30055,19/05/2015,Natrelle Truform 3 gel Textured Single Lumen Breast Prosthesis,Allergan Australia Pty Ltd,Allergan Australia Pty Ltd,171512,"Prosthesis, internal, mammary, gel filled"
37787,7/08/2015,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
36802,11/08/2015,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
36882,11/08/2015,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
36966,11/08/2015,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
37401,25/08/2015,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc.,92318,"Lens, intraocular, posterior chamber"
34653,26/08/2015,AcrySof® SP Natural Wavefront (IQ),Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
38952,2/03/2016,AcrySof IQ Natural Singlepiece IOL,Alcon Laboratories Australia Pty Ltd,Alcon Laboratories Inc,92318,"Lens, intraocular, posterior chamber"
41474,20/06/2016,Natrelle Style 410 Cohesive Silicone Gel Filled Breast Implant,Allergan Australia Pty Ltd,Allergan,171512,"Prosthesis, internal, mammary, gel filled"
41490,30/06/2016,Natrelle Tissue Expander 133 SV,Allergan Australia Pty Ltd,Allergan,175797,Skin expander
41472,7/07/2016,CUI Textured Silicone Gel Filled Breast Implant,Allergan Australia Pty Ltd,Allergan,128767,"Prosthesis, internal, mammary, gel filled"
,,Natrelle Tissue Expanders - Skin expander,Allergan Australia Pty Ltd,Allergan,175797,Skin expander
