Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27809,8/08/2012,Babylog,Draeger Australia Pty Ltd,Drager Medical GmbH,170141,"Ventilator, neonatal/paediatric"
28799,3/10/2012,Infant Dual-Heated Evaqua2 Breathing Circuit,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
,,Babylog ventilation unit,Draeger Medical Australia Pty Ltd,Drager Medical GmbH,170141,"Ventilator, neonatal/paediatric"
,,Respiratory Humidifier,-,Fisher & Paykel Healthcare Ltd,,-
30842,29/05/2013,Mansell Neonatal Retrieval System,Wenross Holdings Pty Ltd,Mansell Neonatal Transport Equipment Pty Ltd,137749,"Incubator, infant, transportable"
31084,30/05/2013,Neopuff Infant Resuscitator,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,106849,"Resuscitator, pulmonary, gas-powered"
34071,15/04/2014,Fisher & Paykel Healthcare Neonatal Circuit,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
34466,20/06/2014,Dreamtome Rx44 Biliary system sphincterotome with guidewire,Boston Scientific Pty Ltd,NeoMetrics Inc,218955,"Biliary catheter guidewire, single-use"
35619,22/10/2014,Fisher & Paykel Healthcare Neonatal Circuit,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
35956,2/12/2014,"Anaequip, neonate oxygen regulator tap",Walkit Pty Ltd as Trustee for Anaequip Medical Trust T/a Anaequip Medical,Precision Medical Inc,205932,Oxygen therapy flowmeter
36414,2/02/2015,Acutronic Ventilator,Innervate Pty Ltd,Acutronic Medical Systems AG,185053,"Ventilator, neonatal/paediatric"
37441,22/05/2015,Acutronic Ventilator neonatal/paediatric,Innervate Pty Ltd,Acutronic Medical Systems AG,185053,"Ventilator, neonatal/paediatric"
37684,23/06/2015,Otto Bock Nurmi Neo Walker,Otto Bock Australia Pty Ltd,Otto Bock Healthcare GmbH & Co,108760,"Walking aid, two arms, (specify)"
39243,13/11/2015,"Neocath 2fr 30 cm Silicone Catheter, central venous, peripherally inserted",Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,235523,"Catheter, central venous, peripherally inserted"
39246,13/11/2015,"Neocath 2fr 30 cm Silicone Catheter, central venous, peripherally inserted",Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,235523,"Catheter, central venous, peripherally inserted"
39249,13/11/2015,"Neocath 2fr 30 cm Silicone Catheter, central venous, peripherally inserted",Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,235523,"Catheter, central venous, peripherally inserted"
39252,13/11/2015,"Neocath 2fr 30 cm Silicone Catheter, central venous, peripherally inserted",Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,235523,"Catheter, central venous, peripherally inserted"
39247,13/11/2015,"Neocath 2fr Silicone Catheter, central venous, peripherally inserted",Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,235523,"Catheter, central venous, peripherally inserted"
39244,17/11/2015,"Neocath 2fr 30 cm Silicone Catheter, central venous, peripherally inserted",Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,235523,"Catheter, central venous, peripherally inserted"
34391,3/12/2015,Flow sensor cable,Innervate Pty Ltd,Acutronic Medical Systems AG,185053,"Ventilator, neonatal/paediatric"
