Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
26432,2/08/2012,Tibiaxys Ankle Arthrodesis Plating System,Integra Neurosciences Pty Ltd,Newdeal SAS,173932,"Fixation plate, fracture-healing, non-biodegradable."
28641,14/09/2012,Achieva 1.5T New,Philips Electronics Australia Ltd,Philips Medical Systems Nederland BV Business Unit Magnetic Resonance - Site Best,98887,"MRI system, full-body, superconducting magnet"
28714,4/02/2013,Tibiaxys Ankle Arthrodesis Plating System,Integra Neurosciences Pty Ltd,Newdeal SAS,173932,"Fixation plate, fracture-healing, non-biodegradable."
29586,12/02/2013,Newport,Global Orthopaedic Technology Pty Ltd,SeaSpine Inc,189006,"Fixation device, internal, spine, construct"
25421,9/07/2013,75mm Selectable New TLC,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,155639,"Applier, surgical staple, cutting"
27840,9/07/2013,75mm Selectable New TLC,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,155639,"Applier, surgical staple, cutting"
,,"Linear Cutter Reload Selectable - Fixation device, internal, staple, tissue",Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,179411,"Fixation device, internal, staple, tissue"
32226,29/11/2013,PANTA Nail,Integra Neurosciences Pty Ltd,Newdeal SAS,173962,"Fixation device, internal, nail, intramedullary, tibia"
33484,3/06/2014,MUSTANG,Boston Scientific Pty Ltd,Boston Scientific Australia and New Zealand,204257,"Catheter, angioplasty, balloon dilatation"
33278,3/06/2014,Sterling™angioplasty Catheter,Boston Scientific Pty Ltd,Boston Scientific Australia and New Zealand,137799,"Catheter, angioplasty, balloon dilatation"
33351,18/06/2014,Rotablator Rotational Atherectomy System,Boston Scientific Pty Ltd,Boston Scientific Australia and New Zealand,162477,Coronary artery atherectomy system
29052,22/07/2014,75MM SELECTABLE NEW TLC stapler,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,155639,"Applier, surgical staple, cutting"
31699,10/09/2014,New Nellcor Bedside Pulse Oximeter,Medtronic Australasia Pty Ltd,Covidien llc,179890,"Oximeter, pulse"
33026,27/10/2014,Hintegra prosthesis PE inlay,Integra Neurosciences Pty Ltd,Newdeal SAS,173960,"Prosthesis, internal, joint, ankle, total"
37695,17/06/2015,"Epicutaneo 24 g, Newborn central venous catheter",Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,235523,"Catheter, central venous, peripherally inserted"
36021,9/10/2015,"75MM SELECTABLE NEW TLC Applier, surgical staple",Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,155639,"Applier, surgical staple, cutting"
36020,9/10/2015,"75MM SELECTABLE NEW TLC Applier, surgical staple,",Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,155639,"Applier, surgical staple, cutting"
36022,15/10/2015,"75MM SELECTABLE NEW TLC Applier, surgical staple,",Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,155639,"Applier, surgical staple, cutting"
