Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
31035,11/06/2013,Nipro 15g AVF Needles 1.8 x 2.5,Nipro Australia Pty Ltd,Nipro Corporation,121682,"Needle, dialysis"
31410,9/07/2013,"NIPRO SUREFUSER+, Elastomeric Infusion Device - 250ml",Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
33798,31/03/2014,Nipro - Surefusor,Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
37813,27/07/2015,TRUE Universal Lancet,Nipro Australia Pty Ltd,Nipro Diagnostics Inc,205801,"Lancet, manual, single use"
39573,14/12/2015,True Result Blood sugar level test meter,Nipro Australia Pty Ltd,Nipro Diagnostics Inc,217840,"Glucose monitoring system IVD, home-use/point-of-care"
40886,21/04/2016,"Nipro Blood Tubing Set - Tubing set, dialysis/haemodialysis",Nipro Australia Pty Ltd,Nipro Corporation,121681,"Tubing set, dialysis/haemodialysis"
40208,22/04/2016,"Nipro Surefuser - Infusion pump, general-purpose",Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
40291,30/05/2016,Nipro Blood Tubing Set,Nipro Australia Pty Ltd,Nipro Corporation,121681,"Tubing set, dialysis/haemodialysis"
51719,21/05/2018,TRUEresult Blood Glucose Monitoring System - Clinical chemistry substrate IVDs,Nipro Australia Pty Ltd,Trividia Health Inc,180121,Clinical chemistry substrate IVDs
55882,18/02/2019,Nipro Glucokey - Home-use blood glucose monitoring system IVD,Nipro Australia Pty Ltd,Taidoc Technology Corporation,294655,Home-use blood glucose monitoring system IVD
,,"Glucose monitoring system IVD, home-use/point-of-care",Bayer Australia Ltd,Ascensia Diabetes Care Holdings AG,196838,"Glucose monitoring system IVD, home-use/point-of-care"
59970,16/10/2019,Surefuser,Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
59972,16/10/2019,Surefuser,Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
59974,16/10/2019,Surefuser,Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
59981,16/10/2019,Surefuser,Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
60061,22/10/2019,"Surefuser - surefuser elastomeric infusion pump - Infusion pump, general-purpose",Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
60064,22/10/2019,"Surefuser elastomeric infusion device - Infusion pump, general-purpose",Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
59192,25/10/2019,"Nipro Surefuser - Infusion pump, general-purpose",Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
60112,25/10/2019,"Surefuser - Infusion pump, general-purpose",Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
