Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28424,7/09/2012,Nutex Gloves,Ansell Limited T/A Ansell Healthcare,Ansell (UK) Ltd,162902,"Glove, surgical, latex"
29415,21/03/2013,Nutriline TwinFlo,Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,141227,"Catheter, intravascular, general-purpose"
31300,26/06/2013,"Ansell, Nutex DermaShield Latex surgical gloves-Powder free size 6.5 size 7",Ansell Limited T/A Ansell Healthcare,Ansell NP Sdn Bhd T/a Ansell Malaysia Sdn Bhd Ansell Medical Sdn Bhd,133985,"Glove, surgical, non-latex"
32174,30/09/2013,Vygon Nutrisafe Syringe Feeding Pump Orange,Device Technologies Australia Pty Ltd,Sino Medical Device Technology Co Ltd,198722,"Infusion pump, syringe"
,,"Syringe, general-purpose",Device Technologies Australia Pty Ltd,Vygon SA,149559,"Syringe, general-purpose"
32188,4/10/2013,Nutriport feeding tube,Covidien Pty Ltd,Covidien llc (Formerly known as Tyco),95284,"Tube, feeding, gastrostomy"
32194,4/10/2013,Nutriport feeding tube,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
32172,31/01/2014,Nutrisafe Oranage Feeding Tube,Device Technologies Australia Pty Ltd,Vygon SA,140943,"Tube, gastrointestinal"
34827,1/08/2014,VYGON NUTRISAFE 2,Device Technologies Australia Pty Ltd,Vygon SA,140943,"Tube, gastrointestinal"
35651,30/10/2014,Nutriport Button Gastrostomy 18fg x 2.0cm Nutriport skin level balloon,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
35654,30/10/2014,Nutriport Gastrostomy button Nutriport 18fg x 1.7cm,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
36512,16/02/2015,Nutriport Gastrostomy button Nutriport 18fg x 1.7cm,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
37292,7/05/2015,Covidien - Nutriport,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
37383,15/05/2015,Button Gastrostomy 18fg x 2.0cm Nutriport skin level,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
37694,17/06/2015,"Nutriport, Enteral Feeding, Enteral Access Device, Gastrostom",Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
38319,14/08/2015,nutriport button gastrostomy,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
39147,6/11/2015,Kangaroo Gastrostomy Button Nutriport 18FR x 1.7cm,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
40408,11/03/2016,Gastrostomy Button Nutriport 18FR x 1.7cm,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
40505,18/03/2016,Kangaroo Nutriport Low Profile Gastrostomy Device,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
40856,4/05/2016,Flocare Infinity Pack Set Luer Free - Transition,Nutricia Australia Pty Ltd,Nutricia Medical devices BV,119666,Enteral feeding kit
40441,6/05/2016,NUTRISAFE 2 FEEDING TUBE 6FR 40CM,Device Technologies Australia Pty Ltd,Vygon SA,140943,"Tube, gastrointestinal"
39719,18/05/2016,NUTRISAFE 2 FEEDING TUBE 5FR 40CM,Device Technologies Australia Pty Ltd,Vygon SA,140943,"Tube, gastrointestinal"
41398,1/06/2016,Nutriport Low profile gastrostomy,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
42170,14/09/2016,"Flocare ENfit G-Tube (Sizes: Ch18 and Ch 20) - Tube, gastrointestinal",Nutricia Australia Pty Ltd,Nutricia Medical devices BV,120000,"Tube, gastrointestinal"
42833,20/09/2016,Vygon Nutrisafe - Silicone Nasal Gastric Tube - 6Fr- L.125cm,Device Technologies Australia Pty Ltd,Vygon SA,140944,"Tube, gastrointestinal"
38102,6/10/2016,Kangaroo (Nutriport) Balloon SLG device,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
43091,6/10/2016,Kangaroo Nutriports Gastrostomy Button,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
43258,19/10/2016,Kangaroo Nutriports Gastrostomy Button,Medtronic Australasia Pty Ltd,Covidien llc,185673,Enteral feeding kit
43499,16/02/2017,Flocare Infinity (Enteral Feeding Pump),Nutricia Australia Pty Ltd,Nutricia Medical devices BV,119667,"Infusion pump, enteral feeding"
45944,25/05/2017,Flocare ENFit G-Tube CH20,Nutricia Australia Pty Ltd,Nutricia Medical devices BV,120000,"Tube, gastrointestinal"
45880,2/06/2017,Flocare Infinity Pack Giving Set - Transition,Nutricia Australia Pty Ltd,Nutricia Medical devices BV,119666,Enteral feeding kit
46657,20/06/2017,VYGON - Nutrisafe 2 (PVC DEHP Free) Naso Gastric Tube 14Fr L.125cm,Device Technologies Australia Pty Ltd,Vygon SA,140943,"Tube, gastrointestinal"
53309,3/09/2018,"Flocare Infinity Enteral Feeding Pump - Infusion pump, enteral feeding",Nutricia Australia Pty Ltd,Nutricia Medical devices BV,119667,"Infusion pump, enteral feeding"
59859,8/10/2019,Nutricia flocare,Nutricia Australia Pty Ltd,Nutricia Medical devices BV,120000,"Tube, gastrointestinal"
