Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29330,19/09/2012,SpheRx Deformity System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132466,"Fixation device, internal, spine, construct"
29329,3/10/2012,HeliX Revolution ACP System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132466,"Fixation device, internal, spine, construct"
28826,1/11/2012,"NuVasive SpherX Rod Template, 500mm",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132466,"Fixation device, internal, spine, construct"
,,SpherX Deformity System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132466,"Fixation device, internal, spine, construct"
28830,5/11/2012,Helix Anterior Cervical Plate system,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132466,"Fixation device, internal, spine, construct"
,,CoRoent Interbody Implants,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132498,Spinal cage
31482,12/07/2013,MAS Deformity System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,203606,"Surgical procedure kit, orthopaedic, single-use, non-medicated"
,,"Surgical procedure kit, neurosurgical, reusable",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,162635,"Surgical procedure kit, neurosurgical, reusable"
32555,8/11/2013,SpheRxII MAS Deformity System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
,,Bone Screw,-,N/K,,-
,,Fixation Rod,-,N/K,,-
33299,14/02/2014,Maxcess Retractor System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,162635,"Surgical procedure kit, neurosurgical, reusable"
29937,17/04/2014,Attrax Synthetic Bone Graft Substitute,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,180974,"Bone matrix implant, artificial"
29938,19/04/2014,Attrax Synthetic Bone Graft Substitute,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,180974,"Bone matrix implant, artificial"
,,Spinal cage,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132498,Spinal cage
29939,24/04/2014,Attrax Synthetic Bone Graft Substitute,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132466,"Fixation device, internal, spine, construct"
34384,10/06/2014,SpheRx PPS System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
,,Bone screw connecting implant rods,-,n/k,,-
,,Pedicle bone screws,-,n/k,,-
34426,13/06/2014,HeliX-Revolution ACP System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209196,"Spinal fixation plate, non-biodegradable"
32265,2/04/2015,Spinal Fixation device,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132466,"Fixation device, internal, spine, construct"
,,"NuVasive XCore II VBR, Spinal cage",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132498,Spinal cage
37059,7/04/2015,SPHERX II -MAS DEFORMITY Spinal System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
,,ASF25T Rod Connector,-,N/K,,-
37435,20/05/2015,SPHERX II -MAS DEFORMITY SPINAL SYSTEM,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
,,Rod 2 x 8847045,-,N/K,,-
37908,13/07/2015,SPHERX II -MAS DEFORMITY SPINAL SYSTEM,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
37909,13/07/2015,SPHERX II -MAS DEFORMITY SPINAL SYSTEM,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
38227,7/08/2015,Nuvasive Loan set/kit,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,162635,"Surgical procedure kit, neurosurgical, reusable"
38450,28/08/2015,HELIX MINI ACP SYSTEM,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209196,"Spinal fixation plate, non-biodegradable"
38828,9/10/2015,COROENT XLR STANDALONE SYSTEM - spinal cage,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132498,Spinal cage
39002,30/10/2015,NuVasive CoRoent Titanium System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132498,Spinal cage
40630,1/04/2016,"MAS PLIF Fixation System Fixation system, internal",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
40631,1/04/2016,NuVasive CoRoent System - Spinal cage,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132498,Spinal cage
40804,14/04/2016,CoRoent - Spinal cage,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,221418,Spinal cage
,,"Fixation device, internal, spine, construct",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132466,"Fixation device, internal, spine, construct"
,,"Spinal fixation plate, non-biodegradable",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209196,"Spinal fixation plate, non-biodegradable"
40423,22/06/2016,"NUVASIVE PRECEPT SPINAL SYSTEM - Fixation system,",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
42668,9/09/2016,"NUVASIVE SPHERX II -MAS DEFORMITY SPINAL Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
41147,12/10/2016,NuVasive CoRoent System - Spinal cage,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,221418,Spinal cage
40424,12/10/2016,NuVasive Helix Revolution ACP System,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209196,"Spinal fixation plate, non-biodegradable"
44062,14/12/2016,NuVasive CoRoent Thoracolumbar Implants - Spinal cage,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,221418,Spinal cage
45175,9/03/2017,"Coroent Large MP - Fixation device, internal, spine, construct",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132466,"Fixation device, internal, spine, construct"
43999,24/07/2017,"MAGEC® Spinal Bracing and Distraction System - Fixation device, internal, spine, construct",Nuvasive (Aust/NZ) Pty Ltd,Ellipse Technologies Inc,231043,"Fixation device, internal, spine, construct"
49625,10/01/2018,NuVasive CoRoent Thoracolumbar System - Spinal cage,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,132498,Spinal cage
51454,1/05/2018,"Nuvasive Precept Spinal System - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
51455,1/05/2018,"Nuvasive Precept Spinal System - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
51453,1/05/2018,"Nuvasive Spherx II-Mas Deformity Spinal - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
51711,16/05/2018,Nuvasive - Centering Awl (variable) and Self Centering Awl,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,162635,"Surgical procedure kit, neurosurgical, reusable"
51837,25/05/2018,"NUVASIVE SPHERX II -MAS DEFORMITY SPINAL - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
51840,25/05/2018,"PRECEPT Inserter - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
52424,4/07/2018,"NuVasive Reline System - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
52686,23/07/2018,NuVasive XL-TDR - Lumbar total disc replacement prosthesis,Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,169347,Lumbar total disc replacement prosthesis
48062,16/08/2018,"MAS PLIF Shank - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
50396,16/08/2018,"Precice Antegrade Femoral nail - Fixation device, internal, nail, intramedullary, femur",Life Healthcare Pty Ltd,Nuvasive Specialized Orthopaedics Inc,244568,"Fixation device, internal, nail, intramedullary, femur"
53381,11/09/2018,"Nuvasive Helix Revolution Acp System - Spinal fixation plate, non-biodegradable",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209196,"Spinal fixation plate, non-biodegradable"
51838,17/01/2019,"GSB GLOBAL SPINAL BALANCE SYSTEM - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
53808,1/02/2019,"NuVasive Reline System - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
50404,7/02/2019,"Precice Antegrade Femoral nail - Fixation device, internal, nail, intramedullary, femur",Life Healthcare Pty Ltd,Nuvasive Specialized Orthopaedics Inc,244568,"Fixation device, internal, nail, intramedullary, femur"
51189,7/02/2019,"Precice Antegrade Femoral nail - Fixation device, internal, nail, intramedullary, femur",Life Healthcare Pty Ltd,Nuvasive Specialized Orthopaedics Inc,244568,"Fixation device, internal, nail, intramedullary, femur"
51903,29/04/2019,MAGEC Spinal Bracing and Distraction System,Nuvasive (Aust/NZ) Pty Ltd,Ellipse Technologies Inc,231043,"Fixation device, internal, spine, construct"
58499,19/07/2019,"Nuvasive Precept Spinal System - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
56110,4/09/2019,"Precice Antegrade Femur Troachanteric Nail - Fixation device, internal, nail, intramedullary, femur",Life Healthcare Pty Ltd,Nuvasive Specialized Orthopaedics Inc,244568,"Fixation device, internal, nail, intramedullary, femur"
57151,5/09/2019,"PRECICE Antegrade 10° Femur - Fixation device, internal, nail, intramedullary, femur",Life Healthcare Pty Ltd,Nuvasive Specialized Orthopaedics Inc,244568,"Fixation device, internal, nail, intramedullary, femur"
56107,14/11/2019,"Nuvasive External Remote Controller - Remote control, cordless",Life Healthcare Pty Ltd,Nuvasive Specialized Orthopaedics Inc,231042,"Remote control, cordless"
58950,28/01/2020,"NuVasive Reline System - Fixation system, internal, spinal, bone screw",Nuvasive (Aust/NZ) Pty Ltd,Nuvasive Inc,209199,"Fixation system, internal, spinal, bone screw"
