Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27426,21/09/2012,Watchman Access System,Boston Scientific Pty Ltd,Atritech Inc,167374,Cardiac occluder delivery kit
,,Watchman 30mm,Boston Scientific Pty Ltd,Atritech Inc,167176,Cardiac occluder
28849,12/10/2012,Amplatzer PFO Occluder,Abbott Medical Australia Pty Ltd,AGA Medical Corporation,134069,Cardiac occluder
28848,12/10/2012,Amplatzer Septal Occluder,Abbott Medical Australia Pty Ltd,AGA Medical Corporation,134067,Cardiac occluder
29298,4/02/2013,Watchman LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Atritech Inc,198829,Cardiac occluder
,,Watchman Access System,Boston Scientific Pty Ltd,Atritech Inc,198855,Cardiac occluder delivery kit
31070,18/07/2013,WATCHMAN LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Atritech Inc,167176,Cardiac occluder
,,Watchman Access System - Cardiac occluder delivery kit,Boston Scientific Pty Ltd,Atritech Inc,167374,Cardiac occluder delivery kit
31778,19/08/2013,Invacare Powered Wheelchair,Invacare Australia Pty Ltd,Taiwan Armada Enterprise Co Ltd,101081,"Wheelchair, attendant/occupant, electric drive/manual steer, collapsible"
31253,28/08/2013,WATCHMAN LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Atritech Inc,198855,Cardiac occluder delivery kit
,,WATCHMAN LAA Closure Device with Delivery System - Cardiac occluder,Boston Scientific Pty Ltd,Atritech Inc,198829,Cardiac occluder
32261,30/10/2013,TDX®SR Power Wheelchair,Invacare Australia Pty Ltd,Invacare Medical Equipment Co Ltd,130040,"Wheelchair, attendant/occupant, electric drive/manual steer, non-collapsible"
32467,2/11/2013,Essure Micro Insert,Bayer Australia Ltd,Conceptus Inc,174123,"Contraceptive, tubal occlusion, Insert"
31998,15/11/2013,WATCHMAN ® LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Atritech Inc,198829,Cardiac occluder
28598,13/12/2013,Wheelchair,Invacare Australia Pty Ltd,Invacare Corporation,160385,"Wheelchair, attendant/occupant, electric drive/steer, non-collapsible"
32630,23/12/2013,Watchman LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Atritech Inc,198829,Cardiac occluder
,,Watchman Access System - Cardiac occluder delivery kit,Boston Scientific Pty Ltd,Atritech Inc,198855,Cardiac occluder delivery kit
33434,24/02/2014,"Essure, Permanent female sterilisation",Bayer Australia Ltd,Conceptus Inc,174123,"Contraceptive, tubal occlusion, Insert"
33469,6/03/2014,GORE® Septal Occluder,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,202817,Cardiac occluder
33980,22/04/2014,Essure contraceptive,Bayer Australia Ltd,Conceptus Inc,174123,"Contraceptive, tubal occlusion, Insert"
33154,1/05/2014,WATCHMAN ® LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Atritech Inc,198829,Cardiac occluder
,,30mm WATCHMAN LAA Closure Device with Delivery System - Cardiac occluder,Boston Scientific Pty Ltd,Atritech Inc,198829,Cardiac occluder
33559,17/05/2014,Watchman LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Atritech Inc,198829,Cardiac occluder
,,Watchman Access System - Cardiac occluder delivery kit,Boston Scientific Pty Ltd,Atritech Inc,198855,Cardiac occluder delivery kit
,,WATCHMAN LAA Closure Device with Delivery System - Cardiac occluder,Boston Scientific Pty Ltd,Atritech Inc,198829,Cardiac occluder
34134,6/06/2014,WATCHMAN ® LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Atritech Inc,198829,Cardiac occluder
34596,7/07/2014,Central pillar lift mechanism fitted to Permobil C400 and C500 powered wheelchairs,Permobil Australia,Permobil AB,192860,"Wheelchair, attendant/occupant, electric drive/steer, collapsible"
34381,8/07/2014,Pipeline Embolisation Device,Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,186413,"Stent, vascular, intracranial"
,,"HyperGlide Occlusion Balloon Catheter System - Catheter, intravascular, occluding",Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,152746,"Catheter, intravascular, occluding"
,,"Marksman Catheter - Catheter, intravascular, stent-placement",Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,193795,"Catheter, intravascular, stent-placement"
,,"Neuron Intracranial Accress System - Neuron Select Catheter - Catheter, intravascular, guiding",Penumbra Neuro Australia Pty Ltd,Penumbra Inc,209525,"Catheter, intravascular, guiding"
,,Sceptre balloon catheters,-,U/K,,-
34695,18/07/2014,Occlutech / Figulla Flex II ASD,Getz Healthcare Pty Ltd,Occlutech GmbH,201602,Cardiac occluder
34287,28/08/2014,WATCHMAN ® LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Atritech Inc,198829,Cardiac occluder
32685,11/09/2014,Essure,Bayer Australia Ltd,Conceptus Inc,174123,"Contraceptive, tubal occlusion, Insert"
31794,22/09/2014,SmartDrive,Permobil Australia,Max Mobility,202708,"Wheelchair, occupant, power assisted, collapsible"
34942,8/10/2014,WATCHMAN ® LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Boston Scientific,198829,Cardiac occluder
35374,8/10/2014,WATCHMAN ® LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Aritech Inc,198829,Cardiac occluder
35375,17/12/2014,WATCHMAN ® LAA Closure Device & Delivery System,Boston Scientific Pty Ltd,Boston Scientific,198829,Cardiac Occluder
,,Watchman Access System - Cardiac occluder delivery kit - WATCHMAN Access System,Boston Scientific Pty Ltd,Atritech Inc,198855,Cardiac occluder delivery kit
