Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
33851,15/05/2014,ACS Knee System,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,169772,"Prosthesis, internal, joint, knee, total"
,,poly insert,-,n/k,,-
,,tibial base plate,-,n/k,,-
34808,28/07/2014,Dental drill handpiece,NSK Oceania Pty Ltd,Nakanishi Inc,133780,"Drill, dental, electrically powered handpiece"
35290,22/09/2014,Invacare Aquatec Ocean VIP mobile shower and toilet commode,Invacare Australia Pty Ltd,Aquatec GmBh & Co KG,153914,"Chair, toilet"
33809,27/10/2014,ACS Knee System,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,169772,"Prosthesis, internal, joint, knee, total"
,,ACS Femoral Component,-,N/K,,-
,,ACS MB DD PE insert,-,N/K,,-
,,ACS Rotating Patella,-,N/K,,-
,,ACS Tibial Component,-,N/K,,-
33854,27/10/2014,ACS Knee System,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,169772,"Prosthesis, internal, joint, knee, total"
,,PE insert,-,n/k,,-
,,tibial base plate,-,n/k,,-
34578,27/10/2014,implantcast,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,169772,"Prosthesis, internal, joint, knee, total"
38029,23/07/2015,"Eizo Monitor, VDU, colour",Arcadia Corporation Pty Ltd EIZO Oceania,Eizo Corporation,115740,"Monitor, VDU, colour"
,,"Monitor, VDU, monochrome",Arcadia Corporation Pty Ltd EIZO Oceania,Eizo Corporation,115742,"Monitor, VDU, monochrome"
37024,6/06/2016,"ACS , Prosthesis, internal, joint, knee, total",Oceania Orthopaedics Pty Ltd,Implantcast GmbH,169772,"Prosthesis, internal, joint, knee, total"
35599,8/06/2016,"implantcast MUTARS - Prosthesis, internal, joint, knee, total",Oceania Orthopaedics Pty Ltd,Implantcast GmbH,169772,"Prosthesis, internal, joint, knee, total"
,,MUTARS GenuX Femoral Component Size 5 Left 5720033N,-,implantcast,,-
,,MUTARS GenuX Stem 57621611N,-,implantcast,,-
,,MUTARS Offset adapter 57510100,-,implantcast,,-
,,MUTARS PE inlay 57210002,-,implantcast,,-
,,MUTARS REvision Stem 57611618,-,implantcast,,-
,,MUTARS Screw 57201204,-,implantcast,,-
,,MUTARS Screw 57201205,-,implantcast,,-
,,MUTARS Tibial Plateau 57510300S,-,implantcast,,-
,,MUTARS tibial Spacer 58051000S,-,implantcast,,-
43405,28/10/2016,Hex Condom / Lelo,Lelo Oceania Pty Ltd,Hankook Latex Gongup Company Ltd,265655,"Condom, male, latex, non-lubricated"
45005,27/02/2017,Nakanishi inc - phatelus machlite - dental handpieces,NSK Oceania Pty Ltd,Nakanishi Inc,133780,"Drill, dental, electrically powered handpiece"
43735,9/10/2017,"ACS - Uncoated knee tibia prosthesis, metallic",Life Healthcare Pty Ltd,Implantcast GmbH,265611,"Uncoated knee tibia prosthesis, metallic"
,,ACS Double Taper - Bicompartmental knee prosthesis,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265635,"Prosthesis, internal, joint, knee, total"
,,ACS Stem - Knee stem,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265633,"Prosthesis, internal, joint, knee, total"
44075,28/11/2017,ACS Cemented Femur Size 3 Left - Uncoated knee femur prosthesis,Life Healthcare Pty Ltd,Implantcast GmbH,265601,Uncoated knee femur prosthesis
,,"ACS FB PE insert hyperflex - Prosthesis, knee, internal, insert component",Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265632,"Prosthesis, knee, internal, insert component"
,,"ACS FB Tibial Component cemented - Uncoated knee tibia prosthesis, metallic",Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265611,"Uncoated knee tibia prosthesis, metallic"
44127,28/11/2017,ACS Porous Coated Slim Femur - Coated knee femur prosthesis,Life Healthcare Pty Ltd,Implantcast GmbH,265596,Coated knee femur prosthesis
,,"ACS FB PE insert hyperflex - Prosthesis, knee, internal, insert component",Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265632,"Prosthesis, knee, internal, insert component"
,,ACS FB Tibial Component cementless pc - Coated knee tibia prosthesis,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265612,"Prosthesis, internal, joint, knee, total"
44126,29/11/2017,"ACS FB Cemented Tibia - Uncoated knee tibia prosthesis, metallic",Life Healthcare Pty Ltd,Implantcast GmbH,265611,"Uncoated knee tibia prosthesis, metallic"
,,"ACS FB PE insert hyperflex - Prosthesis, knee, internal, insert component",Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265632,"Prosthesis, knee, internal, insert component"
,,ACS Femoral Component Cementless pc - Coated knee femur prosthesis,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265596,"Prosthesis, internal, joint, knee, total"
44074,29/11/2017,"GenuX MK Tibial Component - Uncoated knee tibia prosthesis, metallic",Life Healthcare Pty Ltd,Implantcast GmbH,238837,"Uncoated knee tibia prosthesis, metallic"
,,MUTARS Genux MK Coupling TiNbN - Rotating hinged total knee prosthesis,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,244653,Rotating hinged total knee prosthesis
,,MUTARS GenuX MK femoral component cemented TiN - Uncoated knee femur prosthesis,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,238795,Uncoated knee femur prosthesis
,,"MUTARS GenuX MK MB PE insert - Prosthesis, knee, internal, insert component",Oceania Orthopaedics Pty Ltd,Implantcast GmbH,238794,"Prosthesis, knee, internal, insert component"
47406,26/02/2018,ACS FB Tibia PC - Coated knee tibia prosthesis,Life Healthcare Pty Ltd,Implantcast GmbH,265612,Coated knee tibia prosthesis
,,"ACS FB PE insert hyperflex - Prosthesis, knee, internal, insert component",Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265632,"Prosthesis, knee, internal, insert component"
,,ACS Femoral Component Cementless pc - Coated knee femur prosthesis,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265596,"Prosthesis, internal, joint, knee, total"
,,ACS PE Patella cemented - Polyethylene patella prosthesis,Oceania Orthopaedics Pty Ltd,Implantcast GmbH,265637,"Prosthesis, internal, joint, knee, total"
