Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29556,21/01/2013,PlasmaSORD,Olympus Australia Pty Ltd,Gyrus Medical Limited,141561,"Electrode, electrosurgical, active, foot-controlled, single use"
30083,18/02/2013,PKS SEAL Open Forceps,Olympus Australia Pty Ltd,Gyrus Acmi Inc,134022,"Endoscopic forceps, biopsy, laparoscope, rigid"
30528,25/03/2013,Bronchoscope,Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,112269,"Bronchoscope, flexible, fibreoptic"
30399,17/05/2013,Thunderbeat,Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,187994,"Electrosurgical unit, ultrasonic/mechanical vibration"
31004,13/08/2013,Olympus ESG-400,Olympus Australia Pty Ltd,Olympus Winter & Ibe GmbH,187642,"Electrosurgical system generator, general-purpose"
31159,6/11/2013,Smart Malleus Piston,Olympus Australia Pty Ltd,Gyrus Acmi Inc,123372,"Prosthesis, ossicular"
30971,7/11/2013,SMart Stapes Piston,Olympus Australia Pty Ltd,Gyrus Acmi Inc,123372,"Prosthesis, ossicular"
33872,8/04/2014,"Olympus, Colonoscope",Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,121183,"Colonoscope, flexible, video"
34533,27/06/2014,Olympus Colonoscope,Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,121183,"Colonoscope, flexible, video"
35885,26/11/2014,Olympus CleverCut 3V 7mm 20mm 35 GW,Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,217541,"Endotherapy electrosurgical diathermy system electrode, single-use"
36305,14/01/2015,"Olympus, Gastroduodenoscope, flexible, video",Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,112270,"Gastroduodenoscope, flexible, video"
,,"Endoscope accessory, cleaning brush, single use",Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,145604,"Endoscope accessory, cleaning brush, single use"
,,"Needle, aspiration/injection, single-use",Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,145847,"Needle, aspiration/injection, single-use"
36485,11/02/2015,Biliary stone retrieval balloon catheter,Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,214677,Biliary stone retrieval balloon catheter
36484,11/02/2015,Olympus Electrosurgical System,Olympus Australia Pty Ltd,Olympus Winter & Ibe GmbH,146187,"Electrosurgical system, general-purpose"
37439,21/05/2015,Thunderbeat Endotherapy Forceps,Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,209954,"Electrosurgical system handpiece, hand-controlled, general-purpose, single-use"
37985,15/07/2015,Olympus Electrosurgical system handpiece,Olympus Australia Pty Ltd,Olympus Medical Systems Corporation,209954,"Electrosurgical system handpiece, hand-controlled,"
37541,13/08/2015,Olympus Electrosurgical System,Olympus Australia Pty Ltd,Olympus Winter & Ibe GmbH,146187,"Electrosurgical system, general-purpose"
37885,19/08/2015,Olympus Electrosurgical System Generator,Olympus Australia Pty Ltd,Olympus Winter & Ibe GmbH,187642,"Electrosurgical system generator, general-purpose"
