Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
25900,19/07/2012,Optium Xceed Blood Glucose Monitoring System,Abbott Australasia Pty Ltd T/A Abbott Diabetes Care,Abbott Diabetes Care Ltd,107114,"Glucose monitoring system IVD, home-use/point-of-care"
27873,10/08/2012,Infant Optiflow Tubing Kit,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
,,Optiflow Junior Cannula,-,Fisher & Paykel Healthcare Ltd,,-
28051,10/09/2012,Maxrom liner,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,Acetabulum prosthesis
,,Biolox Delta Option femoral head 40MM,Zimmer Pty Ltd,Biomet Orthopedics Inc,117715,"Prosthesis, hip, internal, femoral head component"
,,Regenerex/Ringloc shell + LTD 56MM sz 24,Zimmer Pty Ltd,Biomet Orthopedics Inc,98098,"Prosthesis, internal, joint, hip, acetabular component"
,,Taperloc femoral stem,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
28480,12/09/2012,Ultra Injector,AMO Australia Pty Ltd,Duckworth & Kent Ltd,131006,Intraocular lens inserter
,,One Series Ultra Cartridge,AMO Australia Pty Ltd,Abbott Medical Optics Inc,179040,Intraocular lens inserter
27567,13/09/2012,Emerald AR Unfolder for the Tecnos 1 -piece,AMO Australia Pty Ltd,Abbott Medical Optics Inc,145631,Intraocular lens inserter
28573,17/09/2012,Acumed LLC,Medical & Optical Instruments Australia Pty Ltd,Acumed Instruments Inc,99824,"Fixation plate, fracture-healing, non-biodegradable."
27843,10/10/2012,"Cormet Cup Bicoated Size 6, 54MM 48 MM",Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,Metafix stem size 3,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,Metafix stem size 4,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
,,Optimom Eurocone modular head 48mm,Corin Australia Pty Ltd,Corin Medical A Division Of Corin Ltd,106747,"Prosthesis, internal, joint, hip, total"
29025,22/10/2012,15x100ram Kii Optical Access System Threaded,Applied Medical Australia Pty Ltd,Applied Medical Resources,116823,"Trocar, abdominal"
29191,12/11/2012,Optium Xceed Blood Glucose Monitoring System,Abbott Australasia Pty Ltd T/A Abbott Diabetes Care,Abbott Diabetes Care Ltd,191665,"Glucose monitoring system IVD, home-use/point-of-care"
29221,27/11/2012,G2 X Vena cava femoral filter system,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,163303,"Vena cava filter, optional"
29172,21/12/2012,Optium Xceed Blood Glucose Monitoring System,Abbott Australasia Pty Ltd T/A Abbott Diabetes Care,Abbott Diabetes Care Ltd,191665,"Glucose monitoring system IVD, home-use/point-of-care"
29220,31/12/2012,G2 X Vena cava femoral filter system,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,163303,"Vena cava filter, optional"
29517,30/01/2013,G2 X Vena cava femoral filter system,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,163303,"Vena cava filter, optional"
29540,21/02/2013,G2 X Vena cava femoral filter system,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,163303,"Vena cava filter, optional"
30210,5/03/2013,Riata ST Optim Lead,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,142970,"Lead, defibrillator/pacemaker, implantable"
29940,12/03/2013,Optiflow Junior Interface,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
30361,18/03/2013,Riata ST Optim Lead,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,142970,"Lead, defibrillator/pacemaker, implantable"
30416,20/03/2013,Optiflow Junior Interface,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
30523,29/03/2013,Infant Optiflow Tubing Kit,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
30602,17/04/2013,G2X Vena Cava Filter System - Femoral,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,163303,"Vena cava filter, optional"
26882,22/05/2013,Air Optix Astigmatism,Alcon Laboratories Australia Pty Ltd,Ciba Vision Corp,141131,"Contact lens, vision corrective, reusable"
31134,31/05/2013,Tecnis Toric Lens,AMO Australia Pty Ltd,Abbott Medical Optics Inc,181845,"Lens, intraocular, posterior chamber"
31349,28/06/2013,Therapy Cool Flex Ablation Catheter,Abbott Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,172928,"Catheter, cardiac, electrophysiological mapping"
,,"Inquiry Optima Steerable Catheter - Inquiry Cardioversion Steerable Diagnostic Catheter - Single Catheter System - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,Irvine Biomedical Inc a St Jude Medical Company,148117,"Catheter, cardiac, electrophysiological mapping"
,,"Livewire Steerable Decapolar Catheter -Livewire Steerable Electrophysiology Catheter - Catheter, cardiac, electrophysiological mapping",St Jude Medical Australia Pty Ltd,St Jude Medical,141868,"Catheter, cardiac, electrophysiological mapping"
31539,23/07/2013,TERUMO BCT Spectra Optia Apheresis System Collection Set,Terumo BCT Australia Pty Ltd,Terumo BCT Inc,129064,Blood collection tubing set
31575,25/07/2013,Optiflow Junior Interface,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,129354,Oxygen therapy delivery system
31598,15/08/2013,G2 X Vena Cava Filter,Bard Australia Pty Ltd,Bard Peripheral Vascular Inc,163303,"Vena cava filter, optional"
