Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
32085,4/10/2013,Orbera Intragastric Balloon,Allergan Australia Pty Ltd,Allergan Inc,106802,"Balloon, gastric, appetite-suppressing"
32136,12/07/2014,Orbera Intragastric Balloon,Allergan Australia Pty Ltd,Allergan Inc,106802,"Balloon, gastric, appetite-suppressing"
40914,18/06/2016,ORBERA Intragastric Balloon System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
41536,26/08/2016,ORBERA Intragastric Balloon System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
42169,20/09/2016,ORBERA Intragastric Balloon System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
42601,18/10/2016,ORBERA Intragastric Balloon System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
43918,31/01/2017,"ORBERA Intragastric Balloon System - Balloon, gastric, appetite-suppressing",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
45722,14/06/2017,ORBERA Intragastric Balloon System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
46693,18/08/2017,ORBERA Intragastric Balloon System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
47764,5/09/2017,"Orbera Gastric Balloon - Balloon, gastric, appetite-suppressing",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
50401,6/05/2018,"ORBERA Intragastric Balloon System - Balloon, gastric, appetite-suppressing",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
52333,17/07/2018,"Orbera Intragastric Balloon System - Balloon, gastric, appetite-suppressing",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
54625,27/11/2018,"mylife YpsoPump Orbitsoft, 6mm / 60cm - Infusion pump, insulin, ambulatory",Ypsomed Australia Pty Ltd,Ypsomed AG,298274,"Infusion pump, insulin, ambulatory"
56072,28/02/2019,"MY YpsoPump Orbitsoft, 6mm / 60cm - Infusion pump, insulin, ambulatory",Ypsomed Australia Pty Ltd,Ypsomed AG,298274,"Infusion pump, insulin, ambulatory"
59270,4/09/2019,Modsel contour trolley with orbit drive,Modsel Pty Ltd,Select Medical Equipment Pty Ltd,126375,"Stretcher, hospital"
57333,4/09/2019,"ORBERA 365 Intragastric Balloon System - Balloon, gastric, appetite-suppressing",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
57332,4/09/2019,"ORBERA Intragastric Balloon System - Balloon, gastric, appetite-suppressing",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Apollo Endosurgery Inc,226685,"Balloon, gastric, appetite-suppressing"
