Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27419,17/05/2013,Biomet Knee prosthesis (Femoral component),Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,OSS femoral,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,OSS tibial,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
31656,19/08/2013,OSS Tibial Poly Bearing 18mm,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS Axle , Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS poly femoral bushing , Prosthesis, internal, joint, knee, femoral component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"OSS poly lock pin , Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS poly tibial bushing , Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS reinforced Yoke II , Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
32240,11/10/2013,Avantage cemented shell,Zimmer Pty Ltd,Biomet France,119236,Acetabulum prosthesis
,,"modular femoral head, Prosthesis, hip, internal, femoral head component",Zimmer Pty Ltd,Biomet Orthopedics Inc,117715,"Prosthesis, hip, internal, femoral head component"
,,"The Avantage liner, Prosthesis, internal, joint, hip, acetabular component",Zimmer Pty Ltd,Biomet France,119236,"Prosthesis, internal, joint, hip, acetabular component"
,,"The OSS femoral stem components, Prosthesis, internal, joint, knee, femoral component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
31966,28/10/2013,OSS Large Head Small Thread Locking Srew,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
31159,6/11/2013,Smart Malleus Piston,Olympus Australia Pty Ltd,Gyrus Acmi Inc,123372,"Prosthesis, ossicular"
30971,7/11/2013,SMart Stapes Piston,Olympus Australia Pty Ltd,Gyrus Acmi Inc,123372,"Prosthesis, ossicular"
33492,27/02/2014,COCR Hip Prosthesis,Zimmer Pty Ltd,Biomet Orthopedics Inc,117715,"Prosthesis, hip, internal, femoral head component"
,,"Biomet OSS and Mallory Head femoral components, Prosthesis, internal, joint, hip, femoral component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
34855,5/08/2014,OSS 9cm Diaphyseal Segment,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,Uncoated knee femur prosthesis
,,"OSS Axle, Vanguard Knee Posterior Stabilised Interlok closed box femoral component - Uncoated knee femur prosthesis",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"OSS Elliptical Femoral, Vanguard Knee Posterior Stabilised Interlok closed box femoral component - Uncoated knee femur prosthesis",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"OSS Femoral Bushing, Vanguard Knee Posterior Stabilised Interlok closed box femoral component - Uncoated knee femur prosthesis",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"OSS Reinforced Yoke, Vanguard Knee Posterior Stabilised Interlok closed box femoral component - Uncoated knee femur prosthesis",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"OSS tibial bearing, Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS Tibial Bushing, Vanguard Knee Posterior Stabilised Interlok closed box femoral component - Uncoated knee femur prosthesis",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
34864,2/10/2014,OSS 5cm Diaphyseal Segment,Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral componen"
,,"OSS 7cm proximal femoral, Prosthesis, internal, joint, hip, femoral component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98097,"Prosthesis, internal, joint, hip, femoral component"
35792,14/11/2014,OSS Tibial Poly Bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS Yoke, OSS Tibial Bushing, OSS Axle, OSS Femoral Bushing, OSS Lock Pin",-,n/k,,-
37382,15/05/2015,OSS Big Head Small Thread Lock Screw,Zimmer Pty Ltd,Biomet Orthopedics,98451,"Prosthesis, internal, joint, knee, tibial component"
37700,17/06/2015,Ossur,Ossur Australia Pty Ltd,Ossur HF,141145,"Prosthesis, external, leg, component, knee unit"
36942,30/07/2015,LP Rotate - Ankle/Foot Prosthesis,Ossur Australia Pty Ltd,Ossur HF,141148,"Prosthesis, external, leg, ankle/foot, component,"
38981,29/10/2015,"OSS Tibial Bearing, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics,98451,"Prosthesis, internal, joint, knee, tibial component"
38967,27/11/2015,"Custom OSS RS Stem 3cm - Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics,98451,"Prosthesis, internal, joint, knee, tibial component"
41535,8/06/2016,"Resolve Halo Vest - Orthosis, spinal, cervical, frame",Ossur Australia - OA & Injury Solutions Pty Ltd,Jerome Group Inc,136101,"Orthosis, spinal, cervical, frame"
41848,4/07/2016,Walker Equalizer Small walker boot,Ossur Australia - OA & Injury Solutions Pty Ltd,Darco International Inc,197169,"Orthosis, footwear, orthopaedic, shoe, ready-made"
36451,12/07/2016,"FEM. STEM,CEM.LESS INTRAMED.OD=25,TiNb-COAT. (INCL. SCREW) - Leg internal-external prosthesis intrafemoral bar",Osseointegration Holdings Pty Ltd,Orthodynamics GmbH,195009,Leg internal-external prosthesis intrafemoral bar
42105,26/07/2016,"Ossur - Orthosis, leg, knee, unit",Ossur Australia - OA & Injury Solutions Pty Ltd,Ossur Hf,120570,"Orthosis, leg, knee, unit"
38178,20/09/2016,Male Pyramid,Ossur Australia Pty Ltd,Ossur HF,141148,"Prosthesis, external, leg, ankle/foot, component,"
43507,8/11/2016,COMPRESS/OSS TAPER ADAPTER TI 5CM,Zimmer Pty Ltd,Biomet Orthopedics,177878,Knee stem
44717,6/02/2017,OSS Segmental 7CM Femoral - Uncoated knee femur prosthesis,Zimmer Pty Ltd,Biomet Orthopedics,251372,Uncoated knee femur prosthesis
45449,12/10/2017,Osstem Implant Co. Ltd - Osstem TS System CA Fixture,Osstem Australia Pty Ltd,Osstem Implant Co Ltd,225382,"Screw endosteal dental implant, two-piece"
45544,12/10/2017,"Osstem Implant Co.,Ltd - Osstem TS System CA Fixture",Osstem Australia Pty Ltd,Osstem Implant Co Ltd,225382,"Screw endosteal dental implant, two-piece"
45547,12/10/2017,"Osstem Implant Co.,Ltd - Osstem TS System CA Fixture - Screw endosteal dental implant, two-piece",Osstem Australia Pty Ltd,Osstem Implant Co Ltd,225382,"Screw endosteal dental implant, two-piece"
45546,12/10/2017,"Osstem Implant Co.,Ltd - Osstem TS System SA Fixture - Screw endosteal dental implant, two-piece",Osstem Australia Pty Ltd,Osstem Implant Co Ltd,225382,"Screw endosteal dental implant, two-piece"
51592,10/05/2018,Miami J Collar,Ossur Australia - OA & Injury Solutions Pty Ltd,Ossur Hf,135078,"Orthosis, spinal, cervical, collar"
55306,28/05/2018,Osseointegration Prosthetic Limb - Leg internal-external prosthesis transcutaneous adaptor,Osseointegration Holdings Pty Ltd,Permedica SPA,229715,Leg internal-external prosthesis transcutaneous adaptor
,,"NovoMix 30 FlexPen (Insulin Aspart) Suspension for injection, 100",-,Novo Nordisk,,-
55310,28/05/2018,Osseointegration Prosthetic Limb - Leg internal-external prosthesis transcutaneous adaptor,Osseointegration Holdings Pty Ltd,Permedica SPA,229715,Leg internal-external prosthesis transcutaneous adaptor
55399,15/01/2019,Osseointegration Prosthetic Implant,Osseointegration Holdings Pty Ltd,Permedica SPA,229715,Leg internal-external prosthesis transcutaneous adaptor
