Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27391,17/07/2012,"Balloon, gastric, appetite-suppressing",Gastro Pacific Pty Ltd,Spatz FGIA Inc,174506,"Balloon, gastric, appetite-suppressing"
27422,20/07/2012,Quartet Lead,Abbott Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,171332,"Lead, pacemaker, implantable, endocardial"
,,"Adaptor, pacemaker, lead, implantable",St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,124288,Pacing lead adaptor
,,Tendril STS Lead Model 2088TC,St Jude Medical Australia Pty Ltd,St Jude Medical Cardiac Rhythm Management Division USA,170587,"Lead, defibrillator/pacemaker, implantable"
27879,24/07/2012,Sonata i 100,Pacing Importers Pty Ltd,Med-El Elektromedizinische Geraete GmbH,145733,"Stimulator, electrical, auditory, cochlea"
27599,26/07/2012,KY lubricant,Reckitt Benckiser Pty Ltd,Johnson & Johnson Pacific Pty Ltd,96194,"Lubricant, patient, vaginal"
28047,26/07/2012,Vibrant Soundbridge,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
25031,8/08/2012,Top Denture,Modern Dental Pacific Pty Ltd,Ivoclar Vivadent AG,188459,Dental ceramic
,,Dental ceramic,Pavona Pty Ltd,Ivoclar Vivadent AG,188459,Dental ceramic
27991,16/08/2012,Acuvue,Johnson & Johnson Pacific Pty Ltd,Johnson and Johnson Vision Care Inc,96417,"Contact lens, vision corrective, reusable"
28383,5/09/2012,Carefree Tampon,Johnson & Johnson Pacific Pty Ltd,Stegemann Hand Arbeit & Services,11620,"Sanitary wear, tampon, menstrual"
28541,14/09/2012,RELIANCE G Active Fix Dual Coil 64cm,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,119328,"Lead, defibrillator/pacemaker, implantable"
,,Pacing lead suture sleeve,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,132495,Pacing lead suture sleeve
28866,12/10/2012,Carefree Mini Tampon,Johnson & Johnson Pacific Pty Ltd,Stegemann Hand Arbeit & Services,11620,"Sanitary wear, tampon, menstrual"
28815,24/10/2012,Acuvue,Johnson & Johnson Pacific Pty Ltd,Johnson and Johnson Vision Care Inc,96417,"Contact lens, vision corrective, reusable"
29893,21/01/2013,Pruitt F 3 Carotid shunt with T-port (outlying),Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Le Maitre Vascular Inc,180818,"Shunt, carotid artery"
29622,24/01/2013,VIBRANT Soundbridge,Pacing Importers Pty Ltd,Vibrant Med-El Hearing Technology GmbH,161702,"Hearing aid, middle ear implant"
29657,25/01/2013,IPG Kit,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Nevro Corporation,186043,"Stimulator, electrical, analgesic, spinal cord"
,,Lead Kit,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,Nervo Corporation,185992,"Electrode/lead, stimulator, implantable, neurological"
