Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
28497,26/09/2012,Palacos R&G 40 gm,Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,133411,"Cement, orthopaedic, bone"
28560,28/11/2013,Palacos bone cement,Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,133411,"Cement, orthopaedic, bone"
29023,23/01/2014,Breathing Filter Circuit,Pall Corporation T/A Pall Australia,Pall Medical,131932,"Filter, bacteria, breathing circuit"
33826,3/04/2014,"Palindrome, Duel lumen dialysis catheter",Medtronic Australasia Pty Ltd,Covidien llc,184449,"Catheter, haemodialysis, implantable"
30158,26/05/2014,PALINDROME Catheter,Medtronic Australasia Pty Ltd,Covidien LLC,184449,"Catheter, haemodialysis, implantable"
30695,15/08/2014,PALINDROME 23/40 KIT W/ SLOT,Medtronic Australasia Pty Ltd,Covidien llc,184449,"Catheter, haemodialysis, implantable"
34822,5/09/2014,"PALMAZ GENESIS Peripheral Stent on OPTA PRO 0.035""",Cardinal Health Australia 503 Pty Ltd,Cordis Cashel,188675,"Prosthesis, internal, stent, vascular"
37918,29/07/2015,Palacos orthopaedic bone cement,Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,133412,"Cement, orthopaedic, bone"
39520,9/12/2015,Palmedic Probe cover,Life Healthcare Pty Ltd,Mizuho OSI,183112,"Cover, (specify)"
42339,31/08/2016,"ARCHITECT Syphilis TP - Treponema pallidum immunoglobulin G (IgG)/IgM antibody IVD, kit, chemiluminescent immunoassay",Abbott Australasia Pty Ltd Diagnostic Division,Abbott GmbH & Co KG,222510,"Treponema pallidum immunoglobulin G (IgG)/IgM antibody IVD, kit, chemiluminescent immunoassay"
38488,21/09/2016,"Palacos MV + G, Cement, orthopaedic, bone",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,147285,"Cement, orthopaedic, bone"
42765,30/09/2016,"ARCHITECT - Treponema pallidum immunoglobulin G (IgG)/IgM antibody IVD, kit, chemiluminescent immunoassay",Abbott Australasia Pty Ltd Diagnostic Division,Abbott GmbH & Co KG,222510,"Treponema pallidum immunoglobulin G (IgG)/IgM antibody IVD, kit, chemiluminescent immunoassay"
40332,24/10/2016,"Palacos Cement, orthopaedic, bone",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,133411,"Cement, orthopaedic, bone"
42961,24/10/2016,"Palacos MV + G - Cement, orthopaedic, bone",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,147285,"Cement, orthopaedic, bone"
,,"Mixer, orthopaedic cement",Heraeus Medical Australia Pty Ltd,Heraeus Medical GmbH,157700,"Orthopaedic cement mixer, manual"
40222,19/01/2017,"Palindrome Catheter - Catheter, haemodialysis, implantable",Medtronic Australasia Pty Ltd,Covidien llc,184449,"Catheter, haemodialysis, implantable"
44560,25/01/2017,"Treponema pallidum total antibody IVD, kit, chemilluminescent immunoassay",Abbott Australasia Pty Ltd Diagnostic Division,Abbott GmbH & Co KG,222510,"Treponema pallidum immunoglobulin G (IgG)/IgM antibody IVD, kit, chemiluminescent immunoassay"
,,Instrument/analyser IVDs,Abbott Australasia Pty Ltd Diagnostic Division,Abbott Labs Diagnostic Division,199356,Instrument/analyser IVDs
