Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27866,9/08/2012,Penumbra System Aspiration Pump Canister,Penumbra Neuro Australia Pty Ltd,Penumbra Inc,179310,Suction system tubing
,,Suction unit,Penumbra Neuro Australia Pty Ltd,Allied Healthcare Products Inc,152106,"Suction unit, electric powered"
29384,21/11/2012,Penumbra Coil 400,Penumbra Neuro Australia Pty Ltd,Penumbra Inc,182354,"Prosthesis, internal, embolization, intravascular"
30670,17/04/2013,Neuron MAX 6F 088 Long Sheath,Penumbra Neuro Australia Pty Ltd,Penumbra Inc,202251,"Catheter, intravascular, guiding"
,,"Penumbra Coil System 400 - Prosthesis, internal, embolization, intravascular",Penumbra Neuro Australia Pty Ltd,Penumbra Inc,182354,"Prosthesis, internal, embolization, intravascular"
,,"Penumbra PX 400 Microcatheter - Catheter, intravascular, guiding",Penumbra Neuro Australia Pty Ltd,Penumbra Inc,185762,"Catheter, intravascular, guiding"
,,"Pipeline Embolization Device - Stent, vascular, intracranial",Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,186413,"Stent, vascular, intracranial"
32938,20/12/2013,PX SLIM Delivery Microcatheter,Penumbra Neuro Australia Pty Ltd,Penumbra Inc,216039,Intravascular microflow catheter
34381,8/07/2014,Pipeline Embolisation Device,Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,186413,"Stent, vascular, intracranial"
,,"HyperGlide Occlusion Balloon Catheter System - Catheter, intravascular, occluding",Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,152746,"Catheter, intravascular, occluding"
,,"Marksman Catheter - Catheter, intravascular, stent-placement",Medtronic Australasia Pty Ltd,Micro Therapeutics Inc dba ev3 Neurovascular,193795,"Catheter, intravascular, stent-placement"
,,"Neuron Intracranial Accress System - Neuron Select Catheter - Catheter, intravascular, guiding",Penumbra Neuro Australia Pty Ltd,Penumbra Inc,209525,"Catheter, intravascular, guiding"
,,Sceptre balloon catheters,-,U/K,,-
36604,27/02/2015,Penumbra Coil 400,Penumbra Neuro Australia Pty Ltd,Penumbra Inc,182354,"Prosthesis, internal, embolization, intravascular"
,,PX SLIM Delivery Microcatheter,-,N/K,,-
