Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27237,3/07/2012,Perclose ProGlide 6F Suture Medicated Closure (SMC) System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,192246,"Suture/ligature implanting instrumentation, percutaneous"
27266,5/07/2012,Prostar XL Suture-Mediated Closure,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,192246,"Suture/ligature implanting instrumentation, percutaneous"
27372,16/07/2012,Sterrad Booster,Johnson & Johnson Medical Pty Ltd,Advanced Sterilization Products a Johnson & Johnson Company Division of Ethicon Inc,123602,"Sterilant, hydrogen peroxide"
27418,19/07/2012,5mm x 38cm Reposable Grasper Cartridge 10 per box,Applied Medical Australia Pty Ltd,Applied Medical Resources,145398,"Clamp, surgical, vascular"
27681,30/07/2012,Libra,Asaleo Personal Care Pty Ltd,SCA Hygiene Australasia Pty Limited,27944,Tampon
27783,10/08/2012,Jelco ACUVANCE PLUS Safety I.V. Catheter,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,167128,"Catheter, intravascular, peripheral"
27491,14/08/2012,5mm x 38cm Reposable Grasper Cartridge 10 per box,Applied Medical Australia Pty Ltd,Applied Medical Resources,145123,"Clamp, surgical, vascular"
27954,15/08/2012,Libra,Asaleo Personal Care Pty Ltd,SCA Hygiene Australasia Pty Limited,27944,Tampon
27973,16/08/2012,Performer Introducer,William A Cook Australia Pty Ltd,Cook Incorporated,137859,Catheter introducing sheath
,,Lunderquist Stiff Wire,-,Cook Incorporated,,-
,,Zenith Fenestrated Endovascular Graft,-,William A Cook Australia Pty Ltd,,-
28023,20/08/2012,Mitek - rotator cuff instruments,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Mitek (a Johnson & Johnson Company),162017,"Suture/ligature implanting instrumentation, percutaneous"
27769,20/08/2012,Perclose ProGlide 6F Suture Medicated Closure (SMC) System,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Abbott Vascular Inc,192246,"Suture/ligature implanting instrumentation, percutaneous"
