Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27393,17/07/2012,Vanguard polished finned 1 piece tibial tray 71MM,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard cruciate retaining femoral component,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
26694,3/08/2012,VICRYL PLUS SUTURE 36IN(90CM) 1 VIO,Johnson & Johnson Medical Pty Ltd,Ethicon Inc (USA),132034,"Suture, polyglactin, antimicrobial"
27436,6/08/2012,Vanguard polished finned 1 piece tibial tray 71MM,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard posterior stabilised femur,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
27971,16/08/2012,REFLECTION XLPE ALL POLY CUP,Smith & Nephew Pty Ltd,Smith & Nephew Inc Orthopaedic Division,94423,Acetabulum prosthesis
28213,27/08/2012,LASSO 7F 10 POLE 20MM,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,145997,"Catheter, cardiac, electrophysiological mapping"
28196,28/08/2012,POLARCUP SHELL,Smith & Nephew Surgical Pty Ltd,Smith & Nephew Orthopaedics AG,147473,Acetabulum prosthesis
28586,17/09/2012,Totalcare sport bed tc665 iv pole accessory,Hill-Rom Pty Ltd,Hill-Rom Industries SA,130680,"Bed, kinetic"
28685,21/09/2012,Vanguard polished finned 1 piece tibial tray 71MM,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard CR bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard CR Interlok femur,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
28569,18/10/2012,PHYSIOMESH COMPOSITE MESH 10X15CM OVAL,Johnson & Johnson Medical Pty Ltd,Johnson & Johnson International,182785,"Mesh, polymeric, composite"
,,PHYSIOMESH Flexible Composite Mesh,Johnson & Johnson Medical Pty Ltd,Johnson & Johnson International,182785,"Mesh, polymeric, composite"
28708,23/10/2012,Genesis Uni LM/RL All-Polly Onlay Tibial Component,Smith & Nephew Pty Ltd,Smith & Nephew Inc Orthopaedic Division,114463,"Prosthesis, internal, joint, knee, tibial component"
,,Oxinium Uni Femoral Component,-,Smith & Nephew Inc Orthopaedic Division,,-
29225,8/11/2012,Vanguard polished finned 1 piece tibial tray 71MM,Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
,,SSK bearing,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Tibial stem extension,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard SSK femoral components,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
29274,15/11/2012,Trident All-Poly Constrained Liner,Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,128021,Acetabulum prosthesis
28979,20/11/2012,PHYSIOMESH COMPOSITE MESH 10X15CM OVAL,Johnson & Johnson Medical Pty Ltd,Johnson & Johnson International,182785,"Mesh, polymeric, composite"
27853,27/11/2012,PROLENE 3/0 2XSH 120CM,Johnson & Johnson Medical Pty Ltd,Ethicon Inc T/a Gynecare Johnson & Johnson Wound Mgt ETHICON Wmns Hth & Urology,136690,"Suture, polypropylene monofilament"
28395,28/11/2012,PhysioMesh,Johnson & Johnson Medical Pty Ltd,Johnson & Johnson International,182785,"Mesh, polymeric, composite"
29887,29/11/2012,6.0 Vicryl Suture,Johnson & Johnson Medical Pty Ltd,Ethicon Inc T/a Gynecare Johnson & Johnson Wound Mgt ETHICON Wmns Hth & Urology,141405,"Suture, polyglactin"
