Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27292,9/07/2012,AlphaXcell,Huntleigh Healthcare Pty Ltd,Huntleigh Technology Pty Ltd,93038,"Pressure alleviation pad, air, alternating contact, system"
27359,12/07/2012,PressureWire Certus,St Jude Medical Australia Pty Ltd,St Jude Medical Systems AB,156251,"Transducer, pressure, catheter tip"
27373,13/07/2012,AlphaXcell,Huntleigh Healthcare Pty Ltd,Huntleigh Technology Pty Ltd,93038,"Pressure alleviation pad, air, alternating contact, system"
26484,16/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27383,17/07/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27156,27/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27605,30/07/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
26696,1/08/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27035,8/08/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
27814,8/08/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
29047,17/08/2012,Autoexcel,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,206081,Alternating-pressure bed mattress overlay system
28165,24/08/2012,S8 AutoSet Spirit,Resmed Limited,Resmed Limited,119243,"Positive airway pressure unit, continuous auto"
28316,3/09/2012,COVIDIEN PREMIUM SURGICLIP,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,149288,"Applier, surgical, clip, haemostatic, single use"
28422,7/09/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
28134,14/09/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
28730,26/09/2012,BD Vacutainer Plasma Preparation Tube K2E 9.0mg,Becton Dickinson Pty Ltd,Becton Dickinson Vacutainer Systems,122153,"Adaptor, blood collecting tube, single use"
28413,26/09/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27978,26/09/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
29228,27/09/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
27409,3/10/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
28436,9/10/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
28251,11/10/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
27977,16/10/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
29036,26/10/2012,early pregnancy test,E Smart Global,Nantong Egens Biotechnology Co Ltd,196220,"Urine test strip, multiple constituent"
26449,26/10/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
,,Neurological lead,-,Boston Scientific Neuromodulation Corporation,,-
29055,29/10/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
29210,7/11/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
28473,9/11/2012,ICP Microsensor Basic Kit,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Codman & Shurtleff Inc (Massachusetts),149557,"Pressure monitor, intracranial"
,,MicroSensor Basic Kit,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Codman & Shurtleff Inc (Massachusetts),149557,"Pressure monitor, intracranial"
29234,10/11/2012,Sullivan V,Resmed Limited,Resmed Limited,117912,"Positive airway pressure unit, continuous"
28773,12/11/2012,PR RemStar,Philips Electronics Australia Ltd,Respironics Inc,133792,"Positive airway pressure unit, continuous auto"
29341,19/11/2012,Instalert HCG One Step Pregnancy Test Device (URINE),Integrated Sciences Pty Ltd,Acon Biotech (Hangzhou) Co Ltd,116153,"Total human chorionic gonadotropin (HCG) IVD, kit, immunochromatographic test (ICT), rapid"
28360,22/11/2012,ICP Microsensor Basic Kit,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Codman & Shurtleff Inc (Massachusetts),149557,"Pressure monitor, intracranial"
28367,22/11/2012,ICP Microsensor Basic Kit,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Codman & Shurtleff Inc (Massachusetts),149557,"Pressure monitor, intracranial"
28406,22/11/2012,ICP Microsensor Basic Kit,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Codman & Shurtleff Inc (Massachusetts),149557,"Pressure monitor, intracranial"
28105,26/11/2012,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
29102,27/11/2012,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
29481,3/12/2012,BD Vacutainer Plasma Preparation Tube K2E 9.0mg,Becton Dickinson Pty Ltd,Becton Dickinson Vacutainer Systems,122153,"Adaptor, blood collecting tube, single use"
28836,5/12/2012,Pentaflex,Huntleigh Healthcare Pty Ltd,Huntleigh Healthcare Pty Ltd,109868,"Pressure alleviation pad, (specify)"
29064,7/01/2013,Intersurgical,Mayo Healthcare Pty Ltd,Intersurgical Ltd,154119,"Valve, positive end-expiratory pressure"
29845,14/01/2013,"SP Homecare - Pressure relief seat, air chair",Cobalt Health Pty Ltd,SP Industrial,179168,"Chair, (specify)"
29928,24/01/2013,Laerdal Self Inflating Resucitator (Pre Term Size),Laerdal Pty Ltd,Laerdal Medical AS,108736,"Resuscitator, pulmonary, manual, reusable"
29430,29/01/2013,Precision,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
,,Precision SC-2218-70 Lead,-,Boston Scientific Neuromodulation Corporation,,-
29994,1/02/2013,Premicath Umbilical Catheter,Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,141227,"Catheter, intravascular, general-purpose"
29171,6/02/2013,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
29836,11/02/2013,PRECISION lead,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128679,"Electrode/lead, stimulator, implantable, neurological"
24959,7/03/2013,ICP Microsensor Basic Kit,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Codman & Shurtleff Inc (Massachusetts),149557,"Pressure monitor, intracranial"
30548,7/03/2013,Imagine Pregnancy Test,Point Of Care Diagnostics Australia Pty Ltd,Unimed International,92258,"Reagents, Pregnancy Testing"
26058,20/03/2013,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
30044,25/03/2013,PressureWire Certus,St Jude Medical Australia Pty Ltd,St Jude Medical Systems AB,203045,"Transducer, pressure, catheter tip"
30092,26/03/2013,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
30572,5/04/2013,Lotus,Air Liquide Healthcare Pty Ltd,Inovo Inc,175348,"Regulator, gas, high-pressure"
29714,9/04/2013,Preface Sheath,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,143575,Catheter introducing sheath
30434,10/04/2013,S8 AUTOSET SPIRIT,Resmed Limited,Resmed Limited,119243,"Positive airway pressure unit, continuous auto"
30375,11/04/2013,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,129091,"Stimulator, electrical, analgesic, spinal cord"
30240,16/04/2013,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
,,PRECISION Linear 8 Contact Leads (model SC-2138-xx),Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,Neural-tissue electrical stimulation lead
,,"W4 Splitter 2x4 - Electrode/lead, stimulator, implantable, neurological",Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,167102,Neural-tissue electrical stimulation lead
30438,16/04/2013,PRECISION,Boston Scientific Pty Ltd,Boston Scientific Neuromodulation Corporation,128775,"Electrode/lead, stimulator, implantable, neurological"
