Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27347,12/07/2012,Technipro PulmoMed,Mediplast Australia Pty Ltd,Pari Pharma GmbH,148661,"Nebulizer, non-heated"
26462,18/07/2012,Pulsar 18,Biotronik Australia Pty Ltd,Biotronik AG,169368,"Prosthesis, internal, stent, vascular"
,,Pulsar 18,Biotronik Australia Pty Ltd,Biotronik AG,169368,"Prosthesis, internal, stent, vascular"
27736,5/08/2012,Pulmonary Artery Catheter,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,160615,"Catheter, cardiac, balloon, pulmonary artery"
29289,14/11/2012,Enpath,Boston Scientific Pty Ltd,Greatbatch Medical,161123,"Lead, pacemaker, implantable, epicardial"
,,Altrua 50 Implantable Cardiac Pulse Generator,annes test Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,158063,"Pacemaker, cardiac, implantable"
29067,9/01/2013,Catheter Introducing Sheath,Teleflex Medical Australia Pty Ltd,Arrow International Inc,159330,Catheter introducing sheath
,,Swan-Ganz PA Catheter,Edwards Lifesciences Pty Ltd,Edwards Lifesciences LLC,160613,"Catheter, cardiac, balloon, pulmonary artery"
29766,18/01/2013,Quattrode DBS Lead,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,160826,"Electrode/lead, stimulator, implantable, neurological"
,,Burr Hole Cover System,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,163234,"Cover, bur hole"
,,DBS Lead Extension Kit,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,160827,Neural-tissue electrical stimulation lead
,,Libra XP Pulse Generator Dual 4 Channel,St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,161009,"Brain electrical stimulation system, antitremor"
29928,24/01/2013,Laerdal Self Inflating Resucitator (Pre Term Size),Laerdal Pty Ltd,Laerdal Medical AS,108736,"Resuscitator, pulmonary, manual, reusable"
30326,15/05/2013,External Pulse Generator (EPG),Medtronic Australasia Pty Ltd,Medtronic Inc,128599,"Pacemaker, cardiac, external, invasive"
30930,20/05/2013,FLEXTEND lead,Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,129949,"Lead, defibrillator/pacemaker, implantable"
,,"Altrua 60 Implantable Cardiac Pulse Generator - Model S603 - Pacemaker, cardiac, implantable",Boston Scientific Pty Ltd,Cardiac Pacemakers Inc,158090,"Pacemaker, cardiac, implantable"
31084,30/05/2013,Neopuff Infant Resuscitator,Fisher & Paykel Healthcare Pty Ltd,Fisher & Paykel Healthcare Ltd,106849,"Resuscitator, pulmonary, gas-powered"
29767,6/06/2013,Libra Pulse Generator 8 Channel,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,161009,"Brain electrical stimulation system, antitremor"
29795,6/06/2013,Libra Pulse Generator 8 Channel,Abbott Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,161008,"Brain electrical stimulation system, antitremor"
,,"DBS single Lead Extension Kit - Electrode/lead, stimulator, implantable, neurological",St Jude Medical Australia Pty Ltd,Advanced Neuromodulation Systems Inc,160827,Neural-tissue electrical stimulation lead
