Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27233,3/07/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
27283,6/07/2012,Baxter Colleague Infusion Pumps,Baxter Healthcare Pty Ltd,Baxter Healthcare Corporation USA,128345,"Infusion pump, general-purpose"
27288,6/07/2012,Vented Paxlitaxel Set with Clearlink,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,171454,"Infusion administration set, infusion pump"
27289,9/07/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,192116,"Infusion administration set, infusion pump"
27390,17/07/2012,Agilia Intravenous Administration Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
27413,19/07/2012,Entral Feeding Pump,Abbott Australasia Pty Ltd,Abbott Ireland Ltd,133466,"Infusion pump, enteral feeding"
27441,20/07/2012,Deltec Cozmo Insulin Pump,Medical Specialties Australia Pty Ltd,Smiths Medical ASD Incorporated,98469,"Infusion pump, insulin, ambulatory"
27520,26/07/2012,ALARIS GP VOLUMETRIC PUMP GUARDRAILS,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
25445,31/07/2012,Gemstar Docking Station,Hospira Pty Limited,Hospira Inc,138118,"Fluid delivery mount accessory, holder, infusion pump, multi-outlet"
27816,6/08/2012,Agilia Intravenous Administration Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
27866,9/08/2012,Penumbra System Aspiration Pump Canister,Penumbra Neuro Australia Pty Ltd,Penumbra Inc,179310,Suction system tubing
,,Suction unit,Penumbra Neuro Australia Pty Ltd,Allied Healthcare Products Inc,152106,"Suction unit, electric powered"
27970,16/08/2012,Alaris System (Medley) Infusion Pump,CareFusion Australia 316 Pty Ltd,CareFusion 303 Inc,146664,"Infusion pump, general-purpose"
28033,20/08/2012,Enteral Pump,Abbott Australasia Pty Ltd,Abbott Ireland Ltd,133466,"Infusion pump, enteral feeding"
28238,29/08/2012,Wave Pump III - Fluid Pump,Device Technologies Australia Pty Ltd,Arthrex Inc,140707,"Distension unit, fluid, arthroscopic"
28264,30/08/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
26999,30/08/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
28407,6/09/2012,Agilia Volumat ST10,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
28448,7/09/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
,,Spiros to Spiros line,-,ICU Medical Inc,,-
28437,10/09/2012,Caesarea Medical Electronics - CME T34L Syringe Pump,REM Systems Pty Ltd,Caesarea Medical Electronics Limited,119623,"Infusion pump, general-purpose"
28509,11/09/2012,PCAM Syringe Pump,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,177503,"Infusion pump, analgesic, patient-controlled"
,,50ml Omnifix syringe,-,B Braun,,-
28524,13/09/2012,Niki T34L Medical Syringe Driver,REM Systems Pty Ltd,Caesarea Medical Electronics Limited,119623,"Infusion pump, general-purpose"
28553,14/09/2012,Volumat Agilla Transfusion Set,Fresenius Kabi Australia Pty Limited,Fresenius Kabi AG,140735,"Infusion administration set, infusion pump"
28647,18/09/2012,Gemini CKVLV W/2 SS VLV Ports,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,125916,"Infusion administration set, infusion pump"
28677,18/09/2012,Primary IV Plumset,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,139226,"Infusion administration set, infusion pump"
