Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27254,4/07/2012,Ventilator System,Covidien Pty Ltd,Tyco Healthcare Group LP Puritan Bennett Division,138256,"Ventilator, adult"
27283,6/07/2012,Baxter Colleague Infusion Pumps,Baxter Healthcare Pty Ltd,Baxter Healthcare Corporation USA,128345,"Infusion pump, general-purpose"
26853,13/07/2012,Luxtec,Integra Neurosciences Pty Ltd,Integra Burlington MA Inc,186057,"Light source, general-purpose"
27520,26/07/2012,ALARIS GP VOLUMETRIC PUMP GUARDRAILS,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
27569,30/07/2012,Hospital Choice,Compton Fellers Pty Ltd T/A Medichoice,Zhejiang Shuyou Surgical Instrument Co Ltd,182233,"Electrosurgical system electrode, active, general-purpose, single-use"
27745,6/08/2012,Lomb Scalpel Blade,Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151830,"Surgical procedure kit, general-purpose, single-use, non-medicated"
,,"Surgical procedure kit, ENT, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151834,"Surgical procedure kit, ENT, single-use, non-medicated"
,,"Surgical procedure kit, obstetrical/gynaecological, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151833,"Surgical procedure kit, obstetrical/gynaecological, single-use, non-medicated"
,,"Surgical procedure kit, orthopaedic, single-use, non-medicated",Medical Concepts Australia Pty Ltd,Medical Concepts Australia Pty Ltd,151832,"Surgical procedure kit, orthopaedic, single-use, non-medicated"
27852,8/08/2012,ICU Quibfuse Spiros Set,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
27906,13/08/2012,"Non-DEHP Add-On Set w/CLAVE, In-line Burette",Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
27881,14/08/2012,Satin soft uncuffed ET tube - size 3.5and 4,Covidien Pty Ltd,Mallinckrodt Medical Imaging Ireland,121578,"Tube, tracheal, general-purpose, single-use"
27970,16/08/2012,Alaris System (Medley) Infusion Pump,CareFusion Australia 316 Pty Ltd,CareFusion 303 Inc,146664,"Infusion pump, general-purpose"
28148,24/08/2012,Catheter Pack,Multigate Medical Products Pty Ltd,Cobes Industries Hefei Co Ltd,137118,"Surgical procedure kit, general-purpose, single-use, non-medicated"
28212,28/08/2012,Ultimate Medical,Ultimate Medical Pty Ltd,Tianjin Medis International Trade Co Ltd,181860,"Tube, tracheal, general-purpose, single-use"
28397,6/09/2012,"Set Dual, Transfusion/ Infusion",Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,126325,"Intravenous administration set, general-purpose"
28437,10/09/2012,Caesarea Medical Electronics - CME T34L Syringe Pump,REM Systems Pty Ltd,Caesarea Medical Electronics Limited,119623,"Infusion pump, general-purpose"
28524,13/09/2012,Niki T34L Medical Syringe Driver,REM Systems Pty Ltd,Caesarea Medical Electronics Limited,119623,"Infusion pump, general-purpose"
28646,21/09/2012,P6000 TIVA/TCI syringe pump with Diprifusor,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
28110,25/09/2012,Enseal Tissue Sealer,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,165469,"Electrosurgical system, general-purpose"
27941,26/09/2012,Enseal Tissue Sealer,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,165469,"Electrosurgical system, general-purpose"
28742,27/09/2012,"Infusion Administration Set, Vented Paclitaxol Set",Baxter Healthcare Pty Ltd,Baxter SA (Lessines),151749,"Intravenous administration set, general-purpose"
28060,3/10/2012,Bausch + Lomb Purevision 2HDA,Bausch & Lomb Australia Pty Ltd,Bausch & Lomb Inc,95899,"Contact lens, vision corrective, reusable"
27807,9/10/2012,Alaris System PCU with LVP and PCA pumps,CareFusion Australia 316 Pty Ltd,CareFusion 303 Inc,146664,"Infusion pump, general-purpose"
,,Infusion pump,CareFusion Australia 316 Pty Ltd,CareFusion 303 Inc,175352,"Infusion pump, analgesic, patient-controlled"
28964,15/10/2012,Medrad Intego PET Infusion System,Imaxeon Pty Ltd,Medrad Inc,150049,"Infusion pump, general-purpose"
28966,15/10/2012,Medrad Intego PET Infusion System,Imaxeon Pty Ltd,Medrad Inc,150049,"Infusion pump, general-purpose"
29160,1/11/2012,Alaris GP (Plus) Guardrails Pump,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
29140,5/11/2012,PACK CATHETER PROCEDURE XRAY DETECTABLE SWABS STERILE,Multigate Medical Products Pty Ltd,Multigate Medical Products Pty Ltd,168756,"Surgical procedure kit, general-purpose, single-use, non-medicated"
29204,8/11/2012,PACK CATHETER PROCEDURE XRAY DETECTABLE SWABS STERILE,Multigate Medical Products Pty Ltd,Multigate Medical Products Pty Ltd,168756,"Surgical procedure kit, general-purpose, single-use, non-medicated"
29292,9/11/2012,Plum A+,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
28093,14/12/2012,Alaris GP Plus pump with Guardrails software,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
28164,18/12/2012,ALARIS GP PLUS pump,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
27804,20/12/2012,Alaris GP Plus pump with Guardrails software,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
28939,4/01/2013,Alaris GP Plus Pump with Guardrails Software,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
29412,4/01/2013,Alaris System Infusion Pump,CareFusion Australia 316 Pty Ltd,CareFusion 303 Inc,146664,"Infusion pump, general-purpose"
29892,21/01/2013,VersaCare VC 755 bed,Hill-Rom Pty Ltd,Merits Healthcare Industries (Suzhou) Co Ltd,199714,"Bed, general-purpose, electrical"
29934,29/01/2013,Basic Custom Procedure Pack Sterile,Multigate Medical Products Pty Ltd,Multigate Medical Products Pty Ltd,160438,"Surgical procedure kit, general-purpose, single-use, non-medicated"
,,"Surgical procedure kit, general-purpose, single-use, non-medicated",Multigate Medical Products Pty Ltd,Multigate Medical Products Pty Ltd,160438,"Surgical procedure kit, general-purpose, single-use, non-medicated"
,,"Surgical procedure kit, obstetrical/gynaecological, single-use, non-medicated",Multigate Medical Products Pty Ltd,Multigate Medical Products Pty Ltd,163169,"Surgical procedure kit, obstetrical/gynaecological, single-use, non-medicated"
29994,1/02/2013,Premicath Umbilical Catheter,Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,141227,"Catheter, intravascular, general-purpose"
29997,5/02/2013,Alaris GP + Infusion Pump,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
29731,28/02/2013,Edge Insulated Blade,Medtronic Australasia Pty Ltd,Covidien llc,178569,"Electrosurgical system electrode, active, general-purpose, single-use"
28329,4/03/2013,Luxtec,Integra Neurosciences Pty Ltd,Integra Luxtec Inc,158720,"Light source, general-purpose"
,,Breast retractor,-,Snowden Pencer Inc (Georgia),94487,-
,,Fiber optic light cable,-,Snowden Pencer Inc (Georgia),129355,-
30275,12/03/2013,LDPE Disposable plastic white apron,Livingstone International Pty Ltd,Livingstone International Pty Ltd,171593,"Apron, general-purpose, single-use"
29757,20/03/2013,ICU Medical Gravity Set,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
29415,21/03/2013,Nutriline TwinFlo,Device Technologies Australia Pty Ltd,Vygon GmbH & Co KG,141227,"Catheter, intravascular, general-purpose"
25157,28/03/2013,DYONICS RF-S WHIRLWIND 90° Probe,Arthrocare Australasia Pty Ltd,Arthrocare Corporation,147259,"Electrosurgical system electrode, active, general-purpose"
30318,8/04/2013,ICU Medica Microclave Connector,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
30328,8/04/2013,ICU Medica Microclave Connector,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
29801,15/04/2013,ICU Medical Spiros Intravenous infusion set,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
29799,15/04/2013,Spiros to Spiros IV Admin Line,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
29800,15/04/2013,Spiros to Spiros IV Admin Line,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
30363,18/04/2013,Plum A + Pump V11.6,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
30739,26/04/2013,Gemstar - Yellow,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
26343,29/04/2013,Ioban 2 Incise Drape 60cm x 60 cm,3M Australia Pty Ltd,3M Health Care Group,160199,"Drape, surgical, general-purpose, single use"
26778,7/05/2013,Ambient,Arthrocare Australasia Pty Ltd,Arthrocare Corporation,147259,"Electrosurgical system electrode, active, general-purpose"
26863,9/05/2013,Ambient electrode,Arthrocare Australasia Pty Ltd,Arthrocare Corporation,147259,"Electrosurgical system electrode, active, general-purpose"
26907,20/05/2013,Colleague Triple Channel CXE pump,Baxter Healthcare Pty Ltd,Baxter Healthcare SA,177494,"Infusion pump, general-purpose"
31003,27/05/2013,Contoura 380 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
30996,27/05/2013,Contoura 480 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
30220,28/05/2013,ICU Medical Trifuse Extension Set,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
31044,29/05/2013,NxStage System One and NxStage PureFlow SL dialysate,Regional Health Care Group Pty Ltd,NxStage Medical Inc,175187,"Dialysate, haemodialysis"
30076,30/05/2013,Alaris GP Infusion Pump,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
30466,3/06/2013,Force FX Generator,Medtronic Australasia Pty Ltd,Covidien llc,178604,"Electrosurgical system generator, general-purpose"
31107,4/06/2013,Enterprise 5000 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31148,10/06/2013,Enterprise 5000 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31227,18/06/2013,DRX-Evolution with Full Featured WS,Carestream Health Australia Pty Ltd,Carestream Health Inc,136112,"X-ray system, diagnostic, general-purpose, stationary, digital"
31172,25/06/2013,Contoura 380 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
30730,1/07/2013,"Gelpoint System, 100mm",Applied Medical Australia Pty Ltd,Applied Medical Resources,116753,"Surgical procedure kit, general-purpose, single-use, non-medicated"
30614,3/07/2013,Bausch + Lomb Purevision 2 contact lens,Bausch & Lomb Australia Pty Ltd,Bausch & Lomb Inc,95902,"Contact lens, vision corrective, reusable"
31392,5/07/2013,Volumat Line Transfusion set,Fresenius Kabi Australia Pty Ltd,Fresenius Kabi AG,209356,"Intravenous administration set, general-purpose"
31396,8/07/2013,Minor Basic Pack,Multigate Medical Products Pty Ltd,Multigate Medical Products Pty Ltd,168756,"Surgical procedure kit, general-purpose, single-use, non-medicated"
31410,9/07/2013,"NIPRO SUREFUSER+, Elastomeric Infusion Device - 250ml",Nipro Australia Pty Ltd,Nipro Corporation,92233,"Infusion pump, general-purpose"
30948,15/07/2013,Gravity Blood Administration Set,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
31530,22/07/2013,Contoura 380 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31532,22/07/2013,Contoura 380 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31169,25/07/2013,Contoura 380 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31344,25/07/2013,Contoura 380 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31345,25/07/2013,Contoura 380 bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31346,25/07/2013,Contoura 380 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31002,25/07/2013,Contoura 480,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
30998,25/07/2013,Contoura 480 bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31001,25/07/2013,Contoura 480 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31170,25/07/2013,Contoura 480 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31167,25/07/2013,Contoura 480 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31612,30/07/2013,Contoura Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31613,30/07/2013,Contoura Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31614,30/07/2013,Yankauer Sucker,Medline International Two Australia Pty Ltd,Medline International Two Australia Pty Ltd,137395,"Surgical procedure kit, general-purpose, single-use, non-medicated"
29494,1/08/2013,Medline - Minor General Pack,Medline International Two Australia Pty Ltd,Medline International Two Australia Pty Ltd,137395,"Surgical procedure kit, general-purpose, single-use, non-medicated"
28631,1/08/2013,Poly U-Drape,Medline International Two Australia Pty Ltd,Medline International France SAS,178248,"Drape, surgical, general-purpose, single use"
31675,7/08/2013,Avalon Double Lumen ECMO catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,205032,"Catheter, intravascular, general-purpose"
31687,8/08/2013,Contoura 480 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31688,8/08/2013,Contoura 480 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31343,12/08/2013,Contoura 380 Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31004,13/08/2013,Olympus ESG-400,Olympus Australia Pty Ltd,Olympus Winter & Ibe GmbH,187642,"Electrosurgical system generator, general-purpose"
29389,15/08/2013,COLB840 VENTILATOR BDU & GUI,Covidien Pty Ltd,Tyco Healthcare Group LP Puritan Bennett Division,138256,"Ventilator, adult"
29388,15/08/2013,PB 840 Ventilators,Covidien Pty Ltd,Tyco Healthcare Group LP Puritan Bennett Division,138256,"Ventilator, adult"
31246,19/08/2013,Positive Displacement Connector - CLC 2000,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
26166,20/08/2013,Enseal OPEN SHEARS,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,165469,"Electrosurgical system, general-purpose"
,,"Ultracision Harmonic Generator 300 - Electrosurgical unit, mechanical vibration",Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,125258,"Electrosurgical unit, ultrasonic/mechanical vibration"
30982,21/08/2013,Quadfuse Add-on set,Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
,,"Bag Spike Adapter CH-12, Intravenous administration set, general-purpose",Hospira Pty Limited,ICU Medical Inc,139294,"Intravenous administration set, general-purpose"
31813,22/08/2013,"CareFusion, Alaris GP volumetric pump",CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
,,"Infusion administration set, controller",CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,125460,"Infusion administration set, controller"
31528,3/09/2013,Ysio X-ray system,Siemens Healthcare Pty Ltd,Siemens AG,102184,"X-ray system, diagnostic, general-purpose, stationary, digital"
26403,9/09/2013,ENSEAL vascular closure device,Johnson & Johnson Medical Pty Ltd,Ethicon Endo Surgery LLC,165469,"Electrosurgical system, general-purpose"
31801,10/09/2013,Philips X7-2t Transducer (MTEE) Compact,Philips Electronics Australia Ltd,Philips Healthcare,93851,"Ultrasound system, imaging, general-purpose"
,,Philips iE33 Ultrasound System,Philips Electronics Australia Ltd,Philips Ultrasound Inc,93851,"Ultrasound system, imaging, general-purpose"
29029,12/09/2013,PB 840 Ventilators,Covidien Pty Ltd,Tyco Healthcare Group LP Puritan Bennett Division,138256,"Ventilator, adult"
30973,13/09/2013,Alaris GP Guardrails Pump (with Plus s/w),CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
28995,18/09/2013,Fusion OMNI-Tome Pre-loaded Sphincterotome,William A Cook Australia Pty Ltd,Wilson-Cook Medical Inc,142988,"Electrosurgical system electrode, active, general-purpose, single-use"
27886,19/09/2013,"Tube, tracheostomy",Covidien Pty Ltd,Tyco Healthcare Group LP Nellcor Puritan Bennett Division,100137,"Tube, tracheostomy, single use"
32078,23/09/2013,Enterprise 5000 bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
32110,26/09/2013,Enterprise 5000 bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
27884,2/10/2013,EGIA Tristaple Purple 60,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,175195,"Fixation device, internal, staple, tissue"
,,ECS29A (Ethicon),-,unknown,,-
,,"EGIA Ultra Standard, Applier, surgical staple, cutting",Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,145095,"Applier, surgical staple, cutting"
32223,9/10/2013,Contoura Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
31136,17/10/2013,Alaris GP Guardrails Infusion Pump (with Plus s/w),CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
32331,21/10/2013,Imed Gemini PC-2,CareFusion Australia 316 Pty Ltd,CareFusion 303 Inc,146664,"Infusion pump, general-purpose"
28149,22/10/2013,Endo retractor,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,124189,"Retractor, general-purpose, self-retaining"
28137,22/10/2013,Endo retractor,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,124189,"Retractor, general-purpose, self-retaining"
28145,22/10/2013,Endo retractor,Covidien Pty Ltd,United States Surgical (USS) A division of Tyco Healthcare Group LP,124189,"Retractor, general-purpose, self-retaining"
31627,26/10/2013,Plum A + Pump V11.6,BMDi TUTA Healthcare Pty Ltd,Hospira Inc,138109,"Infusion pump, general-purpose"
32454,1/11/2013,Sorrento Tilt Mental Health Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
30394,4/11/2013,TaperGuard ETT Size 7.5mm,Medtronic Australasia Pty Ltd,Covidien llc,179891,"Tube, tracheal, general-purpose, single-use"
31171,19/11/2013,Alaris System Infusion Pump,CareFusion Australia 316 Pty Ltd,CareFusion 303 Inc,146664,"Infusion pump, general-purpose"
31513,19/11/2013,Alaris System OCU and LVP Pump module with Guardrails software,CareFusion Australia 316 Pty Ltd,CareFusion 303 Inc,146664,"Infusion pump, general-purpose"
32380,25/11/2013,Enterprise,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
32723,28/11/2013,Fairmont Medical irrigation set,Fairmont Medical Products Pty Ltd,Fairmont Medical Products Pty Ltd,131855,"Irrigation/aspiration unit, surgery, general-purpose"
32787,5/12/2013,Contoura Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh,205117,"Bed, general-purpose, electrical"
32503,10/12/2013,Philips DigitalDiagnost X-ray system,Philips Electronics Australia Ltd,Philips Medical Systems,117662,"X-ray system, diagnostic, general-purpose, stationary, digital"
32090,11/12/2013,Avalon Elite Bi-Caval Dual Lumen Catheter,Getinge Australia Pty Ltd,Maquet Cardiopulmonary AG,205032,"Catheter, intravascular, general-purpose"
28657,17/12/2013,ENDO RETRACT* II 10MM INSTRUMENT,Medtronic Australasia Pty Ltd,Covidien llc,178547,"Retractor, general-purpose, self-retaining"
32683,20/12/2013,Sorrento Bed,Huntleigh Healthcare Pty Ltd,ArjoHuntleigh AB,205117,"Bed, general-purpose, electrical"
32960,23/12/2013,abd sponge 30x30,Multigate Medical Products Pty Ltd,Multigate Medical Products Pty Ltd,168756,"Surgical procedure kit, general-purpose, single-use, non-medicated"
