Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
31573,10/09/2013,Pyrocardan - TMC resurfacing implant,Wright Medical Australia Pty Ltd,Tornier SAS,94262,"Prosthesis, internal, joint, wrist, carpal component"
38155,31/07/2015,sinus-SuperFlex-635,Pyramed Pty Ltd,Optimed Medizinische Instrumente,178915,Multiple peripheral arteries stent
40992,28/07/2016,Occlutech PDA Occluder,Getz Healthcare Pty Ltd,Occlutech GmbH,219253,Cardiac occluder
,,Occlutech Delivery Set - Cardiac occluder delivery kit,Pyramed Pty Ltd,Occlutech GmbH,203602,Cardiac occluder delivery kit
41789,29/07/2016,"PYRENEES Cervical Plate System - Orthopaedic prosthesis implantation instrument, reusable",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,K2M Inc,227348,"Orthopaedic prosthesis implantation instrument, re"
35756,2/08/2016,Pyrosphere CMC,LMT Surgical Pty Ltd,Ascension Orthopaedics Inc,94980,"Prosthesis, internal, joint, digit"
38178,20/09/2016,Male Pyramid,Ossur Australia Pty Ltd,Ossur HF,141148,"Prosthesis, external, leg, ankle/foot, component,"
42853,30/09/2016,sinus-XL Stent - Bare-metal aortic stent,Pyramed Pty Ltd,Optimed Medizinische Instrumente GmbH,187326,Bare-metal aortic stent
,,sinus-XL Stent - Bare-metal aortic stent,Pyramed Pty Ltd,Optimed Medizinische Instrumente,187326,"Prosthesis, internal, stent, vascular"
43421,31/10/2016,Diasafe Plus - Dialyser filter,Fresenius Medical Care Australia Pty Ltd,Fresenius Medical Care AG & Co KGaA,218666,Haemodialysis system dialysate pyrogen filter
45456,13/04/2017,PYRENEES Cervical Plate System,Emergo Asia Pacific Pty Ltd T/a Emergo Australia,K2M Inc,154444,"Spinal fixation plate, non-biodegradable"
,,"Spinal fixation plate, non-biodegradable",Emergo Asia Pacific Pty Ltd T/a Emergo Australia,K2M Inc,154444,"Spinal fixation plate, non-biodegradable"
48000,20/09/2017,Taewoong Niti-S SPAXUS Stent - Hybrid/coated pancreatic stent,Pyramed Pty Ltd,Taewoong Medical Co Ltd,226438,Hybrid/coated pancreatic stent
48027,14/12/2017,BeGraft Aortic Stent Graft System - Multiple peripheral arteries stent,Pyramed Pty Ltd,Bentley InnoMed GmbH,286040,Multiple peripheral arteries stent
,,BeGraft Peripheral Stent Graft System - Multiple peripheral arteries stent,Pyramed Pty Ltd,Bentley InnoMed GmbH,280061,Multiple peripheral arteries stent
49115,7/03/2018,Balt Cristal Balloon dilatation catheter,Pyramed Pty Ltd,Balt Extrusion,164958,"Catheter, valvuloplasty, balloon dilatation"
50699,27/04/2018,"Balt Cristal Balloon - Catheter, valvuloplasty, balloon dilatation",Pyramed Pty Ltd,Balt Extrusion,164958,"Catheter, valvuloplasty, balloon dilatation"
52416,3/08/2018,"Pyrenees Cervical Plate System - Spinal internal fixation system, intervertebral body",Stryker Australia Pty Ltd,K2M Inc,290395,"Spinal internal fixation system, intervertebral body"
,,EIT Cervical,-,EIT,N/A,-
,,"Spinal internal fixation system, intervertebral body",Stryker Australia Pty Ltd,K2M Inc,290395,"Spinal internal fixation system, intervertebral body"
53384,29/11/2018,Aortic Stent Graft Sys 38X16 X 120CM - Multiple peripheral arteries stent,Pyramed Pty Ltd,Bentley InnoMed GmbH,286040,Multiple peripheral arteries stent
,,Coda Balloon Catheter,-,Unknown,,-
,,"Cristal Balloon - Catheter, valvuloplasty, balloon dilatation",Pyramed Pty Ltd,Balt Extrusion,164958,"Catheter, valvuloplasty, balloon dilatation"
,,Medtronic tube graft 25x70,-,Unknown,,-
49781,6/03/2019,PyroMark Gold Q24 Reagents - Acquired genetic alteration IVDs,Qiagen Pty Ltd,Qiagen GmbH,226453,Acquired genetic alteration IVDs
58573,1/11/2019,Ascension® PyroTITAN Humeral Resurfacing Arthroplasty System PyroTITAN® Implant,LMT Surgical Pty Ltd,Ascension Orthopaedics Inc,273189,Metaphyseal anchor-fixed humeral head prosthesis
