Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
29797,8/03/2013,Hi-Torque Connect Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Lake Region Medical Ltd,191394,Peripheral vascular guidewire
,,FoxCross,Abbott Vascular Division of Abbott Australasia Pty Ltd,Abbott Laboratories Vascular Enterprises Limited Dublin Beringen Branch,151854,"Catheter, angioplasty, balloon dilatation"
31044,29/05/2013,NxStage System One and NxStage PureFlow SL dialysate,Regional Health Care Group Pty Ltd,NxStage Medical Inc,175187,"Dialysate, haemodialysis"
31466,11/07/2013,NxStage System One,Regional Health Care Group Pty Ltd,NxStage Medical Inc,173711,Haemodialysis unit
31819,18/10/2013,Hi-Torque Connect Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Lake Region Medical Ltd,191394,Peripheral vascular guidewire
31880,20/12/2013,Hi-Torque Connect Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Lake Region Medical Ltd,191394,Peripheral vascular guidewire
32861,7/02/2014,Hi-Torque Connect Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Lake Region Medical Ltd,191394,Peripheral vascular guidewire
33739,26/03/2014,V-14™ ControlWire®,Boston Scientific Pty Ltd,Lake Region Medical Ltd,200779,Catheter guide wire
34611,6/08/2014,Gambro Medical line GMB-AV14,Baxter Healthcare Pty Ltd,Gambro Medical Products Co Ltd,135627,"Tubing set, dialysis/haemodialysis"
,,"Dialyser, haemodialysis, high-permeability",Gambro Pty Ltd,Gambro Dialysatoren GmbH,165366,"Dialyser, haemodialysis, high-permeability"
,,Haemodialysis unit,Gambro Pty Ltd,Gambro Lundia AB Monitor Division,112135,Haemodialysis unit
,,Peritoneal/extracorporeal dialysis dressing procedure kit,House With No Steps Hunter Valley Region,House With No Steps Hunter Valley Region,167750,Peritoneal/extracorporeal dialysis dressing procedure kit
38764,7/12/2015,Tbg Pressure Inj 76cm within Procedure Pack,Medline International Two Australia Pty Ltd,Medline Assembly Australia Pty Ltd,137395,"Surgical procedure kit, general-purpose, single-us"
,,Angiographic kit,Regional Health Care Group Pty Ltd,Acist Medical Systems Inc,126156,Angiographic kit
,,"Computer, cardiac catheterization laboratory",Bracco Pty Ltd,Acist Medical Systems Inc,227808,"Computer, cardiac catheterization laboratory"
39464,4/02/2016,Victory™ 18 - Catheter guide wire,Boston Scientific Pty Ltd,Lake Region Medical Ltd,200779,Catheter guide wire
39726,21/03/2016,BT-2000 - Angiographic kit,Regional Health Care Group Pty Ltd,Acist Medical Systems Inc,126156,Angiographic kit
41159,11/05/2016,THRUWAY GUIDE WIRE - Catheter guide wire,Boston Scientific Pty Ltd,Lake Region Medical,133675,Catheter guide wire
40582,13/05/2016,Lotus™ Valve System - Aortic transcatheter heart v,Boston Scientific Pty Ltd,Sadra Medical Inc a subsidiary of Boston Scientifi,260448,"Aortic transcatheter heart valve bioprosthesis, st"
,,Safari Guidewire - Catheter guide wire,Boston Scientific Pty Ltd,Lake Region Medical,223256,Catheter guide wire
41287,23/05/2016,BT-2000 - Angiographic kit,Regional Health Care Group Pty Ltd,Acist Medical Systems Inc,126156,Angiographic kit
40583,24/05/2016,Safari - Catheter guide wire,Boston Scientific Pty Ltd,Lake Region Medical,223256,Catheter guide wire
,,"Lotus™ Valve System - Aortic transcatheter heart valve bioprosthesis, stent-like framework",Boston Scientific Pty Ltd,Sadra Medical Inc a subsidiary of Boston Scientifi,260448,"Aortic transcatheter heart valve bioprosthesis, stent-like framework"
41635,16/06/2016,ACIST CVi - Contrast injector coronary arteries,Regional Health Care Group Pty Ltd,Acist Medical Systems Inc,126151,"Contrast medium injector system, powered, single-phase"
41907,17/08/2016,Safari - Catheter guide wire,Boston Scientific Pty Ltd,Lake Region Medical,223256,"Catheter, Guidewire"
42270,26/08/2016,Hi-Torque Connect Guide Wire,Abbott Vascular Division of Abbott Medical Australia Pty Ltd,Lake Region Medical Ltd,191394,Peripheral vascular guidewire
