Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27532,26/07/2012,Portex,Smiths Medical Australasia Pty Ltd,Smiths Medical International Limited,156925,"Tracheostomy tube, clinical-use, reinforced, single-use"
31236,5/08/2013,"Smart Gown Un-reinforced (XL, X-Long)",Medline International Two Australia Pty Ltd,Medline International France SAS,178249,"Gown, operating room, single use"
31237,5/08/2013,"Smart Gown Un-reinforced (XL, X-Long)",Medline International Two Australia Pty Ltd,Medline International France SAS,178249,"Gown, operating room, single use"
31238,5/08/2013,"Smart Gown Un-reinforced (XL, X-Long)",Medline International Two Australia Pty Ltd,Medline International France SAS,178249,"Gown, operating room, single use"
31239,5/08/2013,"Smart Gown Un-reinforced (XL, X-Long)",Medline International Two Australia Pty Ltd,Medline International France SAS,178249,"Gown, operating room, single use"
31656,19/08/2013,OSS Tibial Poly Bearing 18mm,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS Axle , Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS poly femoral bushing , Prosthesis, internal, joint, knee, femoral component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"OSS poly lock pin , Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS poly tibial bushing , Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS reinforced Yoke II , Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
33385,14/02/2014,Endoscopic GORE SEAMGUARD® Bioabsorbable Staple Line Reinforcement,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,153351,"Mesh, polymeric, biodegradable"
31485,26/02/2014,Finn Tibial Base Plate 75mm,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Finn lock pin,-,n/k,,-
,,"Finn Tibial Bushing, Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"finned tibial bearing, Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"yoke standard reinforced, Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
34679,22/07/2014,Proxima Sirus Gown Non-reinforced XL,Medline International Two Australia Pty Ltd,Medline Industries Inc,120558,"Gown, operating room, single use"
34855,5/08/2014,OSS 9cm Diaphyseal Segment,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,Uncoated knee femur prosthesis
,,"OSS Axle, Vanguard Knee Posterior Stabilised Interlok closed box femoral component - Uncoated knee femur prosthesis",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"OSS Elliptical Femoral, Vanguard Knee Posterior Stabilised Interlok closed box femoral component - Uncoated knee femur prosthesis",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"OSS Femoral Bushing, Vanguard Knee Posterior Stabilised Interlok closed box femoral component - Uncoated knee femur prosthesis",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"OSS Reinforced Yoke, Vanguard Knee Posterior Stabilised Interlok closed box femoral component - Uncoated knee femur prosthesis",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"OSS tibial bearing, Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"OSS Tibial Bushing, Vanguard Knee Posterior Stabilised Interlok closed box femoral component - Uncoated knee femur prosthesis",Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
37273,4/05/2015,GORE® BIO-A® Tissue Reinforcement,W L Gore & Associates (Australia) Pty Ltd,W L Gore & Assoc Inc,175834,"Mesh, polymeric, biodegradable"
37169,27/08/2015,Peristrip Dry w/Veritas,Baxter Healthcare Pty Ltd,Synovis Surgical Innovations (A Div of Synovis Life Technologies Inc),219235,Staple line-reinforcement strip
37167,27/08/2015,Peristrips with Dry veritas 60mm,Baxter Healthcare Pty Ltd,Synovis Surgical Innovations (A Div of Synovis Life Technologies Inc),219235,Staple line-reinforcement strip
39631,17/12/2015,Back Table Cover 140 x 190cm with reinforcement,Plus Medical Pty Ltd,Foshan Nanhai Plus Medical Co Ltd,134950,"Drape, surgical, general-purpose, single use"
40609,28/04/2016,Peri Strips with Veritas - Staple line-reinforcement,Baxter Healthcare Pty Ltd,Synovis Surgical Innovations (A Div of Synovis Life Technologies Inc),219227,Staple line-reinforcement strip
41206,16/05/2016,Uniperc tracheostomy Smith and Nephew extra long,Smiths Medical Australasia Pty Ltd,Smiths Medical International Limited,156925,"Tracheostomy tube, clinical-use, reinforced, single-use"
51070,11/04/2018,Smith's Medical - Tracheostomy tube,Smiths Medical Australasia Pty Ltd,Smiths Medical Czech Republic as,260530,"Tracheostomy tube, clinical-use, reinforced, single-use"
51155,7/06/2018,"ADAPTATER FOR LIGHT SOURCE STORZ - Holder, endoscope, laparoscope",Device Technologies Australia Pty Ltd,Landanger ZI La Vendue,167761,"Holder, endoscope, laparoscope"
,,"Holder, endoscope, laparoscope",Reid Healthcare Pty Ltd,Landanger ZI La Vendue,167761,"Holder, endoscope, laparoscope"
52346,20/07/2018,"DISP SIL REINFORCD/FLEX LMA SIZE 4 - Airway, laryngeal, single-use",Device Technologies Australia Pty Ltd,Well Lead Medical Co Ltd,129507,"Airway, laryngeal, single-use"
52970,13/08/2018,"Endo GIA reinforced Extra Thick Reload with Tri-Staple Technology - Surgical staple, non-bioabsorbable",Medtronic Australasia Pty Ltd,Covidien llc,186247,"Surgical staple, non-bioabsorbable"
53479,16/11/2018,"LARS LIG ACL HAMSTR'G Reinforcer L130605 - Prosthesis, internal, ligament",Corin (Australia) Pty Limited,Lars,138573,"Prosthesis, internal, ligament"
54367,13/12/2018,"Lars Lig Acl Hamstr'g Reinforcer L130605 - Prosthesis, internal, ligament",Corin (Australia) Pty Limited,Lars,138573,"Prosthesis, internal, ligament"
51298,15/02/2019,"LARS LIG ACL HAMSTR'G REINFORCER L130605 - Prosthesis, internal, ligament",Corin (Australia) Pty Limited,Lars,138573,"Prosthesis, internal, ligament"
