Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27277,5/07/2012,Kudo Humeral Cr/Cblt Small Right,Zimmer Pty Ltd,Biomet UK Ltd,129289,"Prosthesis, internal, joint, elbow, humeral component"
,,Kudo ulnar component,Zimmer Pty Ltd,Biomet UK Ltd,129288,"Prosthesis, internal, joint, elbow, radial component"
27113,5/07/2012,Oxford Uni Phase 3 Femoral Medium,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Alpha tibial tray size B RM,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Uni anatomic bearing right med size 4,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
28352,4/09/2012,Oxford cementless right medial tibial tray size D,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford medium right bearing 3MM,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
27535,12/09/2012,T2 Recon Nail Right 011MM x 400MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,95185,"Fixation device, internal, nail, intramedullary, femur"
,,T2 K-Wire Recon,Stryker Australia Pty Ltd,Stryker Trauma AG,143230,"Fixation device, internal, wire"
,,T2 Locking Screw Full Thread,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
,,T2 Locking Shaft Screw 05MM x 60MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
,,T2 Recon Lag Screw 06.5MM x 105MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
,,T2 Recon Lag Screw 06.5MM x 110MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,139625,"Fixation device, internal, screw"
,,T2 Recon Nail Right 013MM x 400MM,Stryker Australia Pty Ltd,Stryker Trauma GmbH,95185,"Fixation device, internal, nail, intramedullary, femur"
27431,3/10/2012,Boston Advance Cleaner,iNova Pharmaceuticals Australia Pty Ltd,Bausch & Lomb Inc,187435,Rigid contact lens cleaning solution
,,Boston Advance conditioning solution,Bausch & Lomb Australia Pty Ltd,Bausch & Lomb Inc,136640,Contact lens solution
28936,18/10/2012,Biomet Oxford Uni anatomical bearing right small size 4,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
28574,8/11/2012,Hakim Programmable Right Angled Valve,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Codman & Shurtleff Inc (Massachusetts),140904,"Valve, hydrocephalic"
29501,29/11/2012,"HMRS Distal Fem Repl, 160 right",Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,142278,"Prosthesis, internal, joint, knee, total"
29595,14/12/2012,Rigidyne Modular frame external fixator,Rigidyne Pty Ltd,Rigidyne Pty Ltd,143473,"Fixation device, external, system"
29710,21/12/2012,Biomet Oxford Phase 3 HAP femoral medium,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Anatomic bearing right medium size 3,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,Oxford Uni cementless tibial tray,Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
29629,11/01/2013,"HMRS Distal Fem Repl, 160 right",Stryker Australia Pty Ltd,Howmedica Osteonics Corporation,145592,Acetabulum prosthesis
29915,29/01/2013,Master Tool Manipulator Right,Device Technologies Australia Pty Ltd,Intuitive Surgical Inc,97348,"Robot, surgical, operation unit"
30083,18/02/2013,PKS SEAL Open Forceps,Olympus Australia Pty Ltd,Gyrus Acmi Inc,134022,"Endoscopic forceps, biopsy, laparoscope, rigid"
30765,23/04/2013,Vanguard Cruciate Retaining Interlok Femur Right 70,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
,,"Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,"Prosthesis, internal, joint, knee, tibial component",Zimmer Pty Ltd,Biomet Spain Orthopaedics SL,138208,"Prosthesis, internal, joint, knee, tibial component"
27399,17/05/2013,"Knee Prosthesis, Patella component",Biomet Australia Pty Ltd,Biomet Orthopedics Inc,121186,"Prosthesis, internal, joint, knee, patellar component"
,,monolock tibial tray,Zimmer Pty Ltd,Biomet Orthopedics Inc,98451,"Prosthesis, internal, joint, knee, tibial component"
,,Vanguard cruciate retaining right femoral component,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
30278,17/05/2013,RIGIDFIX FEM 3.3MM S/T CRPIN EA,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Mitek (a Johnson & Johnson Company),140561,"Surgical procedure kit, orthopaedic, single-use, non-medicated"
25262,10/07/2013,LCS Comp Fem Right Knee,Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,131657,"Prosthesis, internal, joint, knee, femoral component"
,,"LCS COMPLETE POLY PATELLA LG+, Prosthesis, internal, joint, knee, patellar component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,108414,"Prosthesis, internal, joint, knee, patellar component"
,,"MBT REVISION CEM TIB TRAY, Prosthesis, internal, joint, knee, tibial component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,98092,"Prosthesis, internal, joint, knee, tibial component"
,,"MBT REVISION SLEEVE POR, Prosthesis, internal, joint, knee, tibial component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,98092,"Prosthesis, internal, joint, knee, tibial component"
,,"UNIVERSAL REV STEM Prosthesis, internal, joint, knee, femoral component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,131657,"Prosthesis, internal, joint, knee, femoral component"
,,"UNIVERSAL REV STEM, Prosthesis, internal, joint, knee, femoral component",Johnson & Johnson Medical Pty Ltd t/a DePuy Synthes,Depuy Orthopaedic Inc,131657,"Prosthesis, internal, joint, knee, femoral component"
31560,19/08/2013,Oxford Anatomic right Bearing 6mm,Zimmer Pty Ltd,Biomet UK Ltd,206212,Unicondylar knee prosthesis
,,"Oxford II femoral component ,Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
,,"Right cementless medical tibial tray ,Prosthesis, internal, joint, knee, unicondylar",Zimmer Pty Ltd,Biomet UK Ltd,126863,"Prosthesis, internal, joint, knee, unicondylar"
31638,2/09/2013,Vanguard SSK Interlok femur 70 right,Zimmer Pty Ltd,Biomet Orthopedics Inc,98449,"Prosthesis, internal, joint, knee, femoral component"
