Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
31330,21/08/2013,Cool Flow Pump Europe Ship Kit,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
26584,9/10/2013,CoolFlow Pump,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
33874,8/04/2014,TauroLock catheter lock,Rollex Group Australia 2009 Pty Ltd,TauroPharm GmbH,177825,"Catheter, irrigation"
33978,23/05/2014,ThermoCool Smart Touch Bi-Directional Navigation C,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,184035,"Catheter, cardiac, electrophysiological mapping"
,,Cardiac mapping system,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
,,"Pump, roller",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
,,"Webster CS Catheter with EZ Steer - Catheter, cardiac, electrophysiological mapping",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,162172,"Catheter, cardiac, electrophysiological mapping"
32936,9/08/2014,EZ STEER THERMOCOOL NAV Bi-Directional Catheter,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,157811,"Catheter, cardiac, electrophysiological mapping"
,,"Pump, roller",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
32859,31/12/2014,ThermoCool SF NAV Diagnostic/Ablation Deflectable,Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,178843,"Catheter, cardiac, electrophysiological mapping"
,,Cardiac mapping system,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
,,"Pump, roller",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
40971,1/07/2016,"THERMOCOOL SF CARTOXP D-F TC - Catheter, cardiac,",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,178843,"Catheter, cardiac, electrophysiological mapping"
,,Cardiac mapping system,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
,,"EP Shuttle RF Generator System - Generator, lesion, radio frequency",Johnson & Johnson Medical Pty Ltd,Stockert GmbH,125580,"Generator, lesion, radio frequency"
,,"LASSO 2515 NAV Variable Catheter - Catheter, cardiac, electrophysiological mapping",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,161194,"Catheter, cardiac, electrophysiological mapping"
,,"Pump, roller",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
41337,12/10/2016,"THERMOCOOL SF CARTOXP D-F TC - Catheter, cardiac, electrophysiological mapping",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,178843,"Catheter, cardiac, electrophysiological mapping"
,,Cardiac mapping system,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
,,"EP Shuttle RF Generator System - Generator, lesion, radio frequency",Johnson & Johnson Medical Pty Ltd,Stockert GmbH,125580,"Generator, lesion, radio frequency"
,,"Pump, roller",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
41075,1/11/2016,"THMCL SMARTTOUCH TC D C3 - Catheter, cardiac, electrophysiological mapping",Blackmores Limited,Biosense Webster Inc,198574,"Catheter, cardiac, electrophysiological mapping"
,,Cardiac mapping system,Johnson & Johnson Medical Pty Ltd,Biosense Webster (Israel) Ltd,155892,Cardiac mapping system
,,"EP Shuttle RF Generator System - Generator, lesion, radio frequency",Johnson & Johnson Medical Pty Ltd,Stockert GmbH,125580,"Generator, lesion, radio frequency"
,,"Pump, roller",Johnson & Johnson Medical Pty Ltd,Biosense Webster Inc,126923,"Pump, roller"
59030,28/11/2019,"CentriMag 2nd Generation Primary Console - Heart-lung bypass system module, console",Abbott Medical Australia Pty Ltd,Thoratec Switzerland GmbH,161246,"Heart-lung bypass system module, console"
,,"Heart-lung bypass system module, console",St Jude Medical Australia Pty Ltd,Thoratec Switzerland GmbH,161246,"Heart-lung bypass system module, console"
,,"Heart-lung bypass system module, pump, roller",St Jude Medical Australia Pty Ltd,Thoratec Switzerland GmbH,161245,"Heart-lung bypass system module, pump, roller"
