Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
38398,22/08/2015,TheraStrand RX Radionuclide source implant,RQSolutions Medical Devices Distribution Support,Theragenics Corporation,205063,"Radionuclide source, therapeutic, brachytherapy, manual, permanent implant"
42400,17/08/2016,Braun No Touch + Forehead thermometer NTF3000,RQSolutions Medical Devices Distribution Support,Kaz Europe Sarl,226008,"Thermometer, infrared, skin"
43663,17/12/2016,iStent Inject Trabecular Micro Bypass System - Glaucoma Shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
44056,21/12/2016,"iStent Trabecular Micro-Bypass - Drain, internal, eye",RQSolutions Medical Devices Distribution Support,Glaukos Corporation,219246,"Drain, internal, eye"
44356,5/02/2017,iStent Inject Trabecular Micro Bypass System,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
44716,5/02/2017,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
45738,21/04/2017,Braun Touchless and forehead thermometer,RQSolutions Medical Devices Distribution Support,Kaz Europe Sarl,226008,"Thermometer, infrared, skin"
45811,27/04/2017,iStent Inject Trabecular Micro Bypass System,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
46748,20/07/2017,iStent Inject Trabecular Micro Bypass System,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
47839,9/10/2017,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
44355,11/10/2017,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
46716,8/11/2017,"TheraStrand RX - Radionuclide source, therapeutic, brachytherapy, manual, permanent implant",RQSolutions Medical Devices Distribution Support,Theragenics Corporation,205063,"Radionuclide source, therapeutic, brachytherapy, manual, permanent implant"
50583,4/04/2018,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
51288,3/05/2018,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
53148,27/08/2018,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
53280,28/09/2018,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
54515,4/01/2019,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
55623,23/02/2019,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
56118,2/03/2019,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
56307,13/03/2019,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
56880,10/04/2019,iStent Inject Trabecular Micro Bypass System,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
57719,16/06/2019,iStent Inject Trabecular Micro Bypass System,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
57224,16/06/2019,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
57519,16/06/2019,iStent Trabecular Micro Bypass -Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,219246,Glaucoma shunt
57364,27/06/2019,iStent Inject Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
57366,27/06/2019,iStent Trabecular Micro Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
57718,13/07/2019,iStent Trabecular Micro Pass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
58110,25/07/2019,Glaukos Istent - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
59703,26/10/2019,iStent inject Trabecular Micro-Bypass System - Glaucoma shunt,RQSolutions Medical Devices Distribution Support,Glaukos Corporation,250914,Glaucoma shunt
