Report number,Report date,Trade name,Sponsor,Manufacturer,ARTG number,GMDN term
27783,10/08/2012,Jelco ACUVANCE PLUS Safety I.V. Catheter,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,167128,"Catheter, intravascular, peripheral"
28045,21/08/2012,Safety A.V. Fistula Needle Set,Medtel Pty Ltd,JMS Singapore Pte Ltd,178125,"Needle, dialysis"
27500,15/10/2012,Pro choice,WRB Nominees Pty Ltd T/A Paramount Safety Products,Top Glove Sdn Bhd,180853,"Glove, patient examination, latex"
27496,16/10/2012,Pro choice,WRB Nominees Pty Ltd T/A Paramount Safety Products,Top Glove Sdn Bhd,180857,"Glove, patient examination, non-latex"
29890,8/01/2013,Ultra Safety Plus XL Needles,Specialites Septodont Pty Ltd,Septodont,176049,"Needle, dental"
29991,16/01/2013,GRIPPER PLUS Safety Huber Needle,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Incorporated,145298,"Needle, subcutaneous injection/infusion port"
30171,27/02/2013,Safety A.V. Fistula Needle Set,Medtel Pty Ltd,JMS Singapore Pte Ltd,178125,"Needle, dialysis"
32262,14/10/2013,Safescope Disposable Sigmoidoscope,Med-Chem Surgical Pty Ltd,Logikal Health Products Pty Ltd,165977,"Sigmoidoscope, rigid"
32886,16/12/2013,Protect & Safety IV Catheter - Jelco - Smiths Medical,Smiths Medical Australasia Pty Ltd,Smiths Medical International Ltd,129181,"Catheter, intravascular, peripheral"
32365,30/12/2013,Gripper Micro Safety Needle,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Incorporated,145298,"Needle, subcutaneous injection/infusion port"
31935,30/12/2013,PROTECTIV Plus Safety IV Catheter,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,167128,"Catheter, intravascular, peripheral"
30467,24/01/2014,JELCO Protectiv Plus Safety I.V. Catheter,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,167128,"Catheter, intravascular, peripheral"
33033,25/02/2014,Safio S53,Biotronik Australia Pty Ltd,Biotronik SE & Co KG,188217,"Lead, pacemaker, implantable, endocardial"
33732,24/03/2014,Protect IV Plus Safety I.V. Catheter - radiopaque,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Inc,167128,"Catheter, intravascular, peripheral"
30261,12/05/2014,BD Vacutainer® Safety-Lok Blood Collection Set,Becton Dickinson Pty Ltd,BD Vacutainer Systems,129001,"Needle, blood collecting"
34053,26/05/2014,BD Saf-T-Intima IV catheter safety system (0.7 mm,Becton Dickinson Pty Ltd,Becton Dickinson Infusion Therapy Systems Inc,96769,"Catheter, intravascular, peripheral"
34459,20/06/2014,Transpac IT 03ml Safest Reservoir w/needleless Valve and 30ml Flush Devise,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
34458,20/06/2014,Transpac IT W/10 cc Safeset Reservoir,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,200714,Neutral-pressure needleless valve-connector
34617,10/07/2014,ICU Medical Arterial Safeset Transpac,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
30788,16/09/2014,Safety A.V. Fistula Needle Set,Medtel Pty Ltd,JMS Singapore Pte Ltd,178125,"Needle, dialysis"
35331,26/09/2014,Gripper Micro Safety Needle,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Incorporated,145298,"Needle, subcutaneous injection/infusion port"
35652,30/10/2014,Infusomat Cyto set Infusomat space 5 x safsite,B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,"Infusion administration set, infusion pump"
36143,19/12/2014,Safyre Tape Mesh Kit,Endotherapeutics Pty Ltd,Promedon SA,118082,"Prosthesis, incontinence"
36099,24/12/2014,Safari - Catheter Guide Wire,Boston Scientific Pty Ltd,Boston Scientific,223256,"Catheter, Guidewire"
36319,15/01/2015,Gripper plus safety Huber point needle 20g,Smiths Medical Australasia Pty Ltd,Smiths Medical ASD Incorporated,145298,"Needle, subcutaneous injection/infusion port"
36511,16/02/2015,Insyte Cannula intravenous Insyte 24g x 19mm non-safety,Becton Dickinson Pty Ltd,Becton Dickinson Infusion Therapy Systems Inc,96769,"Catheter, intravascular, peripheral"
36662,5/03/2015,"Covidien Hypodermic Safety Needle 19G 1.5""",Medtronic Australasia Pty Ltd,Covidien llc,186112,"Needle, hypodermic"
36690,10/03/2015,Saf-T-J Fixed Core Guide wire,William A Cook Australia Pty Ltd,Cook Incorporated,153528,Catheter guide wire
37236,1/05/2015,"BBraun Infusomat Spaceline ""Safe Set""- IV Pump infusion set",B Braun Australia Pty Ltd,B Braun Melsungen AG,137616,Electric infusion pump administration set
37240,4/05/2015,Safeair Pencil,Stryker Australia Pty Ltd,Lina Medical APS,225521,"Electrosurgical diathermy system conducting unit, hand-controlled, evacuation, single-use"
37302,8/05/2015,"Gabarith Safedraw, Transducer Gabarith PMset Safedraw 1DT XX",Becton Dickinson Pty Ltd,Becton Dickinson and Company,220908,Arterial blood sampling kit
37301,8/05/2015,"Gabrith Safedraw, Transducer Gabrith PMset Safedraw 1DT XX Arterial blood sampling kit",Becton Dickinson Pty Ltd,Becton Dickinson and Company,220908,Arterial blood sampling kit
36286,5/08/2015,0.5CC INSULIN SAFETY SYRINGE,Medtronic Australasia Pty Ltd,Covidien llc,187080,"Syringe, hypodermic, insulin"
38323,14/08/2015,"Sangofix, admin set sangofix 2 x safesite 1 way valve hand blood pump set",B Braun Australia Pty Ltd,B Braun Melsungen AG,202978,Electric infusion pump administration set
38448,26/08/2015,ICU Medical Safeset Transpac IT w/03 ml reservoir and single Nedleless Valve,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
38444,27/08/2015,Jelco ViaValve Safety I.V. Catheter,Smiths Medical Australasia Pty Ltd,Smiths Medical International Ltd,129181,"Catheter, intravascular, peripheral"
35069,15/09/2015,Alaris GH Syringe pump with Guardrails safety software,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,177501,"Infusion pump, syringe"
34625,15/09/2015,Alaris GP plus infusion pump with Guardrails safety software,CareFusion Australia 316 Pty Ltd,CareFusion Switzerland 317 Sarl,130389,"Infusion pump, general-purpose"
39362,26/11/2015,SafeSet Transpac,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
39363,26/11/2015,SafeSet Transpac Blood pressure transducer set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
39364,26/11/2015,SafeSet Transpac Blood pressure transducer set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
39365,26/11/2015,SafeSet Transpac Blood pressure transducer set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood pressure transducer set
39361,1/12/2015,SafeSet Transpac - Blood Pressure transducer set,BMDi TUTA Healthcare Pty Ltd,ICU Medical Inc,195624,Blood Pressure Transducer Set
